"Date","Time","Open","High","Low","Close","Vol","OI"
03/05/2018,14:00,6.5710,6.5710,6.5710,6.5710,0,0
03/06/2018,14:00,6.5474,6.5474,6.5474,6.5474,0,0
03/07/2018,14:00,6.5469,6.5469,6.5469,6.5469,0,0
03/08/2018,14:00,6.5788,6.5788,6.5788,6.5788,0,0
03/09/2018,14:00,6.5576,6.5576,6.5576,6.5576,0,0
03/12/2018,14:00,6.5531,6.5531,6.5531,6.5531,0,0
03/13/2018,14:00,6.5539,6.5539,6.5539,6.5539,0,0
03/14/2018,14:00,6.5309,6.5309,6.5309,6.5309,0,0
03/15/2018,14:00,6.5536,6.5536,6.5536,6.5536,0,0
03/16/2018,14:00,6.5495,6.5495,6.5495,6.5495,0,0
03/19/2018,14:00,6.5426,6.5426,6.5426,6.5426,0,0
03/20/2018,14:00,6.5533,6.5533,6.5533,6.5533,0,0
03/21/2018,14:00,6.5124,6.5124,6.5124,6.5124,0,0
03/22/2018,14:00,6.5314,6.5314,6.5314,6.5314,0,0
03/23/2018,14:00,6.5100,6.5100,6.5100,6.5100,0,0
03/26/2018,14:00,6.4439,6.4439,6.4439,6.4439,0,0
03/27/2018,14:00,6.4612,6.4612,6.4612,6.4612,0,0
03/28/2018,14:00,6.4708,6.4708,6.4708,6.4708,0,0
03/29/2018,14:00,6.4470,6.4470,6.4470,6.4470,0,0
04/02/2018,14:00,6.4390,6.4390,6.4390,6.4390,0,0
04/03/2018,14:00,6.4316,6.4316,6.4316,6.4316,0,0
04/04/2018,14:00,6.4372,6.4372,6.4372,6.4372,0,0
04/05/2018,14:00,6.4512,6.4512,6.4512,6.4512,0,0
04/06/2018,14:00,6.4691,6.4691,6.4691,6.4691,0,0
04/09/2018,14:00,6.4437,6.4437,6.4437,6.4437,0,0
04/10/2018,14:00,6.4224,6.4224,6.4224,6.4224,0,0
04/11/2018,14:00,6.4146,6.4146,6.4146,6.4146,0,0
04/12/2018,14:00,6.4335,6.4335,6.4335,6.4335,0,0
04/13/2018,14:00,6.4348,6.4348,6.4348,6.4348,0,0
04/16/2018,14:00,6.4257,6.4257,6.4257,6.4257,0,0
04/17/2018,14:00,6.4273,6.4273,6.4273,6.4273,0,0
04/18/2018,14:00,6.4186,6.4186,6.4186,6.4186,0,0
04/19/2018,14:00,6.4320,6.4320,6.4320,6.4320,0,0
04/20/2018,14:00,6.4397,6.4397,6.4397,6.4397,0,0
04/23/2018,14:00,6.4708,6.4708,6.4708,6.4708,0,0
04/24/2018,14:00,6.4645,6.4645,6.4645,6.4645,0,0
04/25/2018,14:00,6.4944,6.4944,6.4944,6.4944,0,0
04/26/2018,14:00,6.4879,6.4879,6.4879,6.4879,0,0
04/27/2018,14:00,6.4803,6.4803,6.4803,6.4803,0,0
04/30/2018,14:00,6.4770,6.4770,6.4770,6.4770,0,0
05/01/2018,14:00,6.5055,6.5055,6.5055,6.5055,0,0
05/02/2018,14:00,6.5286,6.5286,6.5286,6.5286,0,0
05/03/2018,14:00,6.5153,6.5153,6.5153,6.5153,0,0
05/04/2018,14:00,6.5297,6.5297,6.5297,6.5297,0,0
05/07/2018,14:00,6.5272,6.5272,6.5272,6.5272,0,0
05/08/2018,14:00,6.5342,6.5342,6.5342,6.5342,0,0
05/09/2018,14:00,6.5280,6.5280,6.5280,6.5280,0,0
05/10/2018,14:00,6.4914,6.4914,6.4914,6.4914,0,0
05/11/2018,14:00,6.4962,6.4962,6.4962,6.4962,0,0
05/14/2018,14:00,6.5006,6.5006,6.5006,6.5006,0,0
05/15/2018,14:00,6.5469,6.5469,6.5469,6.5469,0,0
05/16/2018,14:00,6.5149,6.5149,6.5149,6.5149,0,0
05/17/2018,14:00,6.5270,6.5270,6.5270,6.5270,0,0
05/18/2018,14:00,6.5197,6.5197,6.5197,6.5197,0,0
05/21/2018,14:00,6.5119,6.5119,6.5119,6.5119,0,0
05/22/2018,14:00,6.5124,6.5124,6.5124,6.5124,0,0
05/23/2018,14:00,6.5448,6.5448,6.5448,6.5448,0,0
05/24/2018,14:00,6.5394,6.5394,6.5394,6.5394,0,0
05/25/2018,14:00,6.5637,6.5637,6.5637,6.5637,0,0
05/29/2018,14:00,6.6003,6.6003,6.6003,6.6003,0,0
05/30/2018,14:00,6.5728,6.5728,6.5728,6.5728,0,0
05/31/2018,14:00,6.5766,6.5766,6.5766,6.5766,0,0
06/01/2018,14:00,6.5707,6.5707,6.5707,6.5707,0,0
06/04/2018,14:00,6.5615,6.5615,6.5615,6.5615,0,0
06/05/2018,14:00,6.5483,6.5483,6.5483,6.5483,0,0
06/06/2018,14:00,6.5375,6.5375,6.5375,6.5375,0,0
06/07/2018,14:00,6.5556,6.5556,6.5556,6.5556,0,0
06/08/2018,14:00,6.5598,6.5598,6.5598,6.5598,0,0
06/11/2018,14:00,6.5546,6.5546,6.5546,6.5546,0,0
06/12/2018,14:00,6.5643,6.5643,6.5643,6.5643,0,0
06/13/2018,14:00,6.5468,6.5468,6.5468,6.5468,0,0
06/14/2018,14:00,6.5620,6.5620,6.5620,6.5620,0,0
06/15/2018,14:00,6.5915,6.5915,6.5915,6.5915,0,0
06/18/2018,14:00,6.6152,6.6152,6.6152,6.6152,0,0
06/19/2018,14:00,6.6420,6.6420,6.6420,6.6420,0,0
06/20/2018,14:00,6.6343,6.6343,6.6343,6.6343,0,0
06/21/2018,14:00,6.6606,6.6606,6.6606,6.6606,0,0
06/22/2018,14:00,6.6604,6.6604,6.6604,6.6604,0,0
06/25/2018,14:00,6.6925,6.6925,6.6925,6.6925,0,0
06/26/2018,14:00,6.7293,6.7293,6.7293,6.7293,0,0
06/27/2018,14:00,6.7653,6.7653,6.7653,6.7653,0,0
06/28/2018,14:00,6.7834,6.7834,6.7834,6.7834,0,0
06/29/2018,14:00,6.7635,6.7635,6.7635,6.7635,0,0
07/02/2018,14:00,6.8108,6.8108,6.8108,6.8108,0,0
07/03/2018,14:00,6.7822,6.7822,6.7822,6.7822,0,0
07/05/2018,14:00,6.7519,6.7519,6.7519,6.7519,0,0
07/06/2018,14:00,6.7558,6.7558,6.7558,6.7558,0,0
07/09/2018,14:00,6.7282,6.7282,6.7282,6.7282,0,0
07/10/2018,14:00,6.7474,6.7474,6.7474,6.7474,0,0
07/11/2018,14:00,6.8169,6.8169,6.8169,6.8169,0,0
07/12/2018,14:00,6.7849,6.7849,6.7849,6.7849,0,0
07/13/2018,14:00,6.8111,6.8111,6.8111,6.8111,0,0
07/16/2018,14:00,6.7923,6.7923,6.7923,6.7923,0,0
07/17/2018,14:00,6.8191,6.8191,6.8191,6.8191,0,0
07/18/2018,14:00,6.8418,6.8418,6.8418,6.8418,0,0
07/19/2018,14:00,6.8838,6.8838,6.8838,6.8838,0,0
07/20/2018,14:00,6.8795,6.8795,6.8795,6.8795,0,0
07/23/2018,14:00,6.9123,6.9123,6.9123,6.9123,0,0
07/24/2018,14:00,6.8967,6.8967,6.8967,6.8967,0,0
07/25/2018,14:00,6.8460,6.8460,6.8460,6.8460,0,0
07/26/2018,14:00,6.8792,6.8792,6.8792,6.8792,0,0
07/27/2018,14:00,6.8638,6.8638,6.8638,6.8638,0,0
07/30/2018,14:00,6.8836,6.8836,6.8836,6.8836,0,0
07/31/2018,14:00,6.8493,6.8493,6.8493,6.8493,0,0
08/01/2018,14:00,6.8843,6.8843,6.8843,6.8843,0,0
08/02/2018,14:00,6.9259,6.9259,6.9259,6.9259,0,0
08/03/2018,14:00,6.9045,6.9045,6.9045,6.9045,0,0
08/06/2018,14:00,6.9249,6.9249,6.9249,6.9249,0,0
08/07/2018,14:00,6.8849,6.8849,6.8849,6.8849,0,0
08/08/2018,14:00,6.8749,6.8749,6.8749,6.8749,0,0
08/09/2018,14:00,6.8930,6.8930,6.8930,6.8930,0,0
08/10/2018,14:00,6.9186,6.9186,6.9186,6.9186,0,0
08/13/2018,14:00,6.9530,6.9530,6.9530,6.9530,0,0
08/14/2018,14:00,6.9470,6.9470,6.9470,6.9470,0,0
08/15/2018,14:00,7.0150,7.0150,7.0150,7.0150,0,0
08/16/2018,14:00,6.9655,6.9655,6.9655,6.9655,0,0
08/17/2018,14:00,6.9367,6.9367,6.9367,6.9367,0,0
08/20/2018,14:00,6.9313,6.9313,6.9313,6.9313,0,0
08/21/2018,14:00,6.9264,6.9264,6.9264,6.9264,0,0
08/22/2018,14:00,6.9348,6.9348,6.9348,6.9348,0,0
08/23/2018,14:00,6.9845,6.9845,6.9845,6.9845,0,0
08/24/2018,14:00,6.8865,6.8865,6.8865,6.8865,0,0
08/27/2018,14:00,6.8909,6.8909,6.8909,6.8909,0,0
08/28/2018,14:00,6.8737,6.8737,6.8737,6.8737,0,0
08/29/2018,14:00,6.9077,6.9077,6.9077,6.9077,0,0
08/30/2018,14:00,6.9650,6.9650,6.9650,6.9650,0,0
08/31/2018,14:00,6.9382,6.9382,6.9382,6.9382,0,0
09/04/2018,14:00,6.9419,6.9419,6.9419,6.9419,0,0
09/05/2018,14:00,6.9393,6.9393,6.9393,6.9393,0,0
09/06/2018,14:00,6.9456,6.9456,6.9456,6.9456,0,0
09/07/2018,14:00,6.9938,6.9938,6.9938,6.9938,0,0
09/10/2018,14:00,6.9947,6.9947,6.9947,6.9947,0,0
09/11/2018,14:00,7.0089,7.0089,7.0089,7.0089,0,0
09/12/2018,14:00,6.9401,6.9401,6.9401,6.9401,0,0
09/13/2018,14:00,6.9395,6.9395,6.9395,6.9395,0,0
09/14/2018,14:00,6.9870,6.9870,6.9870,6.9870,0,0
09/17/2018,14:00,6.9735,6.9735,6.9735,6.9735,0,0
09/18/2018,14:00,6.9731,6.9731,6.9731,6.9731,0,0
09/19/2018,14:00,6.9547,6.9547,6.9547,6.9547,0,0
09/20/2018,14:00,6.9467,6.9467,6.9467,6.9467,0,0
09/21/2018,14:00,6.9563,6.9563,6.9563,6.9563,0,0
09/24/2018,14:00,6.9750,6.9750,6.9750,6.9750,0,0
09/25/2018,14:00,6.9797,6.9797,6.9797,6.9797,0,0
09/26/2018,14:00,6.9839,6.9839,6.9839,6.9839,0,0
09/27/2018,14:00,6.9808,6.9808,6.9808,6.9808,0,0
09/28/2018,14:00,6.9797,6.9797,6.9797,6.9797,0,0
10/01/2018,14:00,6.9857,6.9857,6.9857,6.9857,0,0
10/02/2018,14:00,6.9778,6.9778,6.9778,6.9778,0,0
10/03/2018,14:00,6.9870,6.9870,6.9870,6.9870,0,0
10/04/2018,14:00,7.0082,7.0082,7.0082,7.0082,0,0
10/05/2018,14:00,7.0276,7.0276,7.0276,7.0276,0,0
10/08/2018,14:00,7.0805,7.0805,7.0805,7.0805,0,0
10/09/2018,14:00,7.0461,7.0461,7.0461,7.0461,0,0
10/10/2018,14:00,7.0609,7.0609,7.0609,7.0609,0,0
10/11/2018,14:00,7.0446,7.0446,7.0446,7.0446,0,0
10/12/2018,14:00,7.0362,7.0362,7.0362,7.0362,0,0
10/15/2018,14:00,7.0251,7.0251,7.0251,7.0251,0,0
10/16/2018,14:00,7.0136,7.0136,7.0136,7.0136,0,0
10/17/2018,14:00,7.0170,7.0170,7.0170,7.0170,0,0
10/18/2018,14:00,7.0373,7.0373,7.0373,7.0373,0,0
10/19/2018,14:00,7.0422,7.0422,7.0422,7.0422,0,0
10/22/2018,14:00,7.0510,7.0510,7.0510,7.0510,0,0
10/23/2018,14:00,7.0454,7.0454,7.0454,7.0454,0,0
10/24/2018,14:00,7.0602,7.0602,7.0602,7.0602,0,0
10/25/2018,14:00,7.0590,7.0590,7.0590,7.0590,0,0
10/26/2018,14:00,7.0503,7.0503,7.0503,7.0503,0,0
10/29/2018,14:00,7.0690,7.0690,7.0690,7.0690,0,0
10/30/2018,14:00,7.0697,7.0697,7.0697,7.0697,0,0
10/31/2018,14:00,7.0835,7.0835,7.0835,7.0835,0,0
11/01/2018,14:00,7.0053,7.0053,7.0053,7.0053,0,0
11/02/2018,14:00,6.9662,6.9662,6.9662,6.9662,0,0
11/05/2018,14:00,6.9813,6.9813,6.9813,6.9813,0,0
11/06/2018,14:00,6.9834,6.9834,6.9834,6.9834,0,0
11/07/2018,14:00,6.9722,6.9722,6.9722,6.9722,0,0
11/08/2018,14:00,6.9929,6.9929,6.9929,6.9929,0,0
11/09/2018,14:00,7.0103,7.0103,7.0103,7.0103,0,0
11/12/2018,14:00,7.0376,7.0376,7.0376,7.0376,0,0
11/13/2018,14:00,7.0078,7.0078,7.0078,7.0078,0,0
11/14/2018,14:00,7.0095,7.0095,7.0095,7.0095,0,0
11/15/2018,14:00,6.9904,6.9904,6.9904,6.9904,0,0
11/16/2018,14:00,6.9784,6.9784,6.9784,6.9784,0,0
11/19/2018,14:00,6.9912,6.9912,6.9912,6.9912,0,0
11/20/2018,14:00,7.0024,7.0024,7.0024,7.0024,0,0
11/21/2018,14:00,6.9825,6.9825,6.9825,6.9825,0,0
11/23/2018,14:00,7.0037,7.0037,7.0037,7.0037,0,0
11/26/2018,14:00,6.9926,6.9926,6.9926,6.9926,0,0
11/27/2018,14:00,7.0110,7.0110,7.0110,7.0110,0,0
11/28/2018,14:00,6.9894,6.9894,6.9894,6.9894,0,0
11/29/2018,14:00,6.9886,6.9886,6.9886,6.9886,0,0
11/30/2018,14:00,7.0059,7.0059,7.0059,7.0059,0,0
12/03/2018,14:00,6.9312,6.9312,6.9312,6.9312,0,0
12/04/2018,14:00,6.8920,6.8920,6.8920,6.8920,0,0
12/06/2018,14:00,6.9282,6.9282,6.9282,6.9282,0,0
12/07/2018,14:00,6.9271,6.9271,6.9271,6.9271,0,0
12/10/2018,14:00,6.9574,6.9574,6.9574,6.9574,0,0
12/11/2018,14:00,6.9433,6.9433,6.9433,6.9433,0,0
12/12/2018,14:00,6.9069,6.9069,6.9069,6.9069,0,0
12/13/2018,14:00,6.9147,6.9147,6.9147,6.9147,0,0
12/14/2018,14:00,6.9349,6.9349,6.9349,6.9349,0,0
12/17/2018,14:00,6.9233,6.9233,6.9233,6.9233,0,0
12/18/2018,14:00,6.9115,6.9115,6.9115,6.9115,0,0
12/19/2018,14:00,6.9195,6.9195,6.9195,6.9195,0,0
12/20/2018,14:00,6.8957,6.8957,6.8957,6.8957,0,0
12/21/2018,14:00,6.9299,6.9299,6.9299,6.9299,0,0
12/24/2018,14:00,6.9235,6.9235,6.9235,6.9235,0,0
