"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,11:20,71.50,71.99,71.50,71.95,60,3559
02/28/2018,11:20,71.95,71.97,71.75,71.82,159,3616
03/01/2018,11:20,71.75,72.78,71.70,72.44,142,3683
03/02/2018,11:20,72.28,72.28,72.06,72.06,277,3908
03/05/2018,11:20,72.20,72.49,72.20,72.49,58,3961
03/06/2018,11:20,72.49,72.60,72.35,72.60,571,4147
03/07/2018,11:20,72.51,72.60,72.50,72.56,11,4157
03/08/2018,11:20,72.31,72.80,72.31,72.64,112,4261
03/09/2018,11:20,72.75,73.05,72.75,73.04,124,4314
03/12/2018,11:20,73.00,73.14,72.98,73.14,143,4386
03/13/2018,11:20,73.36,73.50,73.01,73.37,166,4498
03/14/2018,11:20,73.28,73.28,73.20,73.23,56,4497
03/15/2018,11:20,73.45,73.45,73.25,73.34,37,4531
03/16/2018,11:20,73.49,73.49,73.49,73.49,0,4531
03/19/2018,11:20,73.25,73.25,73.15,73.15,106,4529
03/20/2018,11:20,73.15,73.30,73.01,73.04,317,4617
03/21/2018,11:20,73.44,73.85,73.40,73.53,153,4743
03/22/2018,11:20,73.75,73.98,73.59,73.75,14,4745
03/23/2018,11:20,73.40,73.50,73.07,73.50,33,4754
03/26/2018,11:20,73.39,73.39,73.39,73.39,90,4831
03/27/2018,11:20,73.30,73.30,73.30,73.30,0,4831
03/28/2018,11:20,73.20,73.20,73.00,73.01,77,4891
03/29/2018,11:20,73.00,73.10,72.93,72.96,263,5132
04/02/2018,11:20,73.00,73.50,72.93,72.93,48,5170
04/03/2018,11:20,73.00,73.00,72.93,72.95,89,5243
04/04/2018,11:20,73.00,73.08,72.00,73.08,853,5654
04/05/2018,11:20,73.00,74.15,73.00,73.33,205,5767
04/06/2018,11:20,73.05,73.50,73.05,73.35,13,5767
04/09/2018,11:20,73.45,73.45,73.15,73.39,8,5767
04/10/2018,11:20,73.15,73.23,73.15,73.23,90,5840
04/11/2018,11:20,73.49,73.49,73.08,73.22,62,5883
04/12/2018,11:20,73.27,73.42,73.27,73.42,27,5908
04/13/2018,11:20,73.50,73.55,73.49,73.50,223,6083
04/16/2018,11:20,73.26,73.60,73.26,73.50,22,6095
04/17/2018,11:20,73.50,73.55,73.50,73.55,196,6060
04/18/2018,11:20,73.60,73.80,73.59,73.68,96,6125
04/19/2018,11:20,73.51,73.88,73.51,73.81,188,6239
04/20/2018,11:20,73.88,74.15,73.88,73.98,198,6382
04/23/2018,11:20,74.10,74.20,73.82,73.82,140,6510
04/24/2018,11:20,74.00,74.00,73.51,73.55,195,6556
04/25/2018,11:20,73.95,73.95,73.79,73.79,49,6581
04/26/2018,11:20,73.75,73.95,73.75,73.84,21,6589
04/27/2018,11:20,73.92,73.92,73.74,73.78,110,6657
04/30/2018,11:20,73.82,73.82,73.65,73.68,76,6657
05/01/2018,11:20,73.95,73.95,73.80,73.81,88,6670
05/02/2018,11:20,73.90,73.95,73.85,73.91,169,6781
05/03/2018,11:20,73.95,74.05,73.95,74.01,466,7155
05/04/2018,11:20,74.02,74.60,74.00,74.40,399,7519
05/07/2018,11:20,74.50,75.20,74.50,75.05,476,7852
05/08/2018,11:20,75.00,75.11,74.90,75.11,544,8255
05/09/2018,11:20,75.05,75.15,74.91,74.91,126,8320
05/10/2018,11:20,75.00,75.40,74.90,75.26,177,8407
05/11/2018,11:20,75.15,75.25,74.90,74.97,127,8477
05/14/2018,11:20,75.10,75.10,74.80,74.96,145,8598
05/15/2018,11:20,75.10,75.35,75.00,75.00,251,8797
05/16/2018,11:20,75.33,75.98,75.33,75.44,225,8931
05/17/2018,11:20,75.77,76.75,75.77,76.18,352,9140
05/18/2018,11:20,76.25,77.25,76.25,77.01,473,9377
05/21/2018,11:20,77.25,79.84,77.25,78.65,299,9390
05/22/2018,11:20,78.40,79.00,78.25,78.40,674,9700
05/23/2018,11:20,78.35,78.98,78.26,78.45,329,9765
05/24/2018,11:20,78.79,79.00,78.50,78.61,739,10559
05/25/2018,11:20,78.63,79.60,78.63,79.43,809,10559
05/29/2018,11:20,79.50,83.43,79.50,81.67,1292,11105
05/30/2018,11:20,82.00,82.49,80.34,80.37,879,11448
05/31/2018,11:20,80.30,81.10,80.05,80.34,478,11701
06/01/2018,11:20,80.25,81.76,80.06,81.36,635,11912
06/04/2018,11:20,81.60,82.50,81.46,81.67,559,12102
06/05/2018,11:20,81.67,82.01,81.01,81.31,585,12278
06/06/2018,11:20,81.25,81.75,81.10,81.70,589,12647
06/07/2018,11:20,81.75,83.54,81.35,83.50,1567,13702
06/08/2018,11:20,83.20,84.00,83.20,83.36,495,14061
06/11/2018,11:20,83.10,84.00,82.79,82.88,198,14222
06/12/2018,11:20,82.88,83.40,82.70,83.11,520,14455
06/13/2018,11:20,83.15,84.50,83.04,84.30,790,14716
06/14/2018,11:20,84.02,84.35,83.50,84.22,491,14673
06/15/2018,11:20,83.67,84.10,82.31,82.56,927,14651
06/18/2018,11:20,82.00,82.00,80.75,80.75,553,14774
06/19/2018,11:20,80.75,80.94,78.01,78.32,1912,15104
06/20/2018,11:20,78.01,79.18,77.85,78.38,670,15237
06/21/2018,11:20,78.30,78.60,78.25,78.35,343,15438
06/22/2018,11:20,78.35,79.00,78.35,78.81,302,15604
06/25/2018,11:20,78.66,79.00,78.15,78.69,415,15906
06/26/2018,11:20,78.16,78.47,78.15,78.40,139,15948
06/27/2018,11:20,78.20,78.35,78.15,78.35,47,15954
06/28/2018,11:20,78.38,78.38,77.40,77.46,603,16334
06/29/2018,11:20,77.80,78.13,76.96,77.24,500,16619
07/02/2018,11:20,77.45,77.45,76.60,76.79,584,17514
07/03/2018,11:20,76.80,77.34,76.50,76.81,583,17514
07/05/2018,11:20,76.55,77.09,75.86,76.49,405,17868
07/06/2018,11:20,76.00,79.18,76.00,78.98,489,18060
07/09/2018,11:20,78.66,79.99,78.66,79.98,553,18302
07/10/2018,11:20,79.98,79.98,79.41,79.89,420,18406
07/11/2018,11:20,79.88,79.90,78.30,78.45,254,18542
07/12/2018,11:20,78.45,81.65,78.45,81.39,897,18896
07/13/2018,11:20,81.40,81.50,80.10,81.34,560,19094
07/16/2018,11:20,81.39,81.39,80.69,80.87,184,19198
07/17/2018,11:20,80.45,81.00,80.15,80.87,137,19297
07/18/2018,11:20,80.90,81.30,80.90,81.03,79,19298
07/19/2018,11:20,81.30,81.30,80.69,80.69,160,19287
07/20/2018,11:20,80.90,81.00,80.04,80.25,275,19409
07/23/2018,11:20,79.95,80.40,79.90,80.38,96,19497
07/24/2018,11:20,80.70,80.70,80.03,80.18,161,19532
07/25/2018,11:20,80.69,80.82,80.36,80.47,485,19419
07/26/2018,11:20,80.60,80.60,80.15,80.59,254,19547
07/27/2018,11:20,80.60,80.60,80.30,80.40,163,19580
07/30/2018,11:20,80.42,80.98,80.25,80.85,618,19883
07/31/2018,11:20,80.92,81.50,80.85,81.21,872,19678
08/01/2018,11:20,80.89,81.45,80.84,80.87,386,19902
08/02/2018,11:20,80.84,81.47,80.54,81.47,407,20100
08/03/2018,11:20,81.46,81.50,80.02,81.42,241,20195
08/06/2018,11:20,80.79,81.50,80.64,81.30,141,20164
08/07/2018,11:20,81.30,81.89,80.57,81.00,438,20320
08/08/2018,11:20,81.34,81.48,80.55,80.68,98,20335
08/09/2018,11:20,80.75,81.13,80.62,80.79,142,20315
08/10/2018,11:20,80.79,81.00,79.89,80.00,606,20504
08/13/2018,11:20,80.15,80.30,78.05,78.15,1360,21027
08/14/2018,11:20,78.10,78.19,78.00,78.04,462,21261
08/15/2018,11:20,78.29,78.50,76.84,76.84,882,21347
08/16/2018,11:20,76.75,77.74,76.60,77.50,392,21428
08/17/2018,11:20,77.10,77.49,76.90,77.38,346,21753
08/20/2018,11:20,77.74,78.48,77.66,77.90,301,21859
08/21/2018,11:20,78.05,78.47,77.65,77.73,448,22048
08/22/2018,11:20,77.65,78.25,76.95,77.27,505,22212
08/23/2018,11:20,77.27,77.45,77.00,77.02,714,22430
08/24/2018,11:20,77.18,77.74,76.76,76.78,730,22515
08/27/2018,11:20,76.75,78.00,76.75,77.74,386,22598
08/28/2018,11:20,77.85,78.24,77.44,77.74,387,22667
08/29/2018,11:20,77.75,78.25,77.63,78.17,515,22884
08/30/2018,11:20,78.20,78.20,77.50,78.08,329,22960
08/31/2018,11:20,77.70,78.35,77.70,78.26,375,22960
09/04/2018,11:20,78.48,78.48,77.43,78.00,1072,23067
09/05/2018,11:20,77.91,78.47,77.50,77.71,395,23070
09/06/2018,11:20,77.52,77.90,77.25,77.27,444,23032
09/07/2018,11:20,77.30,78.43,77.30,77.73,532,23122
09/10/2018,11:20,78.15,78.79,78.00,78.73,380,23113
09/11/2018,11:20,78.61,78.71,77.93,78.05,221,23093
09/12/2018,11:20,78.05,78.30,77.62,77.77,479,23330
09/13/2018,11:20,77.71,77.99,77.52,77.74,358,23383
09/14/2018,11:20,77.70,77.94,77.52,77.61,674,23498
09/17/2018,11:20,77.50,77.99,77.40,77.48,211,23557
09/18/2018,11:20,77.40,77.50,75.82,76.01,1532,24099
09/19/2018,11:20,76.01,76.73,75.64,76.15,514,24166
09/20/2018,11:20,76.40,76.50,75.95,76.05,826,24713
09/21/2018,11:20,76.15,76.61,76.00,76.60,698,25053
09/24/2018,11:20,76.50,76.67,76.16,76.18,77,25094
09/25/2018,11:20,76.18,76.83,75.95,76.66,378,24957
09/26/2018,11:20,76.66,76.95,76.26,76.29,181,24925
09/27/2018,11:20,76.25,76.25,75.60,76.05,585,25147
09/28/2018,11:20,76.07,76.07,75.60,75.77,506,25269
10/01/2018,11:20,75.72,76.20,75.51,75.90,843,25470
10/02/2018,11:20,75.75,76.20,75.66,75.72,250,25397
10/03/2018,11:20,75.96,76.00,75.61,75.72,482,25450
10/04/2018,11:20,75.99,76.00,75.38,75.48,228,25436
10/05/2018,11:20,75.54,75.90,75.50,75.75,189,25482
10/08/2018,11:20,75.98,76.43,75.84,76.32,1631,26474
10/09/2018,11:20,76.32,76.49,75.70,75.97,700,26465
10/10/2018,11:20,75.65,76.47,75.65,76.00,627,26595
10/11/2018,11:20,75.75,76.60,75.65,76.20,541,26581
10/12/2018,11:20,76.27,77.28,76.24,76.99,878,26788
10/15/2018,11:20,77.28,77.48,76.70,76.78,457,26879
10/16/2018,11:20,77.12,77.23,76.56,76.80,279,26841
10/17/2018,11:20,77.00,77.00,76.56,76.90,208,26853
10/18/2018,11:20,76.64,76.90,76.36,76.82,260,26799
10/19/2018,11:20,76.60,76.88,76.50,76.68,213,26760
10/22/2018,11:20,76.69,77.75,76.69,77.58,1720,27028
10/23/2018,11:20,77.50,77.94,77.19,77.51,548,27022
10/24/2018,11:20,77.54,77.55,76.75,77.00,212,26985
10/25/2018,11:20,76.93,77.36,76.70,77.07,133,27024
10/26/2018,11:20,76.88,77.50,76.75,77.33,327,27034
10/29/2018,11:20,77.47,77.49,76.72,76.75,345,27067
10/30/2018,11:20,76.72,76.82,76.56,76.77,350,26977
10/31/2018,11:20,76.77,76.95,76.51,76.86,290,27067
11/01/2018,11:20,76.95,78.34,76.52,78.32,2450,27808
11/02/2018,11:20,78.27,78.45,78.00,78.31,707,27996
11/05/2018,11:20,78.30,78.39,77.93,78.26,292,28017
11/06/2018,11:20,78.00,78.23,77.12,77.84,671,28022
11/07/2018,11:20,77.57,78.65,77.30,78.25,1087,28176
11/08/2018,11:20,78.32,79.00,77.90,78.51,833,28313
11/09/2018,11:20,78.37,78.40,77.51,78.29,1556,29092
11/12/2018,11:20,77.55,78.13,77.32,77.59,544,29370
11/13/2018,11:20,77.59,77.68,76.94,77.14,701,29414
11/14/2018,11:20,77.24,77.50,77.14,77.50,1432,30504
11/15/2018,11:20,77.35,77.55,77.06,77.30,127,30482
11/16/2018,11:20,77.26,77.78,77.17,77.21,229,30479
11/19/2018,11:20,77.77,77.77,76.79,77.18,250,30635
11/20/2018,11:20,77.18,77.18,76.60,76.63,425,30479
11/21/2018,11:20,76.66,77.48,76.60,77.08,524,30479
11/23/2018,11:20,76.89,76.89,76.50,76.55,348,30488
11/26/2018,11:20,76.60,77.00,76.24,76.97,395,30499
11/27/2018,11:20,76.65,76.65,76.41,76.62,395,30620
11/28/2018,11:20,76.46,77.29,76.46,77.05,613,30572
11/29/2018,11:20,77.00,77.29,76.76,76.81,408,30725
11/30/2018,11:20,77.06,77.30,77.00,77.03,838,30771
12/03/2018,11:20,77.61,78.49,77.61,78.04,2769,31254
12/04/2018,11:20,77.81,78.20,77.64,78.04,1055,31503
12/05/2018,11:20,78.05,78.39,77.85,78.37,1163,31713
12/06/2018,11:20,78.17,78.18,77.02,77.48,1349,32029
12/07/2018,11:20,77.40,78.35,77.35,78.03,666,32138
12/10/2018,11:20,77.85,78.13,77.53,77.63,601,32045
12/11/2018,11:20,77.83,78.13,77.41,77.82,928,31921
12/12/2018,11:20,77.94,77.94,77.55,77.73,597,32014
12/13/2018,11:20,77.65,77.66,77.19,77.43,1025,32199
12/14/2018,11:20,77.40,77.85,77.12,77.69,1204,31665
12/17/2018,11:20,77.66,77.84,76.84,77.29,689,31599
12/18/2018,11:20,77.15,77.46,76.80,76.83,357,31536
12/19/2018,11:20,76.75,77.00,76.25,76.33,1782,31134
12/20/2018,11:20,76.26,76.80,75.25,75.28,1785,30860
12/21/2018,11:20,75.34,75.55,74.00,74.06,2091,30609
12/24/2018,11:20,74.40,74.51,73.16,73.53,585,30584
12/26/2018,11:20,73.50,73.85,73.13,73.80,476,30555
12/27/2018,11:20,73.79,73.95,72.77,73.05,1475,30656
12/28/2018,11:20,72.99,73.61,72.92,73.23,712,30824
12/31/2018,11:20,73.39,73.86,73.12,73.30,834,31152
01/02/2019,11:20,73.38,73.38,72.28,72.33,1750,31274
01/03/2019,11:20,72.25,72.60,72.24,72.59,1917,31655
01/04/2019,11:20,72.60,74.13,72.60,73.84,2756,31922
01/07/2019,11:20,73.71,74.70,73.71,74.09,2098,32372
01/08/2019,11:20,74.22,74.80,73.00,73.23,1428,32467
01/09/2019,11:20,73.23,74.56,73.23,74.19,1491,32736
01/10/2019,11:20,74.08,74.65,73.71,74.11,1325,33409
01/11/2019,11:20,74.24,74.24,73.52,73.64,1899,33402
01/14/2019,11:20,73.75,74.45,73.60,74.10,826,33516
01/15/2019,11:20,74.15,74.62,73.35,73.44,2330,34350
01/16/2019,11:20,73.40,74.50,73.38,74.24,1829,35061
01/17/2019,11:20,74.45,75.00,74.45,75.00,1835,35771
01/18/2019,11:20,74.94,75.15,74.53,74.77,1073,35771
01/22/2019,11:20,75.00,75.20,73.91,74.19,881,35634
01/23/2019,11:20,74.34,74.77,74.00,74.20,502,35615
01/24/2019,11:20,74.27,74.61,73.80,74.04,519,35579
01/25/2019,11:20,74.30,74.68,74.13,74.43,1345,35674
01/28/2019,11:20,74.44,74.45,73.81,74.28,772,35799
01/29/2019,11:20,74.00,74.43,73.84,74.23,1395,35969
01/30/2019,11:20,74.13,74.45,73.97,74.42,1598,36229
01/31/2019,11:20,74.32,74.75,73.90,74.20,2531,36176
02/01/2019,11:20,74.34,74.47,73.90,74.12,4443,36832
02/04/2019,11:20,74.13,74.33,73.49,74.00,3960,37334
02/05/2019,11:20,74.05,74.49,73.73,74.34,3545,38053
02/06/2019,11:20,74.31,74.68,74.00,74.56,4219,38308
02/07/2019,11:20,74.43,74.62,73.66,74.53,6062,39595
02/08/2019,11:20,74.51,74.55,73.83,73.93,4055,40395
02/11/2019,11:20,73.75,74.08,72.50,72.70,5464,40886
02/12/2019,11:20,72.89,73.25,72.25,72.37,6096,41189
02/13/2019,11:20,72.39,72.85,72.26,72.62,4477,42949
02/14/2019,11:20,72.57,73.00,72.25,72.71,2389,43913
02/15/2019,11:20,72.62,72.93,72.27,72.80,1761,43913
02/19/2019,11:20,72.97,73.51,72.56,72.87,2125,44446
02/20/2019,11:20,72.92,73.35,72.92,73.09,2041,45311
02/21/2019,11:20,73.06,73.99,72.80,73.94,4160,45937
02/22/2019,11:20,73.94,74.67,72.53,73.51,5575,46868
02/25/2019,11:20,74.00,74.00,73.42,73.58,1516,46977
02/26/2019,11:20,73.42,73.46,72.63,72.68,1565,47339
02/27/2019,11:20,72.65,73.24,72.65,73.00,1185,47529
02/28/2019,11:20,72.97,73.60,72.80,73.28,2573,47636
03/01/2019,11:20,73.16,74.00,73.16,73.78,2789,48097
03/04/2019,11:20,73.80,74.39,73.11,73.15,3356,48207
03/05/2019,11:20,73.15,73.91,73.15,73.72,5238,48143
03/06/2019,11:20,73.64,73.82,73.36,73.56,3391,48723
03/07/2019,11:20,73.67,73.96,73.10,73.38,6903,50772
03/08/2019,11:20,73.45,73.59,72.77,73.50,3644,51716
03/11/2019,11:20,73.36,73.71,73.01,73.51,2608,53414
03/12/2019,11:20,73.51,74.47,73.22,74.28,6762,53791
03/13/2019,11:20,74.18,74.60,74.03,74.59,5705,55192
03/14/2019,11:20,74.50,74.59,73.52,74.06,2521,55078
