"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,14.14,14.23,14.05,14.11,196,3472
03/01/2018,14:00,14.07,14.11,13.90,14.00,134,3576
03/02/2018,14:00,13.96,14.10,13.95,14.09,134,3576
03/05/2018,14:00,14.13,14.22,14.07,14.19,200,3651
03/06/2018,14:00,14.19,14.29,14.10,14.15,218,3628
03/07/2018,14:00,14.13,14.13,13.94,14.02,300,3664
03/08/2018,14:00,14.00,14.11,13.91,14.10,283,3649
03/09/2018,14:00,14.08,14.13,13.96,14.03,120,3665
03/12/2018,14:00,14.05,14.06,13.86,13.90,198,3635
03/13/2018,14:00,13.92,14.03,13.79,13.83,346,3584
03/14/2018,14:00,13.85,14.08,13.78,14.05,476,3490
03/15/2018,14:00,14.12,14.17,14.03,14.12,498,3465
03/16/2018,14:00,14.16,14.34,14.06,14.33,498,3465
03/19/2018,14:00,14.35,14.62,14.35,14.57,648,3384
03/20/2018,14:00,14.58,14.73,14.39,14.45,472,3338
03/21/2018,14:00,14.42,14.51,14.37,14.47,216,3365
03/22/2018,14:00,14.43,14.49,14.28,14.31,168,3353
03/23/2018,14:00,14.26,14.30,14.11,14.23,227,3314
03/26/2018,14:00,14.26,14.49,14.26,14.38,156,3346
03/27/2018,14:00,14.35,14.38,14.26,14.36,115,3349
03/28/2018,14:00,14.37,14.41,14.31,14.34,143,3335
03/29/2018,14:00,14.38,14.38,14.27,14.27,141,3373
04/02/2018,14:00,14.29,14.34,14.16,14.29,209,3440
04/03/2018,14:00,14.26,14.44,14.26,14.44,273,3496
04/04/2018,14:00,14.44,14.48,14.41,14.46,101,3525
04/05/2018,14:00,14.48,14.49,14.38,14.38,191,3577
04/06/2018,14:00,14.35,14.49,14.35,14.41,191,3577
04/09/2018,14:00,14.42,14.51,14.42,14.46,113,3591
04/10/2018,14:00,14.49,14.49,14.42,14.43,119,3557
04/11/2018,14:00,14.42,14.45,14.38,14.40,96,3548
04/12/2018,14:00,14.41,14.45,14.39,14.41,108,3496
04/13/2018,14:00,14.40,14.43,14.39,14.41,91,3457
04/16/2018,14:00,14.41,14.44,14.41,14.42,82,3438
04/17/2018,14:00,14.43,14.50,14.43,14.48,296,3355
04/18/2018,14:00,14.45,14.51,14.45,14.49,132,3332
04/19/2018,14:00,14.49,14.54,14.49,14.51,21,3275
04/20/2018,14:00,14.51,14.52,14.50,14.52,21,3274
04/23/2018,14:00,14.53,14.53,14.52,14.52,8,3272
04/24/2018,14:00,14.51,14.54,14.51,14.52,128,3276
04/25/2018,14:00,14.52,14.53,14.50,14.53,140,3302
04/26/2018,14:00,14.50,14.51,14.50,14.51,71,3344
04/27/2018,14:00,14.51,14.51,14.51,14.51,2,3344
04/30/2018,14:00,14.50,14.51,14.50,14.50,62,3310
05/01/2018,14:00,14.51,14.51,14.50,14.51,18,3297
