"Date","Time","Open","High","Low","Close","Vol","OI"
03/15/2019,14:00,96.590,96.590,96.590,96.590,0,0
03/19/2019,14:00,94.326,94.326,94.326,94.326,0,0
03/20/2019,14:00,93.706,93.706,93.706,93.706,0,0
03/21/2019,14:00,94.477,94.477,94.477,94.477,0,0
03/22/2019,14:00,94.641,94.641,94.641,94.641,0,0
03/25/2019,14:00,94.558,94.558,94.558,94.558,0,0
03/26/2019,14:00,94.625,94.715,94.625,94.715,1,1
03/27/2019,14:00,94.773,94.773,94.773,94.773,0,1
03/28/2019,14:00,95.244,95.244,95.244,95.244,0,1
03/29/2019,14:00,95.125,95.335,95.125,95.335,55,56
04/01/2019,14:00,95.289,95.289,95.289,95.289,0,56
04/02/2019,14:00,95.413,95.413,95.413,95.413,0,56
04/03/2019,14:00,95.157,95.157,95.157,95.157,0,56
04/04/2019,14:00,95.410,95.410,95.410,95.410,0,56
04/05/2019,14:00,95.500,95.500,95.487,95.487,2,54
04/08/2019,14:00,95.090,95.090,95.090,95.090,0,54
04/09/2019,14:00,95.071,95.071,95.071,95.071,0,54
04/10/2019,14:00,95.018,95.018,95.018,95.018,0,54
04/11/2019,14:00,95.239,95.239,95.239,95.239,0,54
04/12/2019,14:00,94.900,95.043,94.900,95.043,1,54
04/15/2019,14:00,94.900,95.001,94.900,95.001,3,54
04/16/2019,14:00,95.092,95.092,95.092,95.092,0,54
04/17/2019,14:00,95.098,95.098,95.098,95.098,0,54
04/18/2019,14:00,95.576,95.576,95.576,95.576,0,54
04/22/2019,14:00,95.375,95.375,95.375,95.375,0,54
04/23/2019,14:00,95.735,95.735,95.735,95.735,0,54
04/24/2019,14:00,96.280,96.280,96.280,96.280,0,54
04/25/2019,14:00,96.460,96.460,96.210,96.344,4,58
04/26/2019,14:00,96.025,96.151,96.025,96.151,2,58
04/29/2019,14:00,96.006,96.006,96.006,96.006,0,58
04/30/2019,14:00,95.950,95.950,95.626,95.626,2,60
05/01/2019,14:00,95.580,95.870,95.530,95.870,2,59
05/02/2019,14:00,96.006,96.006,96.006,96.006,0,59
05/03/2019,14:00,95.785,95.785,95.700,95.700,1,59
05/06/2019,14:00,95.713,95.713,95.713,95.713,0,59
05/07/2019,14:00,95.844,95.844,95.844,95.844,0,59
05/08/2019,14:00,95.833,95.833,95.833,95.833,0,59
05/09/2019,14:00,95.855,95.855,95.609,95.609,1,59
05/10/2019,14:00,95.570,95.570,95.570,95.570,0,59
05/13/2019,14:00,95.590,95.590,95.420,95.565,32,68
05/14/2019,14:00,95.802,95.802,95.802,95.802,0,68
05/15/2019,14:00,95.835,95.856,95.835,95.856,2,70
05/16/2019,14:00,96.153,96.153,96.153,96.153,0,70
05/17/2019,14:00,96.260,96.299,96.260,96.299,2,72
05/20/2019,14:00,96.239,96.239,96.239,96.239,0,72
05/21/2019,14:00,96.351,96.351,96.351,96.351,0,72
05/22/2019,14:00,96.336,96.336,96.336,96.336,0,72
05/23/2019,14:00,96.183,96.183,96.183,96.183,0,72
05/24/2019,14:00,95.942,95.942,95.942,95.942,0,72
05/28/2019,14:00,96.110,96.292,96.110,96.292,20,77
05/29/2019,14:00,96.565,96.565,96.490,96.490,1,78
05/30/2019,14:00,96.503,96.503,96.503,96.503,0,78
05/31/2019,14:00,96.176,96.176,96.176,96.176,0,78
06/03/2019,14:00,95.750,95.750,95.610,95.610,3,81
06/04/2019,14:00,95.555,95.555,95.554,95.554,1,81
06/05/2019,14:00,95.500,95.826,95.300,95.826,8,87
06/06/2019,14:00,95.400,95.650,95.400,95.555,3,90
06/07/2019,14:00,95.280,95.280,95.035,95.060,4,93
06/10/2019,14:00,95.350,95.350,95.290,95.290,2,95
06/11/2019,14:00,95.220,95.220,95.220,95.220,0,98
06/12/2019,14:00,95.545,95.545,95.545,95.545,0,95
06/13/2019,14:00,95.594,95.594,95.594,95.594,0,95
06/14/2019,14:00,95.985,96.250,95.985,96.150,4,99
06/17/2019,14:00,96.137,96.137,96.137,96.137,0,99
06/18/2019,14:00,96.250,96.350,96.220,96.251,47,75
06/19/2019,14:00,95.687,95.687,95.687,95.687,0,75
06/20/2019,14:00,95.530,95.530,95.333,95.333,1,76
06/21/2019,14:00,95.120,95.120,94.885,94.913,22,98
06/24/2019,14:00,94.860,94.860,94.665,94.697,4,96
06/25/2019,14:00,94.995,94.995,94.858,94.858,2,96
06/26/2019,14:00,94.950,94.950,94.938,94.938,1,96
06/27/2019,14:00,94.907,94.907,94.907,94.907,0,96
06/28/2019,14:00,94.800,94.831,94.800,94.831,1,95
07/01/2019,14:00,95.290,95.541,95.290,95.541,13,95
07/02/2019,14:00,95.495,95.495,95.400,95.404,11,102
07/03/2019,14:00,95.441,95.441,95.441,95.441,0,102
07/05/2019,14:00,95.550,95.970,95.550,95.970,3,100
07/08/2019,14:00,96.049,96.049,96.049,96.049,0,100
07/09/2019,14:00,96.160,96.160,96.160,96.160,0,100
07/10/2019,14:00,96.130,96.130,95.770,95.770,21,79
07/11/2019,14:00,95.700,95.742,95.700,95.742,1,78
07/12/2019,14:00,95.509,95.509,95.509,95.509,0,78
07/15/2019,14:00,95.630,95.630,95.630,95.630,0,78
07/16/2019,14:00,96.123,96.123,96.123,96.123,0,78
07/17/2019,14:00,95.840,95.928,95.840,95.928,6,72
07/18/2019,14:00,95.685,95.685,95.539,95.539,1,73
07/19/2019,14:00,95.907,95.907,95.907,95.907,0,73
07/22/2019,14:00,95.900,96.027,95.900,96.027,1,72
07/23/2019,14:00,96.450,96.463,96.450,96.463,2,72
07/24/2019,14:00,96.400,96.489,96.400,96.489,2,70
07/25/2019,14:00,96.587,96.587,96.587,96.587,10,72
07/26/2019,14:00,96.625,96.776,96.625,96.776,1,72
07/29/2019,14:00,96.821,96.821,96.821,96.821,0,72
07/30/2019,14:00,96.834,96.834,96.834,96.834,0,72
07/31/2019,14:00,97.283,97.283,97.283,97.283,0,72
08/01/2019,14:00,97.655,97.655,97.174,97.174,1,73
08/02/2019,14:00,97.150,97.320,96.902,96.902,93,166
08/05/2019,14:00,96.690,96.690,96.425,96.463,23,188
08/06/2019,14:00,96.581,96.581,96.581,96.581,5,183
08/07/2019,14:00,96.510,96.545,96.510,96.525,12,195
08/08/2019,14:00,96.605,96.605,96.605,96.605,0,195
08/09/2019,14:00,96.492,96.492,96.492,96.492,0,195
08/12/2019,14:00,96.368,96.368,96.368,96.368,0,195
08/13/2019,14:00,96.785,96.796,96.785,96.796,1,194
