"Date","Time","Open","High","Low","Close","Vol","OI"
09/18/2018,14:00,92.370,92.492,92.355,92.492,26,21
09/19/2018,14:00,92.705,92.705,92.435,92.544,11,21
09/20/2018,14:00,91.921,91.921,91.921,91.921,0,21
09/21/2018,14:00,92.213,92.213,92.213,92.213,0,21
09/24/2018,14:00,92.215,92.215,92.200,92.200,2,21
09/25/2018,14:00,92.090,92.131,92.090,92.131,2,21
09/26/2018,14:00,92.188,92.188,92.188,92.188,0,21
09/27/2018,14:00,92.924,92.924,92.924,92.924,0,21
09/28/2018,14:00,93.147,93.147,93.147,93.147,0,21
10/01/2018,14:00,93.339,93.339,93.339,93.339,0,21
10/02/2018,14:00,93.550,93.550,93.550,93.550,0,21
10/03/2018,14:00,93.525,93.811,93.525,93.811,3,21
10/04/2018,14:00,93.780,93.812,93.780,93.812,1,21
10/05/2018,14:00,93.715,93.715,93.715,93.715,0,21
10/08/2018,14:00,93.846,93.846,93.846,93.846,0,21
10/09/2018,14:00,93.756,93.756,93.756,93.756,0,21
10/10/2018,14:00,93.600,93.600,93.582,93.582,1,21
10/11/2018,14:00,93.121,93.121,93.121,93.121,0,21
10/12/2018,14:00,93.306,93.306,93.306,93.306,0,21
10/15/2018,14:00,93.200,93.200,93.149,93.149,1,21
10/16/2018,14:00,93.133,93.133,93.133,93.133,0,21
10/17/2018,14:00,93.475,93.662,93.475,93.662,100,117
10/18/2018,14:00,93.998,93.998,93.998,93.998,0,117
10/19/2018,14:00,93.793,93.793,93.793,93.793,0,117
10/22/2018,14:00,93.980,94.109,93.980,94.109,2,119
10/23/2018,14:00,94.120,94.120,94.073,94.073,100,211
10/25/2018,14:00,94.815,94.815,94.815,94.815,0,211
10/26/2018,14:00,94.493,94.493,94.493,94.493,0,211
10/29/2018,14:00,94.715,94.715,94.715,94.715,1,212
10/31/2018,14:00,95.320,95.320,95.256,95.256,1,213
11/01/2018,14:00,95.095,95.095,94.400,94.441,105,219
11/02/2018,14:00,94.405,94.698,94.385,94.698,29,144
11/05/2018,14:00,94.438,94.438,94.438,94.438,0,144
11/06/2018,14:00,94.472,94.472,94.472,94.472,0,144
11/07/2018,14:00,94.360,94.390,93.910,94.162,6,146
11/08/2018,14:00,94.900,94.900,94.900,94.900,0,146
11/09/2018,14:00,94.770,95.084,94.770,95.084,1,145
11/12/2018,14:00,95.255,95.717,95.255,95.717,26,167
11/13/2018,14:00,95.615,95.615,95.474,95.474,10,177
11/14/2018,14:00,95.545,95.545,94.985,94.989,3,180
11/16/2018,14:00,94.678,94.678,94.678,94.678,0,180
11/19/2018,14:00,94.535,94.535,94.400,94.431,3,183
11/20/2018,14:00,95.081,95.081,95.081,95.081,0,183
11/21/2018,14:00,94.950,94.950,94.950,94.950,0,183
11/22/2018,14:00,94.845,94.950,94.845,94.950,2,185
11/23/2018,14:00,95.000,95.190,95.000,95.190,1,184
11/26/2018,14:00,95.080,95.344,95.080,95.344,1,184
11/27/2018,14:00,95.650,95.650,95.650,95.650,0,184
11/28/2018,14:00,95.650,95.650,95.061,95.061,1,185
11/29/2018,14:00,95.200,95.200,94.920,95.069,5,183
11/30/2018,14:00,95.465,95.566,95.465,95.566,1,183
12/03/2018,14:00,95.470,95.470,95.314,95.314,1,184
12/04/2018,14:00,95.280,95.380,95.280,95.302,24,208
12/05/2018,14:00,95.580,95.580,95.410,95.410,21,229
12/06/2018,14:00,95.189,95.189,95.189,95.189,0,229
12/07/2018,14:00,95.200,95.310,94.906,94.906,6,233
12/10/2018,14:00,94.775,95.628,94.775,95.628,7,232
12/11/2018,14:00,95.798,95.798,95.798,95.798,0,232
12/12/2018,14:00,95.595,95.595,95.425,95.478,22,212
12/13/2018,14:00,95.485,95.565,95.485,95.516,3,214
12/14/2018,14:00,96.020,96.020,95.885,95.885,1,215
12/17/2018,14:00,95.525,95.525,95.525,95.525,0,215
12/18/2018,14:00,95.240,95.555,95.240,95.555,1,216
12/19/2018,14:00,95.190,95.494,95.190,95.494,3,216
12/21/2018,14:00,95.020,95.430,95.020,95.430,4,214
12/24/2018,14:00,95.002,95.002,95.002,95.002,0,214
12/26/2018,14:00,95.558,95.558,95.558,95.558,0,214
12/27/2018,14:00,95.001,95.001,95.001,95.001,0,214
12/28/2018,14:00,94.965,94.965,94.965,94.965,0,214
12/31/2018,14:00,94.735,94.735,94.735,94.735,0,214
01/02/2019,14:00,95.420,95.421,95.420,95.421,1,215
01/03/2019,14:00,95.265,95.265,94.928,94.928,2,213
01/04/2019,14:00,94.795,94.795,94.795,94.795,0,213
01/07/2019,14:00,94.395,94.395,94.283,94.283,13,214
01/08/2019,14:00,94.400,94.519,94.395,94.519,2,215
01/09/2019,14:00,94.415,94.415,93.785,93.840,6,213
01/10/2019,14:00,93.880,94.170,93.880,94.170,5,208
01/11/2019,14:00,93.905,94.306,93.905,94.306,29,209
01/14/2019,14:00,94.247,94.247,94.247,94.247,0,209
01/15/2019,14:00,94.475,94.730,94.475,94.690,12,197
01/16/2019,14:00,94.692,94.692,94.692,94.692,0,197
01/17/2019,14:00,94.723,94.723,94.723,94.723,0,197
01/18/2019,14:00,94.740,95.013,94.740,95.013,14,211
01/22/2019,14:00,94.875,94.979,94.875,94.979,4,211
01/23/2019,14:00,94.875,94.875,94.782,94.782,10,201
01/24/2019,14:00,95.312,95.312,95.312,95.312,0,201
