"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,97.1950,97.2000,97.1000,97.1200,496706,2040635
02/28/2018,14:00,97.1300,97.1550,97.0850,97.1500,440123,2031968
03/01/2018,14:00,97.1550,97.2500,97.1400,97.2450,515850,2088897
03/02/2018,14:00,97.2450,97.2700,97.1900,97.2050,515850,2087990
03/05/2018,14:00,97.1950,97.2600,97.1750,97.1850,272458,2091428
03/06/2018,14:00,97.1750,97.2000,97.1550,97.1650,353100,2120012
03/07/2018,14:00,97.1800,97.2200,97.1450,97.1500,316101,2138183
03/08/2018,14:00,97.1450,97.1750,97.1350,97.1500,204977,2144997
03/09/2018,14:00,97.1500,97.1600,97.1000,97.1150,486425,2174549
03/12/2018,14:00,97.1150,97.1250,97.1000,97.1150,238902,2206516
03/13/2018,14:00,97.1150,97.1450,97.1000,97.1200,385521,2238299
03/14/2018,14:00,97.1250,97.1750,97.1000,97.1500,464894,2273441
03/15/2018,14:00,97.1500,97.1750,97.1350,97.1450,280528,2253815
03/16/2018,14:00,97.1350,97.1600,97.1050,97.1100,280528,2253795
03/19/2018,14:00,97.1050,97.1450,97.0900,97.1300,334357,2230712
03/20/2018,14:00,97.1150,97.1200,97.0700,97.0850,332109,2206955
03/21/2018,14:00,97.0750,97.1100,97.0100,97.0650,1134354,2267988
03/22/2018,14:00,97.0950,97.1700,97.0750,97.1350,628469,2213340
03/23/2018,14:00,97.1450,97.2000,97.1350,97.1650,470206,2166794
03/26/2018,14:00,97.1700,97.1850,97.1250,97.1400,222440,2167522
03/27/2018,14:00,97.1350,97.2350,97.1300,97.2200,389393,2159579
03/28/2018,14:00,97.2350,97.2700,97.2000,97.2200,675130,2162214
03/29/2018,14:00,97.2150,97.2300,97.2000,97.2150,283176,2202893
04/02/2018,14:00,97.2000,97.2550,97.1850,97.2400,202041,2206938
04/03/2018,14:00,97.2400,97.2450,97.1850,97.1900,266908,2196808
04/04/2018,14:00,97.1950,97.2250,97.1700,97.1900,338220,2197129
04/05/2018,14:00,97.1700,97.1750,97.1450,97.1500,496145,2153113
04/06/2018,14:00,97.1550,97.2200,97.1500,97.2100,496145,2153113
04/09/2018,14:00,97.2150,97.2200,97.1900,97.2050,185815,2127140
04/10/2018,14:00,97.2050,97.2100,97.1750,97.1800,197501,2131557
04/11/2018,14:00,97.1650,97.2200,97.1650,97.1800,340642,2138916
04/12/2018,14:00,97.1800,97.1900,97.1250,97.1300,291274,2148012
04/13/2018,14:00,97.1350,97.1550,97.1050,97.1100,221085,2158465
04/16/2018,14:00,97.1150,97.1150,97.0700,97.1000,266262,2164523
04/17/2018,14:00,97.0950,97.1150,97.0750,97.1100,223480,2134074
04/18/2018,14:00,97.1000,97.1050,97.0550,97.0650,238487,2133353
04/19/2018,14:00,97.0700,97.0750,97.0400,97.0500,266192,2086470
04/20/2018,14:00,97.0500,97.0650,97.0100,97.0200,266192,2082770
04/23/2018,14:00,97.0150,97.0150,96.9850,97.0050,244952,2069360
04/24/2018,14:00,96.9950,97.0250,96.9800,97.0200,364769,2035456
04/25/2018,14:00,97.0000,97.0150,96.9800,96.9950,299099,1992431
04/26/2018,14:00,96.9950,97.0300,96.9900,97.0150,234524,1985124
04/27/2018,14:00,97.0150,97.0450,97.0050,97.0350,327184,1974626
04/30/2018,14:00,97.0250,97.0350,97.0100,97.0300,160284,1989420
05/01/2018,14:00,97.0200,97.0250,96.9950,96.9950,159298,1988853
05/02/2018,14:00,97.0050,97.0100,96.9750,97.0050,299050,1978665
05/03/2018,14:00,97.0050,97.0450,97.0050,97.0350,314064,2001236
05/04/2018,14:00,97.0350,97.0650,97.0100,97.0200,314064,1986984
05/07/2018,14:00,97.0100,97.0250,97.0000,97.0150,77656,1984107
05/08/2018,14:00,97.0050,97.0200,96.9900,97.0000,196859,1977188
05/09/2018,14:00,96.9900,96.9950,96.9700,96.9800,231611,1983517
05/10/2018,14:00,96.9750,97.0300,96.9700,96.9800,271726,1992940
05/11/2018,14:00,96.9850,97.0100,96.9850,97.0050,198872,1979197
05/14/2018,14:00,97.0000,97.0200,96.9900,97.0050,207834,1963208
05/15/2018,14:00,96.9900,97.0000,96.9250,96.9350,498023,1941026
