"Date","Time","Open","High","Low","Close","Vol","OI"
12/20/2018,14:00,2518.25,2518.25,2518.25,2518.25,0,0
12/21/2018,14:00,2430.50,2430.50,2430.50,2430.50,0,0
12/24/2018,14:00,2356.00,2356.00,2356.00,2356.00,0,0
12/26/2018,14:00,2488.00,2488.00,2488.00,2488.00,0,0
12/27/2018,14:00,2509.50,2509.50,2509.50,2509.50,0,0
12/28/2018,14:00,2504.25,2504.25,2504.25,2504.25,0,0
12/31/2018,14:00,2517.75,2517.75,2517.75,2517.75,0,0
01/02/2019,14:00,2527.25,2527.25,2527.25,2527.25,0,0
01/03/2019,14:00,2462.75,2462.75,2462.75,2462.75,0,0
01/04/2019,14:00,2547.50,2547.50,2547.50,2547.50,0,0
01/07/2019,14:00,2566.25,2566.25,2566.25,2566.25,0,0
01/08/2019,14:00,2588.00,2588.00,2588.00,2588.00,0,0
01/09/2019,14:00,2597.75,2597.75,2597.75,2597.75,0,0
01/10/2019,14:00,2610.50,2610.50,2610.50,2610.50,0,0
01/11/2019,14:00,2602.00,2611.50,2600.00,2611.50,3,3
01/14/2019,14:00,2575.50,2598.25,2575.50,2598.25,1,4
01/15/2019,14:00,2624.00,2624.00,2624.00,2624.00,5,5
01/16/2019,14:00,2645.00,2645.00,2630.25,2630.25,8,7
01/17/2019,14:00,2653.00,2653.00,2653.00,2653.00,0,7
01/18/2019,14:00,2677.00,2692.50,2669.00,2692.50,16,10
01/22/2019,14:00,2652.50,2652.50,2652.50,2652.50,0,10
01/23/2019,14:00,2652.50,2659.50,2652.50,2659.50,11,10
01/24/2019,14:00,2655.50,2655.50,2655.50,2655.50,0,10
01/25/2019,14:00,2685.50,2685.50,2685.50,2685.50,0,10
01/28/2019,14:00,2657.50,2663.00,2655.25,2663.00,7,11
01/29/2019,14:00,2662.00,2662.00,2662.00,2662.00,0,11
01/30/2019,14:00,2704.00,2704.00,2704.00,2704.00,2070,2081
01/31/2019,14:00,2700.50,2731.00,2700.50,2728.00,12,2081
02/01/2019,14:00,2726.75,2726.75,2726.75,2726.75,0,2081
02/04/2019,14:00,2743.00,2743.00,2743.00,2743.00,0,2081
02/05/2019,14:00,2751.00,2754.50,2746.00,2754.50,12,2081
02/06/2019,14:00,2751.25,2751.25,2751.25,2751.25,0,2081
02/07/2019,14:00,2725.75,2725.75,2725.75,2725.75,0,2081
02/08/2019,14:00,2727.00,2727.00,2727.00,2727.00,3,2080
02/11/2019,14:00,2729.75,2729.75,2729.75,2729.75,0,2080
02/12/2019,14:00,2766.50,2766.50,2766.50,2766.50,0,2080
02/13/2019,14:00,2771.25,2771.25,2771.25,2771.25,0,2080
02/14/2019,14:00,2765.25,2765.25,2765.25,2765.25,5,2080
02/15/2019,14:00,2788.00,2798.00,2783.00,2798.00,5,2080
02/19/2019,14:00,2804.25,2804.25,2799.25,2799.25,2,2081
02/20/2019,14:00,2802.00,2805.75,2797.00,2805.75,13,2081
02/21/2019,14:00,2794.50,2794.50,2794.50,2794.50,0,2081
02/22/2019,14:00,2811.75,2811.75,2811.75,2811.75,0,2081
02/25/2019,14:00,2820.00,2820.00,2816.50,2816.50,2,2081
02/26/2019,14:00,2812.00,2812.00,2812.00,2812.00,0,2081
02/27/2019,14:00,2815.25,2815.25,2815.25,2815.25,0,2081
02/28/2019,14:00,2804.50,2804.50,2804.50,2804.50,0,2081
03/01/2019,14:00,2824.00,2824.00,2824.00,2824.00,0,2081
03/04/2019,14:00,2836.00,2836.50,2810.75,2810.75,13,2084
03/05/2019,14:00,2810.50,2810.50,2810.50,2810.50,0,2084
03/06/2019,14:00,2792.25,2792.25,2792.25,2792.25,0,2084
03/07/2019,14:00,2769.75,2769.75,2769.75,2769.75,0,2084
03/08/2019,14:00,2766.25,2766.25,2766.25,2766.25,2,2082
03/11/2019,14:00,2803.00,2803.00,2803.00,2803.00,0,2082
03/12/2019,14:00,2810.00,2810.75,2810.00,2810.75,2,2082
03/13/2019,14:00,2830.00,2833.75,2830.00,2833.75,1,2082
03/14/2019,14:00,2826.25,2826.25,2826.25,2826.25,0,2082
03/15/2019,14:00,2836.00,2843.50,2833.00,2843.50,6,2083
03/18/2019,14:00,2847.50,2854.50,2847.50,2854.50,7,2085
03/19/2019,14:00,2860.00,2868.00,2850.25,2850.25,15,2487
03/20/2019,14:00,2841.50,2841.50,2841.50,2841.50,0,2487
03/21/2019,14:00,2870.00,2877.00,2870.00,2877.00,1,2488
03/22/2019,14:00,2825.00,2825.00,2825.00,2825.00,3,2486
03/25/2019,14:00,2805.00,2820.75,2805.00,2820.75,5,2483
03/26/2019,14:00,2823.00,2837.00,2823.00,2837.00,3,2486
03/27/2019,14:00,2832.00,2832.00,2822.75,2822.75,2,2488
03/28/2019,14:00,2833.25,2833.25,2833.25,2833.25,4,2488
03/29/2019,14:00,2851.25,2851.25,2851.25,2851.25,4,2488
04/01/2019,14:00,2866.00,2885.75,2866.00,2885.75,5,2490
04/02/2019,14:00,2882.50,2882.50,2882.50,2882.50,0,2490
