"Date","Time","Open","High","Low","Close","Vol","OI"
03/22/2018,14:00,1.00460,1.00460,1.00460,1.00460,0,0
03/23/2018,14:00,1.01250,1.01250,1.01250,1.01250,0,0
03/26/2018,14:00,1.00840,1.00840,1.00840,1.00840,0,0
03/27/2018,14:00,1.00445,1.00445,1.00445,1.00445,0,0
03/28/2018,14:00,0.99165,0.99165,0.99165,0.99165,0,0
03/29/2018,14:00,0.99485,0.99485,0.99485,0.99485,0,0
04/02/2018,14:00,0.99955,0.99955,0.99955,0.99955,0,0
04/03/2018,14:00,0.99380,0.99380,0.99380,0.99380,0,0
04/04/2018,14:00,0.99280,0.99280,0.99280,0.99280,0,0
04/05/2018,14:00,0.98640,0.98640,0.98640,0.98640,0,0
04/06/2018,14:00,0.99115,0.99115,0.99115,0.99115,0,0
04/09/2018,14:00,0.99170,0.99170,0.99170,0.99170,0,0
04/10/2018,14:00,0.98835,0.98835,0.98835,0.98835,0,0
04/11/2018,14:00,0.99045,0.99045,0.99045,0.99045,0,0
04/12/2018,14:00,0.98860,0.98860,0.98860,0.98860,0,0
04/13/2018,14:00,0.98705,0.98705,0.98705,0.98705,0,0
04/16/2018,14:00,0.99035,0.99035,0.99035,0.99035,0,0
04/17/2018,14:00,0.99060,0.99060,0.99060,0.99060,0,0
04/18/2018,14:00,0.98830,0.98830,0.98830,0.98830,0,0
04/19/2018,14:00,0.98690,0.98690,0.98690,0.98690,0,0
04/20/2018,14:00,0.98550,0.98550,0.98550,0.98550,0,0
04/23/2018,14:00,0.97630,0.97630,0.97630,0.97630,0,0
04/24/2018,14:00,0.97550,0.97550,0.97550,0.97550,0,0
04/25/2018,14:00,0.96950,0.96950,0.96950,0.96950,0,0
04/26/2018,14:00,0.96895,0.96895,0.96895,0.96895,0,0
04/27/2018,14:00,0.97160,0.97160,0.97160,0.97160,0,0
04/30/2018,14:00,0.96935,0.96935,0.96935,0.96935,0,0
05/01/2018,14:00,0.96500,0.96500,0.96500,0.96500,0,0
05/02/2018,14:00,0.96535,0.96535,0.96535,0.96535,0,0
05/03/2018,14:00,0.96950,0.96950,0.96950,0.96950,0,0
05/04/2018,14:00,0.97055,0.97055,0.97055,0.97055,0,0
05/07/2018,14:00,0.97125,0.97125,0.97125,0.97125,0,0
05/08/2018,14:00,0.97115,0.97115,0.97115,0.97115,0,0
05/09/2018,14:00,0.96480,0.96480,0.96480,0.96480,0,0
05/10/2018,14:00,0.96765,0.96765,0.96765,0.96765,0,0
05/11/2018,14:00,0.96805,0.96805,0.96805,0.96805,0,0
05/14/2018,14:00,0.96460,0.96460,0.96460,0.96460,0,0
05/15/2018,14:00,0.95910,0.95910,0.95910,0.95910,0,0
05/16/2018,14:00,0.96030,0.96030,0.96030,0.96030,0,0
05/17/2018,14:00,0.95560,0.95560,0.95560,0.95560,0,0
05/18/2018,14:00,0.95610,0.95610,0.95610,0.95610,0,0
05/21/2018,14:00,0.95255,0.95255,0.95255,0.95255,0,0
05/22/2018,14:00,0.95360,0.95360,0.95360,0.95360,0,0
05/23/2018,14:00,0.96130,0.96130,0.96130,0.96130,0,0
05/24/2018,14:00,0.96710,0.96710,0.96710,0.96710,0,0
05/25/2018,14:00,0.96575,0.96575,0.96575,0.96575,0,0
05/29/2018,14:00,0.97460,0.97460,0.97460,0.97460,0,0
05/30/2018,14:00,0.96940,0.96940,0.96940,0.96940,0,0
05/31/2018,14:00,0.97175,0.97175,0.97175,0.97175,0,0
06/01/2018,14:00,0.96450,0.96450,0.96450,0.96450,0,0
06/04/2018,14:00,0.96300,0.96300,0.96300,0.96300,0,0
06/05/2018,14:00,0.96245,0.96245,0.96245,0.96245,0,0
06/06/2018,14:00,0.95920,0.95920,0.95920,0.95920,0,0
06/07/2018,14:00,0.96255,0.96255,0.96255,0.96255,0,0
06/08/2018,14:00,0.96455,0.96455,0.96455,0.96455,0,0
06/11/2018,14:00,0.96050,0.96050,0.96050,0.96050,0,0
06/12/2018,14:00,0.95745,0.95745,0.95745,0.95745,0,0
06/13/2018,14:00,0.95555,0.95555,0.95555,0.95555,0,0
06/14/2018,14:00,0.95515,0.95515,0.95515,0.95515,0,0
06/15/2018,14:00,0.95455,0.95455,0.95455,0.95455,0,0
06/18/2018,14:00,0.95555,0.95555,0.95555,0.95555,0,0
06/19/2018,14:00,0.95885,0.95885,0.95885,0.95885,0,0
06/20/2018,14:00,0.95580,0.95580,0.95580,0.95580,0,0
06/21/2018,14:00,0.96025,0.96025,0.96025,0.96025,0,0
06/22/2018,14:00,0.96005,0.96005,0.96005,0.96005,0,0
06/25/2018,14:00,0.96370,0.96370,0.96370,0.96370,0,0
06/26/2018,14:00,0.95715,0.95715,0.95715,0.95715,0,0
06/27/2018,14:00,0.95610,0.95610,0.95610,0.95610,0,0
06/28/2018,14:00,0.95255,0.95255,0.95255,0.95255,0,0
06/29/2018,14:00,0.95025,0.95025,0.95025,0.95025,0,0
07/02/2018,14:00,0.95030,0.95030,0.95030,0.95030,0,0
07/03/2018,14:00,0.95255,0.95255,0.95255,0.95255,0,0
07/05/2018,14:00,0.95155,0.95155,0.95155,0.95155,0,0
07/06/2018,14:00,0.95340,0.95340,0.95340,0.95340,0,0
07/09/2018,14:00,0.95050,0.95050,0.95050,0.95050,0,0
07/10/2018,14:00,0.94605,0.94605,0.94605,0.94605,0,0
07/11/2018,14:00,0.93925,0.93925,0.93925,0.93925,0,0
07/12/2018,14:00,0.93595,0.93595,0.93595,0.93595,0,0
07/13/2018,14:00,0.93660,0.93660,0.93660,0.93660,0,0
07/16/2018,14:00,0.93725,0.93725,0.93725,0.93725,0,0
07/17/2018,14:00,0.93275,0.93275,0.93275,0.93275,0,0
07/18/2018,14:00,0.93265,0.93265,0.93265,0.93265,0,0
07/19/2018,14:00,0.93535,0.93535,0.93535,0.93535,0,0
07/20/2018,14:00,0.94315,0.94315,0.94315,0.94315,0,0
07/23/2018,14:00,0.94365,0.94365,0.94365,0.94365,0,0
07/24/2018,14:00,0.94595,0.94595,0.94595,0.94595,0,0
07/25/2018,14:00,0.94900,0.94900,0.94900,0.94900,0,0
07/26/2018,14:00,0.94575,0.94575,0.94575,0.94575,0,0
07/27/2018,14:00,0.94770,0.94770,0.94770,0.94770,0,0
07/30/2018,14:00,0.94725,0.94725,0.94725,0.94725,0,0
07/31/2018,14:00,0.94045,0.94045,0.94045,0.94045,0,0
08/01/2018,14:00,0.94290,0.94290,0.94290,0.94290,0,0
08/02/2018,14:00,0.94140,0.94140,0.94140,0.94140,0,0
08/03/2018,14:00,0.94495,0.94495,0.94495,0.94495,0,0
08/06/2018,14:00,0.94360,0.94360,0.94360,0.94360,0,0
08/07/2018,14:00,0.94370,0.94370,0.94370,0.94370,0,0
08/08/2018,14:00,0.94730,0.94730,0.94730,0.94730,0,0
08/09/2018,14:00,0.94625,0.94625,0.94625,0.94625,0,0
08/10/2018,14:00,0.94930,0.94930,0.94930,0.94930,0,0
08/13/2018,14:00,0.94900,0.94900,0.94900,0.94900,0,0
08/14/2018,14:00,0.94430,0.94430,0.94430,0.94430,0,0
08/15/2018,14:00,0.94925,0.94925,0.94925,0.94925,0,0
08/16/2018,14:00,0.94680,0.94680,0.94680,0.94680,0,0
08/17/2018,14:00,0.94895,0.94895,0.94895,0.94895,0,0
08/20/2018,14:00,0.95225,0.95225,0.95225,0.95225,0,0
08/21/2018,14:00,0.95035,0.95035,0.95035,0.95035,0,0
08/22/2018,14:00,0.94880,0.94880,0.94880,0.94880,0,0
08/23/2018,14:00,0.94250,0.94250,0.94250,0.94250,0,0
08/24/2018,14:00,0.94320,0.94320,0.94320,0.94320,0,0
08/27/2018,14:00,0.94430,0.94430,0.94430,0.94430,0,0
08/28/2018,14:00,0.94345,0.94345,0.94345,0.94345,0,0
08/29/2018,14:00,0.93955,0.93955,0.93955,0.93955,0,0
08/30/2018,14:00,0.94470,0.94470,0.94470,0.94470,0,0
08/31/2018,14:00,0.94470,0.94470,0.94460,0.94460,1,1
09/04/2018,14:00,0.94095,0.94095,0.94095,0.94095,0,1
09/05/2018,14:00,0.94050,0.94050,0.94050,0.94050,0,1
09/06/2018,14:00,0.94580,0.94580,0.94580,0.94580,0,1
09/07/2018,14:00,0.94470,0.94470,0.94470,0.94470,0,1
09/10/2018,14:00,0.94315,0.94315,0.94315,0.94315,0,1
09/11/2018,14:00,0.94025,0.94025,0.94025,0.94025,0,1
09/12/2018,14:00,0.94315,0.94315,0.94315,0.94315,0,1
09/13/2018,14:00,0.93730,0.93730,0.93730,0.93730,0,1
09/14/2018,14:00,0.93645,0.93645,0.93645,0.93645,0,1
09/17/2018,14:00,0.93775,0.93775,0.93775,0.93775,0,1
09/18/2018,14:00,0.93335,0.93335,0.93335,0.93335,0,1
09/19/2018,14:00,0.93440,0.93440,0.93440,0.93440,0,1
09/20/2018,14:00,0.93230,0.93230,0.93230,0.93230,0,1
09/21/2018,14:00,0.93175,0.93175,0.93175,0.93175,0,1
09/24/2018,14:00,0.93030,0.93030,0.93030,0.93030,0,1
09/25/2018,14:00,0.92875,0.92875,0.92875,0.92875,0,1
09/26/2018,14:00,0.92930,0.92930,0.92930,0.92930,0,1
09/27/2018,14:00,0.92420,0.92420,0.92420,0.92420,0,1
09/28/2018,14:00,0.92250,0.92250,0.92250,0.92250,0,1
10/01/2018,14:00,0.91920,0.91920,0.91920,0.91920,0,1
10/02/2018,14:00,0.92155,0.92155,0.92155,0.92155,0,1
10/03/2018,14:00,0.91650,0.91650,0.91650,0.91650,0,1
10/04/2018,14:00,0.92045,0.92045,0.92045,0.92045,0,1
10/05/2018,14:00,0.92155,0.92155,0.92155,0.92155,0,1
10/08/2018,14:00,0.92745,0.92745,0.92745,0.92745,0,1
10/09/2018,14:00,0.92725,0.92725,0.92725,0.92725,0,1
10/10/2018,14:00,0.93095,0.93095,0.93095,0.93095,0,1
10/11/2018,14:00,0.93625,0.93625,0.93625,0.93625,0,1
10/12/2018,14:00,0.93590,0.93590,0.93590,0.93590,0,1
10/15/2018,14:00,0.93705,0.93705,0.93705,0.93705,0,1
10/16/2018,14:00,0.93435,0.93435,0.93435,0.93435,0,1
10/17/2018,14:00,0.93175,0.93175,0.93175,0.93175,0,1
10/18/2018,14:00,0.93420,0.93420,0.93420,0.93420,0,1
10/19/2018,14:00,0.93105,0.93105,0.93105,0.93105,0,1
10/22/2018,14:00,0.92890,0.92890,0.92890,0.92890,0,1
10/23/2018,14:00,0.93125,0.93125,0.93125,0.93125,0,1
10/24/2018,14:00,0.93130,0.93130,0.93130,0.93130,0,1
10/25/2018,14:00,0.92990,0.92990,0.92990,0.92990,0,1
10/26/2018,14:00,0.93585,0.93585,0.93585,0.93585,0,1
10/29/2018,14:00,0.93170,0.93170,0.93170,0.93170,0,1
10/30/2018,14:00,0.92590,0.92590,0.92590,0.92590,0,1
10/31/2018,14:00,0.92555,0.92555,0.92555,0.92555,0,1
11/01/2018,14:00,0.92500,0.92800,0.92500,0.92800,2,3
11/02/2018,14:00,0.92360,0.92360,0.92360,0.92360,0,3
11/05/2018,14:00,0.92420,0.92420,0.92420,0.92420,0,3
11/06/2018,14:00,0.92290,0.92290,0.92290,0.92290,0,3
11/07/2018,14:00,0.92330,0.92330,0.92330,0.92330,0,3
11/08/2018,14:00,0.91820,0.91820,0.91820,0.91820,0,3
11/09/2018,14:00,0.91965,0.91965,0.91965,0.91965,0,3
11/12/2018,14:00,0.91900,0.91900,0.91900,0.91900,0,3
11/13/2018,14:00,0.91905,0.91905,0.91905,0.91905,0,3
11/14/2018,14:00,0.92145,0.92145,0.92145,0.92145,0,3
11/15/2018,14:00,0.92045,0.92045,0.92045,0.92045,0,3
11/16/2018,14:00,0.92575,0.92575,0.92575,0.92575,0,3
11/19/2018,14:00,0.92760,0.92760,0.92760,0.92760,0,3
11/20/2018,14:00,0.92605,0.92605,0.92605,0.92605,0,3
11/21/2018,14:00,0.92330,0.92330,0.92330,0.92330,0,3
11/23/2018,14:00,0.92505,0.92505,0.92505,0.92505,0,3
11/26/2018,14:00,0.91825,0.91825,0.91825,0.91825,0,3
11/27/2018,14:00,0.91695,0.91695,0.91695,0.91695,0,3
11/28/2018,14:00,0.91875,0.91875,0.91875,0.91875,0,3
11/29/2018,14:00,0.91905,0.91905,0.91905,0.91905,0,3
11/30/2018,14:00,0.91790,0.91790,0.91790,0.91790,0,3
12/03/2018,14:00,0.91735,0.91735,0.91735,0.91735,0,3
12/04/2018,14:00,0.92435,0.92435,0.92435,0.92435,0,3
12/06/2018,14:00,0.92510,0.92510,0.92510,0.92510,0,3
12/07/2018,14:00,0.92440,0.92440,0.92440,0.92440,0,3
12/10/2018,14:00,0.91965,0.91965,0.91965,0.91965,0,3
12/11/2018,14:00,0.91805,0.91805,0.91805,0.91805,0,3
12/12/2018,14:00,0.91965,0.91965,0.91965,0.91965,0,3
12/13/2018,14:00,0.91580,0.91580,0.91580,0.91580,0,3
12/14/2018,14:00,0.91845,0.91845,0.91845,0.91845,0,3
12/17/2018,14:00,0.92250,0.92250,0.92250,0.92250,10,13
12/18/2018,14:00,0.92375,0.92375,0.92375,0.92375,0,13
12/19/2018,14:00,0.92525,0.92525,0.92525,0.92525,2,15
12/20/2018,14:00,0.93515,0.93515,0.93515,0.93515,4,18
12/21/2018,14:00,0.93325,0.93325,0.93325,0.93325,1,18
12/24/2018,14:00,0.94065,0.94065,0.94065,0.94065,0,18
12/26/2018,14:00,0.93230,0.93230,0.93230,0.93230,0,18
12/27/2018,14:00,0.93675,0.93675,0.93675,0.93675,2,20
12/28/2018,14:00,0.93950,0.93950,0.93950,0.93950,2,20
12/31/2018,14:00,0.94550,0.94550,0.94550,0.94550,0,20
01/02/2019,14:00,0.94965,0.94965,0.94965,0.94965,9,28
01/03/2019,14:00,0.96080,0.96165,0.96080,0.96165,9,36
01/04/2019,14:00,0.95545,0.95545,0.95545,0.95545,0,36
01/07/2019,14:00,0.95480,0.95480,0.95480,0.95480,2,38
01/08/2019,14:00,0.95450,0.95450,0.95450,0.95450,1,39
01/09/2019,14:00,0.95760,0.95760,0.95760,0.95760,0,39
01/10/2019,14:00,0.95610,0.95610,0.95610,0.95610,0,39
01/11/2019,14:00,0.95540,0.95540,0.95540,0.95540,1,40
01/14/2019,14:00,0.95790,0.95790,0.95790,0.95790,0,40
01/15/2019,14:00,0.95455,0.95455,0.95455,0.95455,0,40
01/16/2019,14:00,0.95165,0.95165,0.95165,0.95165,2,42
01/17/2019,14:00,0.94855,0.94855,0.94855,0.94855,2,44
01/18/2019,14:00,0.94840,0.94840,0.94410,0.94410,2,44
01/22/2019,14:00,0.94820,0.94820,0.94820,0.94820,3,47
01/23/2019,14:00,0.94535,0.94535,0.94535,0.94535,0,47
01/24/2019,14:00,0.94420,0.94420,0.94420,0.94420,1,48
01/25/2019,14:00,0.94475,0.94475,0.94475,0.94475,1,48
01/28/2019,14:00,0.94715,0.94715,0.94715,0.94715,2,50
01/29/2019,14:00,0.94775,0.94775,0.94775,0.94775,0,50
01/30/2019,14:00,0.95035,0.95035,0.95035,0.95035,0,50
01/31/2019,14:00,0.95000,0.95000,0.95000,0.95000,5,48
02/01/2019,14:00,0.94460,0.94460,0.94460,0.94460,0,48
02/04/2019,14:00,0.94110,0.94110,0.94110,0.94110,0,48
02/05/2019,14:00,0.94055,0.94055,0.94055,0.94055,2,50
