"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,445.10,445.10,445.10,445.10,0,10
03/01/2018,14:00,435.10,435.10,435.10,435.10,0,10
03/02/2018,14:00,430.50,430.50,430.50,430.50,0,10
03/05/2018,14:00,423.90,423.90,423.90,423.90,0,10
03/06/2018,14:00,433.90,433.90,433.90,433.90,0,10
03/07/2018,14:00,433.10,433.10,433.10,433.10,0,10
03/08/2018,14:00,434.00,434.00,434.00,434.00,0,10
03/09/2018,14:00,436.40,436.40,436.40,436.40,0,10
03/12/2018,14:00,438.40,438.40,438.40,438.40,0,10
03/13/2018,14:00,438.80,438.80,438.80,438.80,0,10
03/14/2018,14:00,432.40,432.40,432.40,432.40,0,10
03/15/2018,14:00,436.00,436.00,436.00,436.00,1,10
03/16/2018,14:00,432.10,432.10,432.10,432.10,1,10
03/19/2018,14:00,431.80,431.80,431.80,431.80,0,10
03/20/2018,14:00,432.50,432.50,432.50,432.50,0,10
03/21/2018,14:00,429.20,429.20,429.20,429.20,0,10
03/22/2018,14:00,430.80,430.80,430.80,430.80,0,10
03/23/2018,14:00,432.60,432.60,432.60,432.60,2,11
03/26/2018,14:00,438.10,438.10,438.10,438.10,0,11
03/27/2018,14:00,448.10,448.10,448.10,448.10,0,11
03/28/2018,14:00,445.00,449.90,443.00,447.90,9,20
03/29/2018,14:00,450.90,454.40,450.40,454.40,13,32
04/02/2018,14:00,450.50,450.50,450.40,450.40,2,33
04/03/2018,14:00,453.40,453.90,452.40,452.40,8,40
04/04/2018,14:00,457.00,461.00,457.00,461.00,10,50
04/05/2018,14:00,470.70,470.70,470.70,470.70,3,52
04/06/2018,14:00,469.30,469.30,467.00,469.30,3,52
04/09/2018,14:00,463.10,464.90,463.00,464.90,6,57
04/10/2018,14:00,466.40,466.40,460.40,463.40,8,65
04/11/2018,14:00,457.50,457.50,457.50,457.50,0,65
04/12/2018,14:00,457.40,457.40,457.40,457.40,0,65
04/13/2018,14:00,455.70,455.70,455.70,455.70,0,65
04/16/2018,14:00,457.40,462.00,457.40,461.70,6,70
04/17/2018,14:00,463.70,469.70,463.70,469.70,10,80
04/18/2018,14:00,473.00,473.70,473.00,473.00,6,82
04/19/2018,14:00,477.40,478.40,476.10,476.10,3,87
04/20/2018,14:00,474.00,477.40,474.00,476.20,3,87
04/23/2018,14:00,473.60,473.60,473.60,473.60,0,87
04/24/2018,14:00,479.40,481.80,479.40,481.80,6,91
04/25/2018,14:00,481.70,482.40,481.70,481.70,5,95
04/26/2018,14:00,484.10,484.10,483.50,483.50,4,95
04/27/2018,14:00,489.90,490.00,489.70,490.00,8,100
04/30/2018,14:00,489.10,492.60,489.10,492.60,9,102
05/01/2018,14:00,500.00,501.80,499.40,500.10,12,109
05/02/2018,14:00,504.70,504.70,500.90,500.90,4,110
05/03/2018,14:00,495.10,500.00,494.00,494.00,19,125
05/04/2018,14:00,503.70,503.70,503.70,503.70,19,125
05/07/2018,14:00,505.00,513.20,505.00,512.70,28,126
05/08/2018,14:00,510.50,519.00,510.50,518.30,18,127
05/09/2018,14:00,520.00,520.00,518.10,520.00,6,128
05/10/2018,14:00,517.80,522.30,515.10,515.40,27,138
05/11/2018,14:00,525.00,525.40,525.00,525.40,16,142
05/14/2018,14:00,535.30,535.40,535.30,535.40,10,149
05/15/2018,14:00,537.50,546.50,533.40,542.70,59,180
05/16/2018,14:00,548.70,552.70,548.70,552.70,35,197
05/17/2018,14:00,553.70,562.70,553.70,562.70,42,215
05/18/2018,14:00,563.20,566.10,547.70,547.70,41,227
05/21/2018,14:00,536.00,538.00,532.70,532.70,25,233
05/22/2018,14:00,521.30,521.30,517.70,517.70,12,235
05/23/2018,14:00,502.80,532.70,502.70,502.70,40,237
05/24/2018,14:00,512.70,512.70,512.70,512.70,4,236
05/25/2018,14:00,522.70,522.70,522.70,522.70,4,236
05/29/2018,14:00,537.70,537.70,532.60,535.70,23,240
05/30/2018,14:00,530.50,532.00,525.70,531.50,20,246
05/31/2018,14:00,521.60,531.40,521.60,524.50,31,263
06/01/2018,14:00,533.50,533.50,519.50,522.50,25,269
06/04/2018,14:00,515.10,517.10,515.00,516.00,11,271
06/05/2018,14:00,519.40,519.40,514.40,516.00,8,276
06/06/2018,14:00,520.30,520.30,519.00,519.00,20,284
06/07/2018,14:00,522.70,526.70,521.30,522.20,32,303
06/08/2018,14:00,525.60,525.60,514.50,514.50,16,310
06/11/2018,14:00,512.00,514.30,504.50,504.50,21,320
06/12/2018,14:00,494.50,496.00,494.50,495.00,13,322
06/13/2018,14:00,492.00,492.00,480.00,480.00,21,322
06/14/2018,14:00,466.20,491.40,466.20,491.40,72,324
06/15/2018,14:00,477.70,480.00,476.40,478.60,41,312
06/18/2018,14:00,476.00,476.00,469.00,469.00,17,308
06/19/2018,14:00,461.00,461.00,454.20,454.20,12,304
06/20/2018,14:00,450.80,460.20,445.00,460.20,24,306
06/21/2018,14:00,475.20,475.20,475.20,475.20,3,305
06/22/2018,14:00,483.00,490.20,483.00,490.20,6,307
06/25/2018,14:00,491.70,491.70,491.70,491.70,3,308
06/26/2018,14:00,486.10,491.40,486.10,491.40,3,309
06/27/2018,14:00,484.50,484.50,479.90,479.90,8,308
06/28/2018,14:00,482.00,482.00,482.00,482.00,3,308
06/29/2018,14:00,484.00,496.70,484.00,495.20,28,304
07/02/2018,14:00,498.30,499.40,498.30,499.40,4,305
07/03/2018,14:00,499.80,501.30,485.40,485.40,3,307
07/05/2018,14:00,484.60,484.60,470.40,483.00,30,311
07/06/2018,14:00,480.90,480.90,480.90,480.90,3,309
07/09/2018,14:00,489.10,492.90,475.10,477.20,28,314
07/10/2018,14:00,480.50,482.20,479.00,479.40,32,336
07/11/2018,14:00,470.80,472.30,470.80,472.20,10,337
07/12/2018,14:00,462.60,469.40,462.60,469.40,9,335
07/13/2018,14:00,469.10,469.20,469.10,469.10,8,338
07/16/2018,14:00,475.80,475.80,468.00,472.10,25,343
07/17/2018,14:00,473.80,473.90,463.00,466.80,28,336
07/18/2018,14:00,455.10,455.10,451.80,451.80,80,310
07/19/2018,14:00,442.90,447.80,436.80,436.80,93,285
07/20/2018,14:00,443.40,443.40,425.80,440.40,60,280
07/23/2018,14:00,428.50,434.10,425.40,426.90,39,263
07/24/2018,14:00,429.70,441.00,429.70,435.00,21,272
