"Date","Time","Open","High","Low","Close","Vol","OI"
07/13/2018,14:00,369.20,369.20,369.20,369.20,0,0
07/16/2018,14:00,372.20,372.20,372.20,372.20,0,0
07/17/2018,14:00,372.70,372.70,372.70,372.70,0,0
07/18/2018,14:00,375.00,375.00,375.00,375.00,0,0
07/19/2018,14:00,375.00,375.00,375.00,375.00,3,2
07/20/2018,14:00,375.00,375.00,375.00,375.00,0,2
07/23/2018,14:00,375.00,375.00,375.00,375.00,0,2
07/24/2018,14:00,375.10,375.10,375.10,375.10,0,2
07/25/2018,14:00,376.50,376.50,376.50,376.50,0,2
07/26/2018,14:00,370.00,370.00,370.00,370.00,2,3
07/27/2018,14:00,370.00,370.00,370.00,370.00,0,3
07/30/2018,14:00,370.00,370.00,370.00,370.00,2,4
07/31/2018,14:00,374.00,374.00,374.00,374.00,0,4
08/01/2018,14:00,370.00,370.10,370.00,370.10,1,4
08/02/2018,14:00,363.00,363.00,363.00,363.00,3,7
08/03/2018,14:00,375.10,375.10,375.10,375.10,0,7
08/06/2018,14:00,378.00,378.00,378.00,378.00,1,8
08/07/2018,14:00,379.70,379.70,379.70,379.70,0,8
08/08/2018,14:00,371.00,371.00,371.00,371.00,0,8
08/09/2018,14:00,384.40,384.40,384.40,384.40,0,8
08/10/2018,14:00,389.40,389.40,389.40,389.40,0,8
08/13/2018,14:00,401.20,401.20,401.20,401.20,0,8
08/14/2018,14:00,410.60,410.60,410.60,410.60,0,8
08/15/2018,14:00,417.20,417.20,417.20,417.20,0,8
08/16/2018,14:00,426.40,426.40,426.40,426.40,0,8
08/17/2018,14:00,434.60,434.60,434.60,434.60,0,8
08/20/2018,14:00,430.80,430.80,430.80,430.80,0,8
08/21/2018,14:00,424.80,424.80,424.80,424.80,0,8
08/22/2018,14:00,409.80,409.80,409.80,409.80,0,8
08/23/2018,14:00,395.80,395.80,395.80,395.80,0,8
08/24/2018,14:00,401.90,401.90,401.90,401.90,0,8
08/27/2018,14:00,401.90,401.90,401.90,401.90,0,8
08/28/2018,14:00,404.10,404.10,404.10,404.10,0,8
08/29/2018,14:00,403.00,403.00,403.00,403.00,0,8
08/30/2018,14:00,394.20,394.20,394.20,394.20,0,8
08/31/2018,14:00,396.00,396.00,396.00,396.00,0,8
09/04/2018,14:00,396.50,396.50,396.50,396.50,0,8
09/05/2018,14:00,395.00,395.00,395.00,395.00,0,8
09/06/2018,14:00,390.00,390.00,390.00,390.00,0,8
09/07/2018,14:00,375.30,375.30,375.30,375.30,0,8
09/10/2018,14:00,372.40,372.40,372.40,372.40,0,8
09/11/2018,14:00,371.40,371.40,371.40,371.40,0,8
09/12/2018,14:00,367.30,367.30,367.30,367.30,0,8
09/13/2018,14:00,368.60,368.60,368.60,368.60,0,8
09/14/2018,14:00,360.00,360.00,360.00,360.00,2,9
09/17/2018,14:00,358.50,358.50,358.50,358.50,0,9
09/18/2018,14:00,354.70,354.70,354.70,354.70,1,10
09/19/2018,14:00,353.80,353.80,353.80,353.80,0,10
09/20/2018,14:00,359.70,359.70,359.70,359.70,0,10
09/21/2018,14:00,355.80,355.80,355.80,355.80,1,11
09/24/2018,14:00,358.40,358.40,358.40,358.40,0,11
09/25/2018,14:00,358.20,358.20,358.20,358.20,0,11
09/26/2018,14:00,369.40,369.40,369.40,369.40,0,11
09/27/2018,14:00,375.00,375.00,375.00,375.00,3,11
09/28/2018,14:00,374.50,374.50,374.50,374.50,0,11
10/01/2018,14:00,375.80,375.80,375.80,375.80,0,11
10/02/2018,14:00,383.50,383.50,383.50,383.50,0,11
10/03/2018,14:00,388.40,388.40,388.40,388.40,0,11
10/04/2018,14:00,383.30,383.30,383.30,383.30,0,11
10/05/2018,14:00,389.40,389.40,389.40,389.40,2,11
10/08/2018,14:00,389.30,389.30,389.30,389.30,0,11
10/09/2018,14:00,386.80,386.80,386.80,386.80,0,11
10/10/2018,14:00,382.80,382.80,382.80,382.80,1,12
10/11/2018,14:00,367.80,367.80,367.80,367.80,0,12
10/12/2018,14:00,360.80,360.80,360.80,360.80,0,12
10/15/2018,14:00,362.60,362.60,362.60,362.60,0,12
10/16/2018,14:00,371.70,371.70,371.70,371.70,0,12
10/17/2018,14:00,368.10,368.10,368.10,368.10,0,12
10/18/2018,14:00,362.40,362.40,362.40,362.40,0,12
10/19/2018,14:00,362.20,362.20,362.20,362.20,0,12
10/22/2018,14:00,351.30,351.30,351.30,351.30,0,12
10/23/2018,14:00,347.20,347.20,347.20,347.20,0,12
10/24/2018,14:00,340.30,340.30,340.30,340.30,0,12
10/25/2018,14:00,340.00,340.00,340.00,340.00,1,12
10/26/2018,14:00,341.90,341.90,341.90,341.90,0,12
10/29/2018,14:00,339.90,339.90,339.90,339.90,0,12
10/30/2018,14:00,338.90,338.90,338.90,338.90,0,12
10/31/2018,14:00,341.80,341.80,341.80,341.80,0,12
