"Date","Time","Open","High","Low","Close","Vol","OI"
08/31/2018,11:05,114.150,114.150,114.150,114.150,0,0
09/04/2018,11:05,115.300,115.300,115.300,115.300,0,0
09/05/2018,11:05,115.375,115.375,115.375,115.375,0,0
09/06/2018,11:05,115.575,115.575,115.575,115.575,0,0
09/07/2018,11:05,115.875,115.875,115.875,115.875,0,0
09/10/2018,11:05,115.975,115.975,115.975,115.975,0,0
09/11/2018,11:05,115.575,115.575,115.575,115.575,0,0
09/12/2018,11:05,116.500,116.500,116.500,116.500,0,0
09/13/2018,11:05,116.825,116.825,116.775,116.775,3,3
09/14/2018,11:05,117.000,117.250,117.000,117.150,26,15
09/17/2018,11:05,117.375,117.400,117.350,117.350,21,28
09/18/2018,11:05,117.200,117.200,117.200,117.200,6,30
09/19/2018,11:05,117.175,117.175,117.175,117.175,3,33
09/20/2018,11:05,117.250,117.350,117.250,117.300,16,46
09/21/2018,11:05,117.150,117.250,117.050,117.250,9,52
09/24/2018,11:05,116.925,117.100,116.900,117.100,25,63
09/25/2018,11:05,116.875,117.150,116.875,117.150,12,67
09/26/2018,11:05,117.275,117.700,117.275,117.700,20,80
09/27/2018,11:05,117.875,117.875,117.650,117.825,32,109
09/28/2018,11:05,117.750,118.000,117.750,118.000,32,109
10/01/2018,11:05,118.500,118.600,117.375,118.125,110,190
10/02/2018,11:05,117.975,118.000,117.750,118.000,73,247
10/03/2018,11:05,118.075,118.075,117.525,117.525,25,271
10/04/2018,11:05,117.625,117.725,117.625,117.675,16,275
10/05/2018,11:05,118.125,118.125,118.125,118.125,1,275
10/08/2018,11:05,118.000,118.100,118.000,118.100,19,290
10/09/2018,11:05,117.550,117.700,117.550,117.700,4,291
10/10/2018,11:05,117.225,117.275,117.100,117.275,4,290
10/11/2018,11:05,117.075,117.325,117.075,117.125,16,291
10/12/2018,11:05,117.100,117.100,116.875,116.875,3,291
10/15/2018,11:05,116.600,117.425,116.600,117.425,40,311
10/16/2018,11:05,117.100,117.250,117.100,117.250,8,314
10/17/2018,11:05,117.025,117.150,117.000,117.150,25,327
10/18/2018,11:05,117.050,117.050,116.725,116.900,4,330
10/19/2018,11:05,116.625,116.625,116.400,116.400,17,336
10/22/2018,11:05,117.800,117.800,117.000,117.475,34,354
10/23/2018,11:05,116.800,117.075,116.800,117.075,43,378
10/24/2018,11:05,117.625,117.625,117.575,117.575,106,432
10/25/2018,11:05,117.525,117.525,117.000,117.000,16,435
10/26/2018,11:05,116.875,117.525,116.875,117.500,120,500
10/29/2018,11:05,117.750,117.975,117.500,117.750,79,537
10/30/2018,11:05,117.200,117.400,117.050,117.100,39,542
10/31/2018,11:05,117.375,117.750,117.375,117.750,21,552
11/01/2018,11:05,118.000,118.500,118.000,118.400,130,619
11/02/2018,11:05,118.400,119.000,118.400,118.975,67,644
11/05/2018,11:05,118.425,118.600,117.500,117.500,72,645
11/06/2018,11:05,117.450,117.700,117.250,117.700,47,663
11/07/2018,11:05,117.475,117.475,117.275,117.325,42,693
11/08/2018,11:05,117.300,117.875,117.225,117.875,115,763
11/09/2018,11:05,117.275,117.275,116.700,117.000,115,763
