"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:05,123.650,123.900,122.325,123.325,31144,128525
03/02/2018,11:05,123.350,123.800,121.900,122.175,31144,127924
03/05/2018,11:05,122.350,123.675,122.100,123.225,26789,121427
03/06/2018,11:05,123.325,124.825,122.450,122.825,33904,116918
03/07/2018,11:05,123.000,123.675,122.600,122.975,29366,109641
03/08/2018,11:05,123.225,123.300,120.900,121.775,45586,101967
03/09/2018,11:05,122.125,123.525,121.125,123.125,43309,91352
03/12/2018,11:05,123.300,123.475,121.275,121.550,37157,84970
03/13/2018,11:05,121.750,122.575,120.750,121.900,37723,78161
03/14/2018,11:05,123.000,124.300,122.775,123.000,34270,73589
03/15/2018,11:05,123.075,123.825,121.125,121.850,21808,66403
03/16/2018,11:05,121.925,122.150,120.875,121.250,21808,66097
03/19/2018,11:05,121.750,121.800,120.125,120.225,21518,61518
03/20/2018,11:05,120.500,120.825,119.325,119.575,20725,56405
03/21/2018,11:05,119.600,119.750,117.150,117.700,23692,52112
03/22/2018,11:05,117.950,118.425,117.450,118.150,13620,49331
03/23/2018,11:05,118.425,118.425,115.750,116.050,13259,46635
03/26/2018,11:05,116.225,117.200,114.800,115.175,9446,45226
03/27/2018,11:05,115.400,116.575,115.000,115.425,9248,43025
03/28/2018,11:05,115.450,116.425,114.825,116.000,8786,40416
03/29/2018,11:05,116.200,116.975,113.150,113.750,10932,38388
04/02/2018,11:05,113.775,114.800,112.200,112.400,8974,35835
04/03/2018,11:05,112.650,113.350,111.775,111.975,9606,32285
04/04/2018,11:05,111.600,113.900,110.100,113.025,12134,30158
04/05/2018,11:05,113.700,114.450,113.300,114.300,8575,18811
04/06/2018,11:05,114.000,114.150,111.950,112.225,8575,19857
04/09/2018,11:05,112.975,113.975,111.975,112.025,4633,18453
04/10/2018,11:05,112.650,113.675,112.150,112.800,2626,17518
04/11/2018,11:05,113.250,114.000,113.075,113.500,2677,16313
04/12/2018,11:05,113.850,116.175,113.850,115.750,3200,14411
04/13/2018,11:05,116.250,117.075,115.850,116.550,2517,13233
04/16/2018,11:05,117.725,118.400,117.100,117.150,2542,11923
04/17/2018,11:05,117.375,118.700,117.375,118.050,2050,10857
04/18/2018,11:05,118.575,119.075,118.475,118.975,2259,9848
04/19/2018,11:05,119.050,119.500,117.600,117.800,2253,6472
04/20/2018,11:05,118.200,119.425,117.150,119.350,2253,6472
04/23/2018,11:05,119.825,121.800,119.625,121.725,2262,4892
04/24/2018,11:05,121.500,122.200,121.000,121.100,2459,3523
04/25/2018,11:05,121.300,122.050,121.300,121.925,1706,2385
04/26/2018,11:05,121.975,122.625,121.975,122.525,1585,1325
04/27/2018,11:05,122.550,124.725,122.500,124.450,1612,220
04/30/2018,11:05,124.675,125.150,123.750,123.750,246,12
