"Date","Time","Open","High","Low","Close","Vol","OI"
09/05/2018,14:00,0.6635,0.6635,0.6635,0.6635,0,0
09/06/2018,14:00,0.6645,0.6645,0.6645,0.6645,0,0
09/07/2018,14:00,0.6589,0.6589,0.6589,0.6589,0,0
09/10/2018,14:00,0.6574,0.6574,0.6574,0.6574,0,0
09/11/2018,14:00,0.6560,0.6560,0.6560,0.6560,0,0
09/12/2018,14:00,0.6616,0.6616,0.6616,0.6616,0,0
09/13/2018,14:00,0.6625,0.6625,0.6625,0.6625,0,0
09/14/2018,14:00,0.6608,0.6608,0.6608,0.6608,0,0
09/17/2018,14:00,0.6634,0.6634,0.6634,0.6634,0,0
09/18/2018,14:00,0.6638,0.6638,0.6638,0.6638,0,0
09/19/2018,14:00,0.6673,0.6673,0.6673,0.6673,0,0
09/20/2018,14:00,0.6744,0.6744,0.6744,0.6744,0,0
09/21/2018,14:00,0.6732,0.6732,0.6732,0.6732,0,0
09/24/2018,14:00,0.6697,0.6697,0.6697,0.6697,0,0
09/25/2018,14:00,0.6704,0.6704,0.6704,0.6704,0,0
09/26/2018,14:00,0.6719,0.6719,0.6719,0.6719,0,0
09/27/2018,14:00,0.6670,0.6670,0.6670,0.6670,0,0
09/28/2018,14:00,0.6681,0.6681,0.6681,0.6681,0,0
10/01/2018,14:00,0.6672,0.6672,0.6672,0.6672,0,0
10/02/2018,14:00,0.6653,0.6653,0.6653,0.6653,0,0
10/03/2018,14:00,0.6593,0.6593,0.6593,0.6593,0,0
10/04/2018,14:00,0.6541,0.6541,0.6541,0.6541,0,0
10/05/2018,14:00,0.6504,0.6504,0.6504,0.6504,0,0
10/08/2018,14:00,0.6513,0.6513,0.6513,0.6513,0,0
10/09/2018,14:00,0.6531,0.6531,0.6531,0.6531,0,0
10/10/2018,14:00,0.6525,0.6525,0.6525,0.6525,0,0
10/11/2018,14:00,0.6578,0.6578,0.6578,0.6578,0,0
10/12/2018,14:00,0.6562,0.6562,0.6562,0.6562,0,0
10/15/2018,14:00,0.6611,0.6611,0.6611,0.6611,0,0
10/16/2018,14:00,0.6651,0.6651,0.6651,0.6651,0,0
10/17/2018,14:00,0.6622,0.6622,0.6622,0.6622,0,0
10/18/2018,14:00,0.6613,0.6613,0.6613,0.6613,0,0
10/19/2018,14:00,0.6653,0.6653,0.6653,0.6653,0,0
10/22/2018,14:00,0.6614,0.6614,0.6614,0.6614,0,0
10/23/2018,14:00,0.6620,0.6620,0.6620,0.6620,0,0
10/24/2018,14:00,0.6583,0.6583,0.6583,0.6583,0,0
