"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:00,14.25,14.68,14.25,14.59,1577,14065
03/01/2018,10:00,14.65,14.83,14.51,14.82,3153,15210
03/02/2018,10:00,14.79,14.91,14.60,14.75,2975,16341
03/05/2018,10:00,14.73,14.94,14.70,14.92,1368,16858
03/06/2018,10:00,14.85,14.95,14.78,14.85,3306,17164
03/07/2018,10:00,14.69,14.73,14.26,14.28,3655,18134
03/08/2018,10:00,14.36,14.57,14.34,14.43,3942,18979
03/09/2018,10:00,14.43,14.49,14.31,14.43,2121,19889
03/12/2018,10:00,14.43,14.53,14.35,14.51,1543,20718
03/13/2018,10:00,14.40,14.50,14.22,14.39,3508,21678
03/14/2018,10:00,14.39,14.39,14.30,14.38,1158,21939
03/15/2018,10:00,14.51,14.51,14.32,14.40,1433,22123
03/16/2018,10:00,14.35,14.37,14.27,14.31,723,22278
03/19/2018,10:00,14.28,14.51,14.14,14.51,3970,23521
03/20/2018,10:00,14.51,14.51,14.26,14.29,961,23766
03/21/2018,10:00,14.29,14.44,14.29,14.39,1223,24053
03/22/2018,10:00,14.34,14.45,14.34,14.44,700,24282
03/23/2018,10:00,14.45,14.45,14.23,14.29,879,24433
03/26/2018,10:00,14.27,14.47,14.22,14.22,805,24492
03/27/2018,10:00,14.24,14.43,14.24,14.37,11137,29700
03/28/2018,10:00,14.25,14.48,14.25,14.30,5953,30322
03/29/2018,10:00,14.34,14.39,14.28,14.35,1180,30159
04/02/2018,10:00,14.29,14.43,14.29,14.35,2247,29113
04/03/2018,10:00,14.28,14.31,14.17,14.29,3074,29332
04/04/2018,10:00,14.22,14.25,14.12,14.20,4067,29224
04/05/2018,10:00,14.19,14.23,14.13,14.17,2315,29301
04/06/2018,10:00,14.16,14.17,13.99,14.01,3411,29305
04/09/2018,10:00,14.08,14.14,14.01,14.06,3879,29918
04/10/2018,10:00,14.05,14.10,13.76,13.85,10576,31733
04/11/2018,10:00,13.87,13.89,13.68,13.74,4430,31554
04/12/2018,10:00,13.75,13.79,13.67,13.73,2369,31059
04/13/2018,10:00,13.72,13.92,13.71,13.77,3610,32250
04/16/2018,10:00,13.85,13.94,13.68,13.73,3194,33427
04/17/2018,10:00,13.70,13.70,13.41,13.43,3865,34286
04/18/2018,10:00,13.42,13.54,13.42,13.53,1194,34220
04/19/2018,10:00,13.49,13.60,13.45,13.55,1372,34406
04/20/2018,10:00,13.51,13.55,13.40,13.43,1965,34673
04/23/2018,10:00,13.45,13.46,13.01,13.05,4736,35849
04/24/2018,10:00,13.06,13.09,12.80,12.97,3009,36094
04/25/2018,10:00,12.97,12.97,12.54,12.78,3146,35882
04/26/2018,10:00,12.74,13.11,12.73,13.04,2246,36454
04/27/2018,10:00,13.03,13.20,12.89,13.08,2720,36428
