"Date","Time","Open","High","Low","Close","Vol","OI"
06/24/2019,14:00,17.70,17.70,17.70,17.70,0,0
06/25/2019,14:00,18.08,18.08,18.08,18.08,0,0
06/26/2019,14:00,17.80,17.80,17.80,17.80,0,0
06/27/2019,14:00,17.58,17.58,17.58,17.58,0,0
06/28/2019,14:00,17.70,17.70,17.70,17.70,0,0
07/01/2019,14:00,17.70,17.70,17.70,17.70,0,0
07/02/2019,14:00,17.40,17.40,17.40,17.40,0,0
07/03/2019,14:00,17.40,17.40,17.40,17.40,0,0
07/05/2019,14:00,17.30,17.30,17.30,17.30,0,0
07/08/2019,14:00,17.32,17.40,17.26,17.35,24,19
07/09/2019,14:00,17.42,17.42,17.37,17.38,29,46
07/10/2019,14:00,17.27,17.37,17.24,17.28,38,78
07/11/2019,14:00,17.25,17.32,17.15,17.25,17,90
07/12/2019,14:00,17.25,17.26,17.20,17.25,13,95
07/15/2019,14:00,17.29,17.29,17.17,17.25,33,118
07/16/2019,14:00,17.23,17.45,17.23,17.43,168,279
07/17/2019,14:00,17.45,17.60,17.25,17.58,341,548
07/18/2019,14:00,17.65,17.65,17.38,17.45,206,657
07/19/2019,14:00,17.40,17.65,17.40,17.58,200,710
07/22/2019,14:00,17.60,17.68,17.46,17.53,62,722
07/23/2019,14:00,17.50,17.50,17.25,17.28,192,769
07/24/2019,14:00,17.31,17.31,17.02,17.05,330,938
07/25/2019,14:00,17.05,17.30,17.00,17.28,266,973
07/26/2019,14:00,17.30,17.30,17.00,17.13,355,1077
07/29/2019,14:00,17.20,17.22,17.10,17.13,89,1110
07/30/2019,14:00,17.10,17.45,17.10,17.35,476,1433
07/31/2019,14:00,17.30,17.75,17.17,17.68,540,1663
08/01/2019,14:00,17.73,17.96,17.30,17.95,1168,1659
08/02/2019,14:00,17.90,18.10,17.80,17.88,944,1872
08/05/2019,14:00,17.90,18.65,17.85,18.55,661,2263
08/06/2019,14:00,18.75,19.05,18.08,18.38,1243,2397
08/07/2019,14:00,18.45,18.75,18.21,18.30,1121,2579
08/08/2019,14:00,18.35,18.35,17.72,17.78,523,2841
08/09/2019,14:00,17.85,18.10,17.75,17.95,282,2786
08/12/2019,14:00,17.95,18.62,17.85,18.60,498,3012
08/13/2019,14:00,18.55,18.70,18.02,18.03,616,3022
08/14/2019,14:00,18.10,19.18,18.05,18.98,686,3187
08/15/2019,14:00,18.91,19.25,18.77,18.88,975,3467
08/16/2019,14:00,18.80,18.80,18.45,18.50,336,3404
08/19/2019,14:00,18.40,18.40,18.07,18.13,971,3381
08/20/2019,14:00,18.12,18.55,18.07,18.55,726,3551
08/21/2019,14:00,18.55,18.55,18.19,18.30,924,3856
08/22/2019,14:00,18.25,18.52,18.17,18.43,1391,4198
08/23/2019,14:00,18.30,19.50,18.27,19.23,1906,4830
08/26/2019,14:00,19.40,19.63,18.90,19.13,2217,5200
08/27/2019,14:00,19.15,19.55,18.99,19.43,1422,5312
08/28/2019,14:00,19.35,19.68,19.17,19.18,1132,5494
