"Date","Time","Open","High","Low","Close","Vol","OI"
02/26/2019,15:00,15.926,15.926,15.926,15.926,0,0
02/27/2019,15:00,15.766,15.766,15.766,15.766,0,0
02/28/2019,15:00,15.634,15.634,15.634,15.634,0,0
03/01/2019,15:00,15.350,15.350,15.350,15.350,0,0
03/04/2019,15:00,15.105,15.105,15.105,15.105,0,0
03/05/2019,15:00,15.105,15.105,15.105,15.105,0,0
03/06/2019,15:00,15.085,15.085,15.085,15.085,0,0
03/07/2019,15:00,15.040,15.040,15.040,15.040,0,0
03/08/2019,15:00,15.349,15.349,15.349,15.349,0,0
03/11/2019,15:00,15.274,15.274,15.274,15.274,0,0
03/12/2019,15:00,15.413,15.413,15.413,15.413,0,0
03/13/2019,15:00,15.456,15.456,15.456,15.456,0,0
03/14/2019,15:00,15.263,15.263,15.263,15.263,0,0
03/15/2019,15:00,15.324,15.324,15.324,15.324,0,0
03/18/2019,15:00,15.322,15.322,15.322,15.322,0,0
03/19/2019,15:00,15.372,15.372,15.372,15.372,0,0
03/20/2019,15:00,15.318,15.318,15.318,15.318,0,0
03/21/2019,15:00,15.437,15.437,15.437,15.437,0,0
03/22/2019,15:00,15.407,15.407,15.407,15.407,0,0
03/25/2019,15:00,15.567,15.567,15.567,15.567,0,0
03/26/2019,15:00,15.429,15.429,15.429,15.429,0,0
03/27/2019,15:00,15.298,15.298,15.298,15.298,0,0
03/28/2019,15:00,15.019,15.019,15.019,15.019,0,0
03/29/2019,15:00,15.156,15.156,15.156,15.156,0,0
04/01/2019,15:00,15.148,15.148,15.148,15.148,0,0
04/02/2019,15:00,15.111,15.111,15.111,15.111,0,0
04/03/2019,15:00,15.153,15.153,15.153,15.153,0,0
04/04/2019,15:00,15.135,15.135,15.135,15.135,0,0
04/05/2019,15:00,15.132,15.132,15.132,15.132,0,0
04/08/2019,15:00,15.263,15.263,15.263,15.263,0,0
04/09/2019,15:00,15.259,15.259,15.259,15.259,0,0
04/10/2019,15:00,15.290,15.290,15.290,15.290,0,0
04/11/2019,15:00,14.911,14.911,14.911,14.911,0,0
04/12/2019,15:00,15.008,15.008,15.008,15.008,0,0
04/15/2019,15:00,15.021,15.021,15.021,15.021,0,0
04/16/2019,15:00,14.956,14.956,14.956,14.956,0,0
04/17/2019,15:00,14.979,14.979,14.979,14.979,0,0
04/18/2019,15:00,14.999,14.999,14.999,14.999,0,0
04/22/2019,15:00,15.099,15.099,15.016,15.016,1,1
04/23/2019,15:00,14.927,14.927,14.829,14.829,1,1
04/24/2019,15:00,14.980,14.980,14.956,14.956,1,1
04/25/2019,15:00,14.920,14.920,14.920,14.920,0,1
04/26/2019,15:00,15.050,15.080,14.948,15.049,6,3
04/29/2019,15:00,15.350,15.350,14.890,14.890,2,4
04/30/2019,15:00,14.942,14.942,14.942,14.942,0,4
05/01/2019,15:00,14.687,14.687,14.687,14.687,0,4
05/02/2019,15:00,14.577,14.577,14.577,14.577,0,4
05/03/2019,15:00,14.660,14.936,14.660,14.936,3,4
05/06/2019,15:00,14.985,14.985,14.886,14.886,1,4
05/07/2019,15:00,14.886,14.886,14.886,14.886,0,4
05/08/2019,15:00,14.823,14.823,14.823,14.823,0,4
05/09/2019,15:00,14.736,14.736,14.736,14.736,0,4
05/10/2019,15:00,14.753,14.753,14.753,14.753,0,4
05/13/2019,15:00,14.742,14.742,14.742,14.742,0,4
05/14/2019,15:00,14.777,14.777,14.777,14.777,0,4
05/15/2019,15:00,14.777,14.777,14.777,14.777,0,4
05/16/2019,15:00,14.503,14.503,14.503,14.503,0,4
05/17/2019,15:00,14.260,14.354,14.260,14.354,1,4
05/20/2019,15:00,14.411,14.411,14.411,14.411,0,4
05/21/2019,15:00,14.376,14.376,14.376,14.376,0,4
05/22/2019,15:00,14.415,14.415,14.415,14.415,0,4
05/23/2019,15:00,14.579,14.579,14.579,14.579,0,4
05/24/2019,15:00,14.260,14.521,14.260,14.521,2,6
05/27/2019,15:00,14.521,14.521,14.521,14.521,2,4
05/28/2019,15:00,14.283,14.283,14.283,14.283,0,4
05/29/2019,15:00,14.125,14.377,14.125,14.377,5,4
05/30/2019,15:00,14.460,14.460,14.460,14.460,0,4
05/31/2019,15:00,14.530,14.530,14.530,14.530,0,4
06/03/2019,15:00,14.703,14.703,14.703,14.703,0,4
06/04/2019,15:00,14.732,14.732,14.732,14.732,0,4
06/05/2019,15:00,14.754,14.754,14.754,14.754,0,4
06/06/2019,15:00,14.868,14.868,14.868,14.868,0,4
06/07/2019,15:00,14.994,14.994,14.994,14.994,0,4
06/10/2019,15:00,14.605,14.605,14.605,14.605,0,4
06/11/2019,15:00,14.706,14.706,14.706,14.706,0,4
06/12/2019,15:00,14.722,14.722,14.722,14.722,0,4
06/13/2019,15:00,14.871,14.871,14.871,14.871,0,4
06/14/2019,15:00,14.782,14.782,14.782,14.782,0,4
06/17/2019,15:00,14.814,14.814,14.814,14.814,0,4
06/18/2019,15:00,14.980,14.980,14.980,14.980,0,4
06/19/2019,15:00,14.945,14.945,14.945,14.945,0,4
06/20/2019,15:00,15.469,15.469,15.469,15.469,0,4
06/21/2019,15:00,15.273,15.273,15.273,15.273,0,4
06/24/2019,15:00,15.368,15.368,15.368,15.368,0,4
06/25/2019,15:00,15.291,15.291,15.291,15.291,0,4
06/26/2019,15:00,15.283,15.283,15.283,15.283,0,4
