"Date","Time","Open","High","Low","Close","Vol","OI"
06/26/2019,15:00,15.481,15.481,15.481,15.481,0,0
06/27/2019,15:00,15.400,15.400,15.400,15.400,0,0
06/28/2019,15:00,15.447,15.447,15.447,15.447,0,0
07/01/2019,15:00,15.301,15.301,15.301,15.301,0,0
07/02/2019,15:00,15.351,15.351,15.351,15.351,0,0
07/03/2019,15:00,15.450,15.450,15.450,15.450,0,0
07/04/2019,15:00,15.450,15.450,15.450,15.450,0,0
07/05/2019,15:00,15.118,15.118,15.118,15.118,0,0
07/08/2019,15:00,15.167,15.167,15.167,15.167,0,0
07/09/2019,15:00,15.264,15.264,15.264,15.264,0,0
07/10/2019,15:00,15.344,15.344,15.344,15.344,0,0
07/11/2019,15:00,15.264,15.264,15.264,15.264,0,0
07/12/2019,15:00,15.354,15.354,15.354,15.354,0,0
07/15/2019,15:00,15.482,15.482,15.482,15.482,0,0
07/16/2019,15:00,15.795,15.795,15.795,15.795,0,0
07/17/2019,15:00,16.086,16.086,16.086,16.086,0,0
07/18/2019,15:00,16.315,16.315,16.315,16.315,0,0
07/19/2019,15:00,16.315,16.315,16.315,16.315,0,0
07/22/2019,15:00,16.531,16.531,16.531,16.531,0,0
07/23/2019,15:00,16.597,16.597,16.597,16.597,0,0
07/24/2019,15:00,16.750,16.750,16.750,16.750,0,0
07/25/2019,15:00,16.536,16.536,16.536,16.536,0,0
07/26/2019,15:00,16.525,16.525,16.525,16.525,0,0
07/29/2019,15:00,16.569,16.569,16.569,16.569,0,0
07/30/2019,15:00,16.601,16.601,16.601,16.601,0,0
07/31/2019,15:00,16.444,16.444,16.444,16.444,0,0
08/01/2019,15:00,16.217,16.217,16.217,16.217,0,0
08/02/2019,15:00,16.309,16.309,16.309,16.309,0,0
08/05/2019,15:00,16.433,16.433,16.433,16.433,0,0
08/06/2019,15:00,16.485,16.485,16.485,16.485,0,0
08/07/2019,15:00,17.237,17.237,17.237,17.237,0,0
08/08/2019,15:00,16.976,16.976,16.976,16.976,0,0
08/09/2019,15:00,16.974,16.974,16.974,16.974,0,0
08/12/2019,15:00,17.116,17.116,17.116,17.116,0,0
08/13/2019,15:00,17.028,17.028,17.028,17.028,0,0
08/14/2019,15:00,17.326,17.326,17.326,17.326,0,0
08/16/2019,15:00,17.162,17.162,17.162,17.162,0,0
08/19/2019,15:00,16.985,16.985,16.985,16.985,0,0
08/20/2019,15:00,17.194,17.194,17.194,17.194,0,0
08/21/2019,15:00,17.197,17.197,17.197,17.197,0,0
08/22/2019,15:00,17.086,17.086,17.086,17.086,0,0
08/23/2019,15:00,17.458,17.458,17.458,17.458,0,0
08/26/2019,15:00,17.685,17.685,17.685,17.685,0,0
08/27/2019,15:00,18.199,18.199,18.199,18.199,0,0
08/28/2019,15:00,18.364,18.364,18.364,18.364,0,0
08/29/2019,15:00,18.225,18.225,18.225,18.225,0,0
08/30/2019,15:00,18.244,18.244,18.244,18.244,0,0
09/02/2019,15:00,18.244,18.244,18.244,18.244,0,0
09/03/2019,15:00,19.138,19.138,19.138,19.138,0,0
09/04/2019,15:00,19.447,19.447,19.447,19.447,0,0
09/05/2019,15:00,18.705,18.705,18.705,18.705,0,0
09/06/2019,15:00,18.021,18.021,18.021,18.021,0,0
09/09/2019,15:00,18.067,18.067,18.067,18.067,0,0
09/10/2019,15:00,18.086,18.086,18.086,18.086,0,0
09/11/2019,15:00,18.071,18.071,18.071,18.071,0,0
09/12/2019,15:00,18.076,18.076,18.076,18.076,0,0
09/13/2019,15:00,17.470,17.470,17.470,17.470,0,0
09/16/2019,15:00,17.924,17.924,17.924,17.924,0,0
09/17/2019,15:00,18.039,18.039,18.039,18.039,0,0
09/18/2019,15:00,17.818,17.818,17.818,17.818,0,0
09/19/2019,15:00,17.785,17.785,17.785,17.785,0,0
09/20/2019,15:00,17.750,17.750,17.750,17.750,0,0
09/23/2019,15:00,18.610,18.610,18.610,18.610,0,0
09/24/2019,15:00,18.527,18.527,18.527,18.527,0,0
09/25/2019,15:00,17.973,17.973,17.973,17.973,0,0
09/26/2019,15:00,17.812,17.812,17.812,17.812,0,0
09/27/2019,15:00,17.552,17.552,17.552,17.552,0,0
09/30/2019,15:00,16.898,16.898,16.898,16.898,0,0
10/01/2019,15:00,17.202,17.202,17.202,17.202,0,0
10/02/2019,15:00,17.592,17.592,17.592,17.592,0,0
10/03/2019,15:00,17.585,17.585,17.585,17.585,0,0
10/04/2019,15:00,17.540,17.540,17.540,17.540,0,0
10/07/2019,15:00,17.457,17.457,17.457,17.457,0,0
10/08/2019,15:00,17.617,17.617,17.617,17.617,0,0
10/09/2019,15:00,17.728,17.728,17.728,17.728,0,0
10/10/2019,15:00,17.520,17.520,17.520,17.520,0,0
10/11/2019,15:00,17.462,17.462,17.462,17.462,0,0
10/14/2019,15:00,17.634,17.634,17.634,17.634,0,0
10/15/2019,15:00,17.308,17.308,17.308,17.308,0,0
10/16/2019,15:00,17.351,17.351,17.351,17.351,0,0
10/17/2019,15:00,17.536,17.536,17.536,17.536,0,0
10/18/2019,15:00,17.502,17.502,17.502,17.502,0,0
10/21/2019,15:00,17.526,17.526,17.526,17.526,0,0
10/22/2019,15:00,17.437,17.437,17.437,17.437,0,0
10/23/2019,15:00,17.517,17.517,17.517,17.517,0,0
10/24/2019,15:00,17.739,17.739,17.739,17.739,0,0
10/25/2019,15:00,17.861,17.861,17.861,17.861,0,0
10/28/2019,15:00,17.816,17.816,17.816,17.816,0,0
10/29/2019,15:00,17.771,17.771,17.771,17.771,0,0
