"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.4214,1.4214,1.4214,1.4214,0,1
02/28/2018,14:00,1.4066,1.4066,1.4066,1.4066,0,1
03/01/2018,14:00,1.4056,1.4056,1.4056,1.4056,0,1
03/02/2018,14:00,1.4077,1.4077,1.4077,1.4077,0,1
03/05/2018,14:00,1.4119,1.4119,1.4119,1.4119,0,1
03/06/2018,14:00,1.4176,1.4176,1.4176,1.4176,0,1
03/07/2018,14:00,1.4188,1.4188,1.4188,1.4188,0,1
03/08/2018,14:00,1.4086,1.4086,1.4086,1.4086,0,1
03/09/2018,14:00,1.4139,1.4139,1.4139,1.4139,0,1
03/12/2018,14:00,1.4198,1.4198,1.4198,1.4198,0,1
03/13/2018,14:00,1.4268,1.4268,1.4268,1.4268,0,1
03/14/2018,14:00,1.4268,1.4268,1.4268,1.4268,0,1
03/15/2018,14:00,1.4223,1.4223,1.4223,1.4223,6,7
03/16/2018,14:00,1.4321,1.4321,1.4232,1.4232,6,7
03/19/2018,14:00,1.4339,1.4339,1.4339,1.4339,2,7
03/20/2018,14:00,1.4290,1.4290,1.4290,1.4290,0,7
03/21/2018,14:00,1.4413,1.4413,1.4413,1.4413,0,7
03/22/2018,14:00,1.4385,1.4385,1.4385,1.4385,0,7
03/23/2018,14:00,1.4422,1.4422,1.4422,1.4422,0,7
03/26/2018,14:00,1.4502,1.4502,1.4502,1.4502,0,7
03/27/2018,14:00,1.4420,1.4420,1.4420,1.4420,0,7
03/28/2018,14:00,1.4350,1.4350,1.4350,1.4350,0,7
03/29/2018,14:00,1.4281,1.4281,1.4281,1.4281,4,7
04/02/2018,14:00,1.4304,1.4304,1.4304,1.4304,0,7
04/03/2018,14:00,1.4325,1.4325,1.4325,1.4325,0,7
04/04/2018,14:00,1.4348,1.4348,1.4348,1.4348,0,7
04/05/2018,14:00,1.4274,1.4274,1.4274,1.4274,0,7
04/06/2018,14:00,1.4354,1.4354,1.4354,1.4354,0,7
04/09/2018,14:00,1.4403,1.4403,1.4403,1.4403,0,7
04/10/2018,14:00,1.4457,1.4457,1.4457,1.4457,0,7
04/11/2018,14:00,1.4446,1.4446,1.4446,1.4446,0,7
04/12/2018,14:00,1.4520,1.4520,1.4503,1.4503,14,10
04/13/2018,14:00,1.4517,1.4517,1.4517,1.4517,0,10
04/16/2018,14:00,1.4612,1.4612,1.4612,1.4612,0,10
04/17/2018,14:00,1.4565,1.4565,1.4565,1.4565,0,10
04/18/2018,14:00,1.4486,1.4486,1.4486,1.4486,0,10
04/19/2018,14:00,1.4353,1.4353,1.4353,1.4353,10,20
04/20/2018,14:00,1.4306,1.4306,1.4306,1.4306,0,20
04/23/2018,14:00,1.4222,1.4222,1.4222,1.4222,0,20
04/24/2018,14:00,1.4252,1.4252,1.4252,1.4252,0,20
04/25/2018,14:00,1.4224,1.4224,1.4224,1.4224,0,20
04/26/2018,14:00,1.4205,1.4205,1.4205,1.4205,0,20
04/27/2018,14:00,1.4060,1.4070,1.4060,1.4070,1,20
04/30/2018,14:00,1.4030,1.4030,1.4030,1.4030,7,20
05/01/2018,14:00,1.3900,1.3900,1.3900,1.3900,0,20
05/02/2018,14:00,1.3883,1.3883,1.3883,1.3883,0,20
05/03/2018,14:00,1.3850,1.3850,1.3850,1.3850,0,20
05/04/2018,14:00,1.3822,1.3822,1.3822,1.3822,0,20
05/07/2018,14:00,1.3841,1.3841,1.3841,1.3841,0,20
05/08/2018,14:00,1.3812,1.3812,1.3812,1.3812,0,20
05/09/2018,14:00,1.3827,1.3827,1.3827,1.3827,5,22
05/10/2018,14:00,1.3795,1.3795,1.3795,1.3795,0,22
05/11/2018,14:00,1.3819,1.3819,1.3819,1.3819,0,22
05/14/2018,14:00,1.3835,1.3835,1.3835,1.3835,0,22
05/15/2018,14:00,1.3782,1.3782,1.3782,1.3782,0,22
05/16/2018,14:00,1.3761,1.3761,1.3761,1.3761,0,22
05/17/2018,14:00,1.3774,1.3774,1.3774,1.3774,0,22
05/18/2018,14:00,1.3747,1.3747,1.3747,1.3747,0,22
05/21/2018,14:00,1.3681,1.3681,1.3681,1.3681,0,22
05/22/2018,14:00,1.3695,1.3695,1.3695,1.3695,0,22
05/23/2018,14:00,1.3614,1.3614,1.3614,1.3614,0,22
05/24/2018,14:00,1.3646,1.3646,1.3646,1.3646,6,25
05/25/2018,14:00,1.3600,1.3600,1.3577,1.3577,6,25
05/29/2018,14:00,1.3504,1.3504,1.3504,1.3504,0,25
05/30/2018,14:00,1.3550,1.3550,1.3532,1.3532,2,26
05/31/2018,14:00,1.3545,1.3545,1.3545,1.3545,0,26
06/01/2018,14:00,1.3601,1.3601,1.3601,1.3601,0,26
06/04/2018,14:00,1.3569,1.3569,1.3569,1.3569,0,26
06/05/2018,14:00,1.3645,1.3645,1.3645,1.3645,0,26
06/06/2018,14:00,1.3661,1.3661,1.3661,1.3661,0,26
