"Date","Time","Open","High","Low","Close","Vol","OI"
09/27/2019,14:00,8180,8180,8180,8180,0,0
09/30/2019,14:00,8525,8525,8525,8525,0,0
10/01/2019,14:00,8650,8680,8500,8500,9,9
10/02/2019,14:00,8445,8470,8400,8470,5,14
10/03/2019,14:00,8350,8350,8260,8330,2,22
10/04/2019,14:00,8400,8400,8375,8375,2,22
10/07/2019,14:00,7950,8425,7950,8425,35,45
10/08/2019,14:00,8440,8525,8355,8360,10,45
10/09/2019,14:00,8600,8885,8595,8835,17,50
10/10/2019,14:00,8680,8805,8660,8805,8,54
10/11/2019,14:00,8550,8570,8550,8570,8,54
10/14/2019,14:00,8565,8565,8565,8565,0,54
10/15/2019,14:00,8500,8500,8310,8385,3,56
10/16/2019,14:00,8260,8260,8135,8135,9,58
10/17/2019,14:00,8295,8305,8255,8255,3,60
10/18/2019,14:00,8100,8140,8050,8140,18,73
10/21/2019,14:00,8485,8490,8415,8430,15,76
10/22/2019,14:00,8450,8490,8410,8410,15,82
10/23/2019,14:00,8150,8205,7485,7625,94,113
10/24/2019,14:00,7590,7635,7565,7605,52,135
10/25/2019,14:00,7700,8890,7700,8890,52,135
10/28/2019,14:00,9900,10225,9675,9755,28,136
10/29/2019,14:00,9760,9760,9500,9575,7,136
10/30/2019,14:00,9475,9530,9340,9525,26,139
10/31/2019,14:00,9410,9590,9390,9555,14,125
11/01/2019,14:00,9405,9510,9405,9510,14,125
11/04/2019,14:00,9420,9950,9420,9850,21,127
11/05/2019,14:00,9350,9710,9320,9710,2,127
11/06/2019,14:00,9670,9670,9670,9670,0,127
11/07/2019,14:00,9485,9530,9485,9530,3,125
11/08/2019,14:00,9325,9350,9075,9120,12,134
11/11/2019,14:00,8970,9020,8970,9020,1,135
11/12/2019,14:00,8885,9105,8885,9105,1,136
11/13/2019,14:00,9065,9065,9060,9065,3,136
11/14/2019,14:00,8945,8955,8900,8955,4,138
11/15/2019,14:00,8860,8940,8705,8765,14,138
11/18/2019,14:00,8755,8755,8400,8475,23,143
11/19/2019,14:00,8390,8390,8350,8370,8,145
11/20/2019,14:00,8365,8390,8315,8340,20,150
11/21/2019,14:00,8190,8190,7780,7795,43,170
11/22/2019,14:00,7800,7850,6985,7470,91,206
11/25/2019,14:00,7050,7450,6635,7315,95,235
11/26/2019,14:00,7280,7325,7205,7250,19,233
11/27/2019,14:00,7275,7840,7000,7755,58,242
11/29/2019,14:00,7740,7960,7575,7930,15,244
12/02/2019,14:00,7580,7580,7420,7490,6,245
12/03/2019,14:00,7480,7540,7405,7485,32,246
12/04/2019,14:00,7315,8055,7270,7350,34,251
12/05/2019,14:00,7355,7555,7340,7550,9,246
12/06/2019,14:00,7535,7600,7535,7600,9,246
12/09/2019,14:00,7700,7790,7460,7460,31,259
12/10/2019,14:00,7520,7520,7360,7370,15,266
12/11/2019,14:00,7415,7415,7325,7325,35,278
12/12/2019,14:00,7365,7465,7280,7415,41,298
12/13/2019,14:00,7360,7415,7315,7360,41,298
12/16/2019,14:00,7335,7335,6905,6925,191,373
12/17/2019,14:00,6935,6985,6640,6645,192,453
12/18/2019,14:00,6660,7290,6500,7205,310,606
12/19/2019,14:00,7455,7515,7175,7270,135,631
12/20/2019,14:00,7280,7335,7205,7325,63,648
12/23/2019,14:00,7560,7815,7480,7535,164,708
12/24/2019,14:00,7445,7530,7350,7350,67,749
12/26/2019,14:00,7320,7570,7315,7385,116,792
12/27/2019,14:00,7325,7370,7245,7340,116,792
12/30/2019,14:00,7490,7545,7350,7385,47,802
12/31/2019,14:00,7345,7420,7260,7285,72,809
01/02/2020,14:00,7280,7280,7020,7040,60,810
01/03/2020,14:00,7050,7550,6955,7455,119,822
01/06/2020,14:00,7510,7750,7480,7710,349,1077
01/07/2020,14:00,7910,8365,7910,8350,315,1129
01/08/2020,14:00,8350,8665,8055,8225,166,1123
01/09/2020,14:00,8210,8210,7910,7985,42,1123
01/10/2020,14:00,7980,8295,7850,8235,138,1130
01/13/2020,14:00,8350,8365,8235,8330,100,1137
01/14/2020,14:00,8415,9125,8415,8935,458,1161
01/15/2020,14:00,9135,9175,8835,9045,259,1168
01/16/2020,14:00,8970,8975,8790,8930,142,1220
01/17/2020,14:00,8920,9210,8915,9075,150,1257
01/21/2020,14:00,8810,8940,8635,8865,266,1232
01/22/2020,14:00,8905,8975,8765,8825,100,1239
01/23/2020,14:00,8830,8830,8410,8485,152,1175
01/24/2020,14:00,8515,8650,8385,8615,152,1175
01/27/2020,14:00,8740,9175,8730,9175,324,1202
01/28/2020,14:00,9090,9405,9090,9275,352,1222
01/29/2020,14:00,9315,9670,9315,9620,344,1253
01/30/2020,14:00,9490,9825,9420,9815,274,1239
01/31/2020,14:00,9780,9785,9430,9535,177,1258
02/03/2020,14:00,9565,9895,9400,9510,274,1296
02/04/2020,14:00,9450,9490,9240,9360,199,1322
02/05/2020,14:00,9340,10020,9335,9940,498,1341
02/06/2020,14:00,9915,10130,9810,10025,703,1439
02/07/2020,14:00,9935,10170,9910,9980,343,1407
02/10/2020,14:00,10415,10485,9870,10100,387,1512
02/11/2020,14:00,10110,10725,9975,10585,678,1720
02/12/2020,14:00,10535,10820,10520,10730,363,1833
02/13/2020,14:00,10690,10880,10425,10490,456,2070
02/14/2020,14:00,10545,10795,10425,10675,456,2072
02/18/2020,14:00,9825,10455,9800,10415,2045,2118
02/19/2020,14:00,10470,10705,9455,10395,742,2236
02/20/2020,14:00,9880,9880,9560,9760,441,2272
02/21/2020,14:00,9785,9950,9745,9885,267,2303
02/24/2020,14:00,10010,10220,9640,9745,1636,2775
02/25/2020,14:00,9815,9850,9385,9435,1538,3296
02/26/2020,14:00,9510,9530,8705,8885,2011,3579
02/27/2020,14:00,8800,9055,8575,8945,2186,3952
02/28/2020,14:00,8855,8965,8480,8700,3889,3952
