"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,213.000,213.000,213.000,213.000,0,0
02/28/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/01/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/02/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/05/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/06/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/07/2018,14:00,213.000,213.000,213.000,213.000,0,0
03/08/2018,14:00,218.000,218.000,218.000,218.000,0,0
03/09/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/12/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/13/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/14/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/15/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/16/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/19/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/20/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/21/2018,14:00,219.000,219.000,219.000,219.000,0,0
03/22/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/23/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/26/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/27/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/28/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/29/2018,14:00,221.500,221.500,221.500,221.500,0,0
04/02/2018,14:00,221.500,221.500,221.500,221.500,0,0
04/03/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/04/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/05/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/06/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/09/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/10/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/11/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/12/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/13/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/16/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/17/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/18/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/19/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/20/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/23/2018,14:00,227.500,227.500,227.500,227.500,0,0
04/24/2018,14:00,232.000,232.000,232.000,232.000,0,0
04/25/2018,14:00,237.200,237.200,237.200,237.200,0,0
04/26/2018,14:00,237.200,237.200,237.200,237.200,0,0
04/27/2018,14:00,237.200,237.200,237.200,237.200,0,0
04/30/2018,14:00,237.200,237.200,237.200,237.200,0,0
05/01/2018,14:00,237.200,237.200,237.200,237.200,0,0
05/02/2018,14:00,237.200,237.200,237.200,237.200,0,0
05/03/2018,14:00,237.200,237.200,237.200,237.200,1,1
05/04/2018,14:00,237.200,237.200,237.200,237.200,1,1
05/07/2018,14:00,237.200,237.200,237.200,237.200,0,1
05/08/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/09/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/10/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/11/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/14/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/15/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/16/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/17/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/18/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/21/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/22/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/23/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/24/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/25/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/29/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/30/2018,14:00,236.750,236.750,236.750,236.750,0,1
05/31/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/01/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/04/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/05/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/06/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/07/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/08/2018,14:00,236.750,236.750,236.750,236.750,0,1
06/11/2018,14:00,236.750,236.750,236.750,236.750,2,3
06/12/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/13/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/14/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/15/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/18/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/19/2018,14:00,236.750,236.750,236.750,236.750,0,3
06/20/2018,14:00,236.650,236.650,236.650,236.650,2,5
06/21/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/22/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/25/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/26/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/27/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/28/2018,14:00,236.650,236.650,236.650,236.650,0,5
06/29/2018,14:00,236.575,236.575,236.575,236.575,0,5
07/02/2018,14:00,236.175,236.175,236.175,236.175,0,5
07/03/2018,14:00,233.925,233.925,233.925,233.925,0,5
07/05/2018,14:00,232.500,232.500,232.500,232.500,0,5
07/06/2018,14:00,232.500,232.500,232.500,232.500,0,5
07/09/2018,14:00,232.500,232.500,232.500,232.500,0,5
