"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,230.000,230.750,228.450,228.825,30,977
03/01/2018,14:00,228.525,229.500,226.625,227.900,34,972
03/02/2018,14:00,226.325,227.000,226.325,227.000,34,972
03/05/2018,14:00,227.625,228.750,227.625,228.000,2,974
03/06/2018,14:00,229.500,231.250,229.500,230.750,22,996
03/07/2018,14:00,230.750,230.750,228.400,229.000,24,1002
03/08/2018,14:00,228.000,228.000,226.500,226.500,30,1012
03/09/2018,14:00,226.000,226.000,225.500,226.000,22,1012
03/12/2018,14:00,225.525,225.525,224.800,224.800,38,1031
03/13/2018,14:00,224.050,224.550,223.450,223.450,33,1033
03/14/2018,14:00,224.000,224.500,224.000,224.250,30,1039
03/15/2018,14:00,223.575,224.000,223.025,224.000,38,1068
03/16/2018,14:00,223.750,223.750,223.000,223.000,38,1068
03/19/2018,14:00,221.500,223.000,221.425,221.600,42,1089
03/20/2018,14:00,220.175,223.300,220.175,223.275,33,1098
03/21/2018,14:00,223.050,223.750,223.050,223.050,14,1106
03/22/2018,14:00,223.000,223.500,223.000,223.500,17,1109
03/23/2018,14:00,223.000,223.100,223.000,223.100,6,1114
03/26/2018,14:00,223.000,223.250,223.000,223.125,22,1134
03/27/2018,14:00,223.125,223.125,223.125,223.125,0,1134
03/28/2018,14:00,224.600,225.700,224.000,224.750,31,1135
03/29/2018,14:00,224.750,226.000,224.750,226.000,15,1145
04/02/2018,14:00,226.000,226.000,225.700,225.875,17,1149
04/03/2018,14:00,226.500,229.975,226.500,227.700,6,1151
04/04/2018,14:00,231.650,234.500,230.500,233.000,48,1172
04/05/2018,14:00,232.000,232.000,230.000,230.750,27,1189
04/06/2018,14:00,231.250,232.450,231.250,232.450,27,1189
04/09/2018,14:00,234.000,237.350,234.000,237.350,27,1198
04/10/2018,14:00,237.350,239.000,236.050,236.050,65,1225
04/11/2018,14:00,238.000,239.000,234.000,236.000,59,1222
04/12/2018,14:00,235.975,236.000,235.000,235.000,27,1237
04/13/2018,14:00,232.825,232.825,231.875,232.800,13,1237
04/16/2018,14:00,232.050,233.250,232.025,232.100,28,1227
04/17/2018,14:00,232.100,233.850,232.100,233.025,20,1226
04/18/2018,14:00,233.725,235.025,233.725,235.025,32,1230
04/19/2018,14:00,235.500,235.750,235.500,235.750,12,1237
04/20/2018,14:00,236.000,236.000,235.650,235.650,12,1237
04/23/2018,14:00,237.000,237.000,235.650,235.650,11,1234
04/24/2018,14:00,239.500,240.500,239.500,239.500,21,1242
04/25/2018,14:00,239.525,239.525,239.225,239.225,27,1247
04/26/2018,14:00,241.000,241.250,239.025,239.250,13,1245
04/27/2018,14:00,240.475,240.475,239.000,239.250,23,1247
04/30/2018,14:00,239.250,239.275,239.250,239.275,3,1247
05/01/2018,14:00,238.650,238.650,238.075,238.600,9,1251
05/02/2018,14:00,237.500,237.825,235.050,236.000,21,1250
05/03/2018,14:00,234.025,235.000,234.025,234.775,59,1285
05/04/2018,14:00,233.000,234.800,233.000,233.675,59,1285
05/07/2018,14:00,233.000,233.300,232.025,232.300,39,1300
05/08/2018,14:00,232.300,232.500,232.000,232.500,10,1300
05/09/2018,14:00,232.250,233.000,232.000,232.000,56,1268
05/10/2018,14:00,231.725,233.000,231.725,232.525,26,1262
05/11/2018,14:00,233.025,233.025,232.950,232.950,41,1268
05/14/2018,14:00,232.750,232.775,232.750,232.775,3,1271
05/15/2018,14:00,234.500,234.850,234.000,234.000,44,1288
05/16/2018,14:00,234.500,234.500,233.250,234.025,21,1290
05/17/2018,14:00,233.075,234.025,233.075,233.775,7,1287
05/18/2018,14:00,234.000,234.250,234.000,234.150,14,1290
05/21/2018,14:00,233.500,234.000,233.500,234.000,2,1288
05/22/2018,14:00,234.000,234.000,234.000,234.000,0,1288
05/23/2018,14:00,233.750,233.750,233.400,233.750,36,1279
05/24/2018,14:00,233.550,233.575,233.450,233.575,14,1253
05/25/2018,14:00,233.450,233.750,233.400,233.750,14,1253
05/29/2018,14:00,233.750,233.750,233.750,233.750,0,1253
05/30/2018,14:00,233.750,233.750,233.750,233.750,0,1253
