"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:30,2293,2293,2260,2288,761,7008
03/01/2018,10:30,2280,2331,2270,2319,831,6940
03/02/2018,10:30,2329,2377,2328,2377,362,6912
03/05/2018,10:30,2400,2482,2390,2470,1627,7019
03/06/2018,10:30,2447,2478,2432,2469,1009,7458
03/07/2018,10:30,2471,2483,2457,2474,1489,7298
03/08/2018,10:30,2478,2533,2471,2516,3130,8550
03/09/2018,10:30,2505,2545,2465,2487,911,9043
03/12/2018,10:30,2497,2572,2477,2556,958,9268
03/13/2018,10:30,2552,2565,2537,2547,1710,9712
03/14/2018,10:30,2545,2587,2544,2574,347,9810
03/15/2018,10:30,2575,2580,2530,2549,1713,9807
03/16/2018,10:30,2545,2558,2540,2545,841,10160
03/19/2018,10:30,2558,2558,2478,2482,976,10020
03/20/2018,10:30,2469,2533,2469,2510,546,10317
03/21/2018,10:30,2534,2557,2516,2555,288,10485
03/22/2018,10:30,2577,2577,2548,2569,379,10673
03/23/2018,10:30,2546,2661,2546,2648,606,10783
03/26/2018,10:30,2650,2670,2630,2663,234,10858
03/27/2018,10:30,2640,2643,2578,2600,494,10818
03/28/2018,10:30,2569,2635,2544,2635,346,10685
03/29/2018,10:30,2621,2622,2575,2582,496,10930
04/02/2018,10:30,2657,2673,2643,2670,269,11101
04/03/2018,10:30,2629,2638,2540,2548,221,11108
04/04/2018,10:30,2516,2579,2513,2544,272,10956
04/05/2018,10:30,2548,2584,2511,2558,399,10839
04/06/2018,10:30,2546,2546,2520,2522,243,10810
04/09/2018,10:30,2504,2591,2504,2581,387,10874
04/10/2018,10:30,2587,2587,2540,2562,61,10862
04/11/2018,10:30,2572,2612,2552,2607,455,10936
04/12/2018,10:30,2598,2617,2594,2596,413,10709
04/13/2018,10:30,2612,2624,2603,2611,132,10733
04/16/2018,10:30,2598,2727,2595,2718,446,10888
04/17/2018,10:30,2734,2735,2696,2708,2017,10985
04/18/2018,10:30,2694,2799,2694,2770,1805,10789
04/19/2018,10:30,2761,2794,2756,2775,393,10897
04/20/2018,10:30,2733,2764,2693,2723,722,10793
04/23/2018,10:30,2695,2728,2694,2712,247,10600
04/24/2018,10:30,2712,2791,2706,2771,1274,10897
04/25/2018,10:30,2769,2795,2747,2782,375,10884
04/26/2018,10:30,2815,2816,2670,2709,2630,10874
04/27/2018,10:30,2718,2739,2652,2731,916,11176
04/30/2018,10:30,2721,2747,2681,2739,1386,11857
05/01/2018,10:30,2725,2828,2711,2828,810,12044
05/02/2018,10:30,2825,2833,2767,2773,420,12156
05/03/2018,10:30,2755,2807,2747,2806,167,12123
05/04/2018,10:30,2768,2768,2732,2752,244,12111
05/07/2018,10:30,2741,2840,2741,2836,166,12149
05/08/2018,10:30,2812,2812,2768,2778,266,12037
05/09/2018,10:30,2741,2774,2698,2774,407,12066
05/10/2018,10:30,2768,2790,2727,2777,231,12041
05/11/2018,10:30,2765,2839,2765,2808,411,12074
05/14/2018,10:30,2803,2817,2789,2789,84,12087
05/15/2018,10:30,2768,2768,2686,2696,261,12082
05/16/2018,10:30,2670,2743,2652,2742,496,11988
05/17/2018,10:30,2737,2737,2652,2661,282,12042
05/18/2018,10:30,2644,2738,2644,2703,172,12066
05/21/2018,10:30,2693,2715,2655,2657,309,12236
05/22/2018,10:30,2686,2705,2629,2636,750,12245
05/23/2018,10:30,2648,2673,2637,2667,490,12364
05/24/2018,10:30,2670,2681,2651,2651,256,12426
05/25/2018,10:30,2653,2668,2613,2618,492,12426
05/29/2018,10:30,2604,2634,2560,2567,824,12297
05/30/2018,10:30,2569,2606,2567,2598,1113,12654
05/31/2018,10:30,2592,2595,2521,2523,2343,13628
