"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:30,2285,2300,2268,2299,118,2708
03/01/2018,10:30,2290,2330,2289,2330,244,2721
03/02/2018,10:30,2361,2389,2361,2388,198,2804
03/05/2018,10:30,2403,2493,2401,2482,1753,3554
03/06/2018,10:30,2461,2488,2445,2481,278,3547
03/07/2018,10:30,2483,2490,2472,2485,547,3848
03/08/2018,10:30,2490,2527,2490,2527,356,3892
03/09/2018,10:30,2522,2531,2478,2499,206,3962
03/12/2018,10:30,2488,2579,2488,2568,528,4179
03/13/2018,10:30,2569,2575,2547,2556,1013,4283
03/14/2018,10:30,2557,2596,2557,2584,72,4294
03/15/2018,10:30,2585,2591,2542,2557,971,4506
03/16/2018,10:30,2547,2565,2546,2552,1131,4905
03/19/2018,10:30,2556,2556,2489,2491,356,4953
03/20/2018,10:30,2520,2533,2515,2518,27,4954
03/21/2018,10:30,2537,2564,2537,2564,7,4954
03/22/2018,10:30,2578,2578,2578,2578,26,4954
03/23/2018,10:30,2600,2672,2600,2655,519,4951
03/26/2018,10:30,2658,2675,2658,2670,118,4952
03/27/2018,10:30,2630,2630,2593,2608,19,4952
03/28/2018,10:30,2603,2642,2603,2642,184,4995
03/29/2018,10:30,2629,2629,2585,2589,366,4879
04/02/2018,10:30,2671,2675,2649,2675,136,4972
04/03/2018,10:30,2552,2554,2552,2554,28,4967
04/04/2018,10:30,2550,2550,2550,2550,20,4965
04/05/2018,10:30,2512,2590,2512,2565,62,4914
04/06/2018,10:30,2550,2550,2527,2529,78,4881
04/09/2018,10:30,2512,2593,2512,2584,244,4880
04/10/2018,10:30,2590,2590,2555,2564,88,4807
04/11/2018,10:30,2573,2609,2561,2609,248,4766
04/12/2018,10:30,2600,2619,2592,2600,341,4680
04/13/2018,10:30,2627,2628,2614,2614,4,4683
04/16/2018,10:30,2601,2721,2601,2721,506,4814
04/17/2018,10:30,2737,2738,2701,2709,316,4753
04/18/2018,10:30,2721,2772,2721,2769,373,5053
04/19/2018,10:30,2782,2792,2765,2773,230,5153
04/20/2018,10:30,2725,2725,2722,2722,31,5153
04/23/2018,10:30,2696,2727,2693,2711,23,5057
04/24/2018,10:30,2726,2771,2726,2769,649,5557
04/25/2018,10:30,2786,2790,2754,2780,81,5507
04/26/2018,10:30,2803,2803,2686,2709,362,5557
04/27/2018,10:30,2704,2727,2649,2722,262,5372
04/30/2018,10:30,2715,2734,2674,2725,512,5140
05/01/2018,10:30,2718,2815,2697,2815,266,5110
05/02/2018,10:30,2811,2818,2766,2766,120,5143
05/03/2018,10:30,2748,2798,2748,2798,50,5142
05/04/2018,10:30,2736,2752,2733,2746,59,5151
05/07/2018,10:30,2832,2832,2832,2832,9,5152
05/08/2018,10:30,2807,2807,2763,2774,98,5192
05/09/2018,10:30,2724,2769,2694,2769,147,5188
05/10/2018,10:30,2764,2773,2744,2773,154,5152
05/11/2018,10:30,2825,2826,2804,2804,23,5140
05/14/2018,10:30,2806,2812,2785,2785,20,5139
05/15/2018,10:30,2706,2706,2684,2693,124,5025
05/16/2018,10:30,2655,2742,2651,2739,43,5017
05/17/2018,10:30,2660,2660,2653,2659,26,5021
05/18/2018,10:30,2643,2702,2643,2702,83,5036
05/21/2018,10:30,2680,2711,2653,2653,263,4793
05/22/2018,10:30,2649,2695,2629,2634,278,4850
05/23/2018,10:30,2635,2672,2635,2665,158,4887
05/24/2018,10:30,2661,2672,2650,2650,60,4930
05/25/2018,10:30,2652,2669,2615,2617,83,4930
05/29/2018,10:30,2604,2623,2568,2568,442,5101
05/30/2018,10:30,2572,2603,2571,2597,774,5350
05/31/2018,10:30,2592,2595,2520,2522,391,5287
06/01/2018,10:30,2522,2534,2488,2526,554,5174
06/04/2018,10:30,2514,2514,2433,2442,518,5023
06/05/2018,10:30,2423,2450,2395,2405,533,4839
06/06/2018,10:30,2413,2419,2399,2413,167,4846
06/07/2018,10:30,2422,2424,2376,2383,296,4768
06/08/2018,10:30,2387,2477,2379,2473,186,4780
06/11/2018,10:30,2464,2464,2418,2452,80,4788
06/12/2018,10:30,2459,2482,2455,2479,162,4811
06/13/2018,10:30,2457,2466,2421,2424,110,4801
06/14/2018,10:30,2434,2466,2434,2466,117,4791
06/15/2018,10:30,2456,2540,2437,2538,345,4822
06/18/2018,10:30,2527,2527,2473,2510,604,5133
06/19/2018,10:30,2518,2518,2489,2495,295,5154
06/20/2018,10:30,2521,2573,2516,2573,178,5198
06/21/2018,10:30,2533,2558,2531,2538,69,5173
06/22/2018,10:30,2555,2559,2524,2538,66,5163
06/25/2018,10:30,2531,2539,2510,2512,58,5147
06/26/2018,10:30,2512,2516,2476,2509,599,5391
06/27/2018,10:30,2490,2490,2422,2427,965,6006
06/28/2018,10:30,2413,2494,2399,2477,594,6040
06/29/2018,10:30,2481,2546,2481,2533,364,6038
07/02/2018,10:30,2540,2542,2493,2535,483,5996
07/03/2018,10:30,2530,2547,2485,2499,388,5996
07/05/2018,10:30,2485,2554,2477,2517,369,5978
07/06/2018,10:30,2503,2520,2459,2498,221,5973
07/09/2018,10:30,2495,2516,2469,2485,607,5808
07/10/2018,10:30,2513,2544,2512,2526,302,5841
07/11/2018,10:30,2505,2512,2481,2508,237,5895
07/12/2018,10:30,2487,2513,2474,2501,367,5902
07/13/2018,10:30,2488,2525,2488,2520,355,6054
07/16/2018,10:30,2547,2584,2444,2452,744,6028
07/17/2018,10:30,2432,2456,2422,2434,640,6179
07/18/2018,10:30,2422,2444,2386,2394,627,6170
07/19/2018,10:30,2382,2405,2360,2360,1164,6529
07/20/2018,10:30,2381,2394,2354,2379,653,6686
07/23/2018,10:30,2384,2390,2358,2369,979,6840
07/24/2018,10:30,2364,2364,2327,2333,501,6837
07/25/2018,10:30,2330,2346,2317,2326,658,6791
07/26/2018,10:30,2327,2400,2327,2380,142,6762
07/27/2018,10:30,2390,2390,2300,2317,199,6757
07/30/2018,10:30,2329,2354,2313,2317,254,6759
07/31/2018,10:30,2315,2327,2264,2274,463,6799
08/01/2018,10:30,2263,2269,2186,2192,934,6716
08/02/2018,10:30,2185,2224,2180,2197,1231,6986
08/03/2018,10:30,2202,2202,2165,2175,725,7044
08/06/2018,10:30,2170,2229,2160,2225,3147,8729
08/07/2018,10:30,2215,2215,2190,2201,929,9110
08/08/2018,10:30,2183,2230,2181,2200,1156,8691
08/09/2018,10:30,2196,2207,2172,2180,903,8435
08/10/2018,10:30,2175,2184,2160,2168,1842,8475
08/13/2018,10:30,2189,2197,2163,2185,1995,7691
08/14/2018,10:30,2184,2187,2173,2185,469,7587
08/15/2018,10:30,2185,2233,2178,2180,1144,7826
08/16/2018,10:30,2197,2228,2193,2198,1181,8060
08/17/2018,10:30,2192,2203,2184,2192,1133,7873
08/20/2018,10:30,2190,2259,2180,2227,962,7982
08/21/2018,10:30,2229,2285,2206,2281,710,8071
08/22/2018,10:30,2286,2347,2283,2337,1093,8183
08/23/2018,10:30,2338,2369,2315,2360,984,8352
08/24/2018,10:30,2374,2392,2361,2380,752,8663
08/27/2018,10:30,2377,2414,2350,2370,501,8621
08/28/2018,10:30,2371,2376,2338,2349,365,8696
08/29/2018,10:30,2343,2382,2336,2373,348,8703
08/30/2018,10:30,2370,2370,2302,2304,943,9092
08/31/2018,10:30,2305,2360,2291,2355,811,9092
09/04/2018,10:30,2310,2354,2302,2352,1164,9169
09/05/2018,10:30,2336,2393,2323,2338,658,9358
09/06/2018,10:30,2342,2361,2296,2314,442,9507
09/07/2018,10:30,2318,2349,2278,2290,524,9541
09/10/2018,10:30,2283,2340,2281,2324,1366,9741
09/11/2018,10:30,2326,2326,2293,2309,599,10012
09/12/2018,10:30,2310,2361,2289,2346,2028,11131
09/13/2018,10:30,2344,2353,2314,2339,957,11596
09/14/2018,10:30,2342,2343,2250,2263,2555,12017
09/17/2018,10:30,2269,2329,2267,2274,1234,12107
09/18/2018,10:30,2280,2315,2271,2278,1418,12564
09/19/2018,10:30,2303,2303,2236,2244,848,12763
09/20/2018,10:30,2245,2278,2236,2253,1132,12931
09/21/2018,10:30,2255,2262,2214,2225,812,13202
09/24/2018,10:30,2218,2301,2216,2284,1522,13528
09/25/2018,10:30,2270,2293,2243,2245,1462,13801
09/26/2018,10:30,2249,2258,2205,2206,1185,14126
09/27/2018,10:30,2211,2227,2172,2174,1511,14233
