"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,10:30,2247,2314,2235,2290,4605,25054
03/02/2018,10:30,2317,2379,2290,2352,6515,25875
03/05/2018,10:30,2373,2484,2366,2469,8414,26281
03/06/2018,10:30,2455,2494,2433,2478,11567,29689
03/07/2018,10:30,2480,2502,2460,2486,9880,32334
03/08/2018,10:30,2476,2553,2472,2535,11186,34675
03/09/2018,10:30,2551,2574,2482,2507,8402,35891
03/12/2018,10:30,2512,2600,2492,2580,8292,37552
03/13/2018,10:30,2574,2590,2558,2568,8136,37620
03/14/2018,10:30,2561,2612,2553,2589,4946,37358
03/15/2018,10:30,2588,2598,2540,2569,4045,37357
03/16/2018,10:30,2565,2578,2553,2559,3398,37144
03/19/2018,10:30,2569,2602,2480,2487,5831,36438
03/20/2018,10:30,2472,2549,2472,2516,6028,36055
03/21/2018,10:30,2539,2576,2510,2560,5388,36826
03/22/2018,10:30,2587,2600,2546,2574,4440,37200
03/23/2018,10:30,2569,2677,2551,2657,7071,37915
03/26/2018,10:30,2655,2685,2639,2672,5044,38314
03/27/2018,10:30,2662,2664,2581,2601,6590,37704
03/28/2018,10:30,2616,2648,2540,2644,6924,38508
03/29/2018,10:30,2625,2648,2585,2595,7708,38221
04/02/2018,10:30,2630,2687,2587,2682,4277,39982
04/03/2018,10:30,2648,2651,2534,2551,10889,41297
04/04/2018,10:30,2531,2581,2507,2543,6570,43131
04/05/2018,10:30,2540,2585,2502,2557,7320,44617
04/06/2018,10:30,2565,2570,2515,2519,6759,44278
04/09/2018,10:30,2523,2592,2496,2579,9129,46678
04/10/2018,10:30,2584,2588,2531,2558,7015,47750
04/11/2018,10:30,2566,2617,2541,2605,5677,47136
04/12/2018,10:30,2599,2620,2584,2591,6806,47057
04/13/2018,10:30,2601,2620,2581,2604,6764,48093
04/16/2018,10:30,2610,2738,2592,2729,12964,51128
04/17/2018,10:30,2722,2751,2709,2730,8854,52255
04/18/2018,10:30,2730,2877,2724,2824,20071,52171
04/19/2018,10:30,2815,2853,2804,2824,10554,51928
04/20/2018,10:30,2803,2816,2731,2756,11322,53185
04/23/2018,10:30,2738,2780,2726,2750,7968,54569
04/24/2018,10:30,2746,2851,2744,2827,14567,54912
04/25/2018,10:30,2834,2873,2803,2847,7674,55252
04/26/2018,10:30,2876,2943,2773,2803,19548,56193
04/27/2018,10:30,2806,2840,2743,2836,7336,57609
04/30/2018,10:30,2836,2843,2756,2830,10184,57002
05/01/2018,10:30,2820,2920,2786,2913,11874,58909
05/02/2018,10:30,2915,2921,2830,2837,8047,58847
05/03/2018,10:30,2822,2868,2800,2863,4367,59403
05/04/2018,10:30,2862,2862,2790,2802,6908,60025
05/07/2018,10:30,2797,2883,2778,2869,7637,58809
05/08/2018,10:30,2847,2862,2783,2797,10796,57486
05/09/2018,10:30,2787,2799,2713,2796,19065,54818
05/10/2018,10:30,2796,2811,2740,2787,8984,53810
05/11/2018,10:30,2776,2870,2772,2824,9810,54539
05/14/2018,10:30,2824,2866,2784,2800,4907,54646
05/15/2018,10:30,2799,2804,2690,2702,9718,54686
05/16/2018,10:30,2680,2764,2657,2755,13241,54727
05/17/2018,10:30,2749,2791,2655,2666,9450,53968
05/18/2018,10:30,2650,2755,2645,2708,10867,55682
05/21/2018,10:30,2686,2719,2643,2648,10525,58081
05/22/2018,10:30,2645,2702,2615,2628,15867,62331
05/23/2018,10:30,2650,2676,2626,2661,12630,65521
05/24/2018,10:30,2668,2683,2640,2647,9160,70644
05/25/2018,10:30,2647,2674,2604,2607,13178,70644
05/29/2018,10:30,2599,2638,2544,2553,14812,72050
05/30/2018,10:30,2554,2594,2550,2584,18700,77437
05/31/2018,10:30,2581,2588,2504,2507,28760,79842
06/01/2018,10:30,2508,2516,2465,2505,27109,80383
06/04/2018,10:30,2500,2504,2387,2410,29255,82088
06/05/2018,10:30,2386,2424,2344,2356,33407,85652
06/06/2018,10:30,2356,2395,2327,2357,37279,90037
06/07/2018,10:30,2372,2379,2320,2328,43192,92544
06/08/2018,10:30,2328,2442,2320,2429,43366,95858
06/11/2018,10:30,2399,2417,2349,2408,35552,97461
06/12/2018,10:30,2410,2456,2392,2444,30155,100489
06/13/2018,10:30,2425,2475,2380,2391,31768,101707
06/14/2018,10:30,2395,2454,2391,2433,20588,104284
06/15/2018,10:30,2416,2527,2393,2519,28115,105644
06/18/2018,10:30,2508,2522,2432,2476,18565,102872
06/19/2018,10:30,2469,2494,2426,2453,16736,102753
06/20/2018,10:30,2446,2562,2441,2553,24017,103441
06/21/2018,10:30,2540,2540,2490,2513,18005,102768
06/22/2018,10:30,2520,2539,2483,2514,13240,102543
06/25/2018,10:30,2505,2520,2471,2480,16529,102728
06/26/2018,10:30,2486,2497,2424,2472,19223,101571
06/27/2018,10:30,2474,2479,2355,2380,27185,100323
06/28/2018,10:30,2368,2466,2341,2451,24946,98127
06/29/2018,10:30,2454,2534,2414,2512,27541,97618
07/02/2018,10:30,2512,2516,2455,2501,22164,93251
07/03/2018,10:30,2508,2543,2437,2454,18369,93239
07/05/2018,10:30,2439,2529,2422,2482,20485,92587
07/06/2018,10:30,2488,2496,2403,2465,16817,92101
07/09/2018,10:30,2461,2483,2417,2443,17028,90160
07/10/2018,10:30,2460,2522,2444,2501,21779,91028
07/11/2018,10:30,2471,2490,2446,2480,16155,89113
07/12/2018,10:30,2469,2492,2447,2485,14938,86801
07/13/2018,10:30,2477,2518,2452,2513,16821,87969
07/16/2018,10:30,2535,2594,2389,2406,39256,88085
