"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,0.78630,0.78630,0.78340,0.78340,66,2480
03/01/2018,14:00,0.78250,0.78440,0.77980,0.78350,177,2663
03/02/2018,14:00,0.78365,0.78365,0.77850,0.77925,177,2663
03/05/2018,14:00,0.77500,0.77525,0.77355,0.77355,28,2689
03/06/2018,14:00,0.78015,0.78015,0.77845,0.77920,18,2700
03/07/2018,14:00,0.77755,0.77970,0.77385,0.77780,90,2783
03/08/2018,14:00,0.77820,0.78010,0.77600,0.77865,60,2817
03/09/2018,14:00,0.78320,0.78355,0.78125,0.78335,28,2819
03/12/2018,14:00,0.78400,0.78400,0.78310,0.78335,25,2826
03/13/2018,14:00,0.78200,0.78270,0.77500,0.77700,209,2963
03/14/2018,14:00,0.77650,0.77765,0.77560,0.77695,555,3511
03/15/2018,14:00,0.77600,0.77600,0.77000,0.77025,176,3737
03/16/2018,14:00,0.77000,0.77000,0.76785,0.76785,176,3737
03/19/2018,14:00,0.76840,0.77015,0.76790,0.76995,39,3772
03/20/2018,14:00,0.76890,0.76890,0.76825,0.76850,8,3773
03/21/2018,14:00,0.77175,0.77830,0.77150,0.77770,125,3814
03/22/2018,14:00,0.77830,0.77850,0.77700,0.77775,33,3824
03/23/2018,14:00,0.77870,0.78280,0.77870,0.78085,73,3796
03/26/2018,14:00,0.78010,0.78080,0.77780,0.78060,12,3800
03/27/2018,14:00,0.78090,0.78200,0.77900,0.77995,33,3818
03/28/2018,14:00,0.77900,0.78020,0.77685,0.77780,43,3855
03/29/2018,14:00,0.77780,0.78000,0.77780,0.77875,91,3860
04/02/2018,14:00,0.77945,0.78080,0.77645,0.77645,56,3907
04/03/2018,14:00,0.78050,0.78565,0.78050,0.78435,409,3585
04/04/2018,14:00,0.78570,0.78695,0.78250,0.78555,130,3616
04/05/2018,14:00,0.78750,0.78810,0.78550,0.78765,20,3622
04/06/2018,14:00,0.78660,0.78835,0.78625,0.78625,20,3622
04/09/2018,14:00,0.78630,0.79125,0.78385,0.79105,90,3580
04/10/2018,14:00,0.79090,0.79785,0.79090,0.79785,104,3525
04/11/2018,14:00,0.79760,0.80040,0.79600,0.79875,117,3511
04/12/2018,14:00,0.79735,0.79860,0.79735,0.79860,6,3513
04/13/2018,14:00,0.79950,0.79950,0.79665,0.79680,42,3527
04/16/2018,14:00,0.79695,0.79965,0.79695,0.79965,70,3594
04/17/2018,14:00,0.80000,0.80135,0.79940,0.80015,64,3551
04/18/2018,14:00,0.79835,0.79950,0.79480,0.79535,104,3575
