"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,6.4453,6.4453,6.4453,6.4453,0,0
02/28/2018,14:00,6.4508,6.4508,6.4508,6.4508,0,0
03/01/2018,14:00,6.4710,6.4710,6.4710,6.4710,0,0
03/02/2018,14:00,6.4479,6.4479,6.4479,6.4479,0,0
03/05/2018,14:00,6.4578,6.4578,6.4578,6.4578,0,0
03/06/2018,14:00,6.4378,6.4378,6.4378,6.4378,0,0
03/07/2018,14:00,6.4399,6.4399,6.4399,6.4399,0,0
03/08/2018,14:00,6.4656,6.4656,6.4656,6.4656,0,0
03/09/2018,14:00,6.4463,6.4463,6.4463,6.4463,0,0
03/12/2018,14:00,6.4441,6.4441,6.4441,6.4441,0,0
03/13/2018,14:00,6.4404,6.4404,6.4404,6.4404,0,0
03/14/2018,14:00,6.4211,6.4211,6.4211,6.4211,0,0
03/15/2018,14:00,6.4444,6.4444,6.4444,6.4444,0,0
03/16/2018,14:00,6.4426,6.4426,6.4426,6.4426,0,0
03/19/2018,14:00,6.4344,6.4344,6.4344,6.4344,0,0
03/20/2018,14:00,6.4438,6.4438,6.4438,6.4438,0,0
03/21/2018,14:00,6.4130,6.4130,6.4130,6.4130,0,0
03/22/2018,14:00,6.4345,6.4345,6.4345,6.4345,0,0
03/23/2018,14:00,6.4109,6.4109,6.4109,6.4109,0,0
03/26/2018,14:00,6.3515,6.3515,6.3515,6.3515,0,0
03/27/2018,14:00,6.3650,6.3650,6.3650,6.3650,0,0
03/28/2018,14:00,6.3771,6.3771,6.3771,6.3771,0,0
03/29/2018,14:00,6.3603,6.3603,6.3603,6.3603,0,0
04/02/2018,14:00,6.3582,6.3582,6.3582,6.3582,0,0
04/03/2018,14:00,6.3525,6.3525,6.3525,6.3525,0,0
04/04/2018,14:00,6.3839,6.3845,6.3614,6.3614,5,5
04/05/2018,14:00,6.3695,6.3695,6.3695,6.3695,0,5
04/06/2018,14:00,6.3896,6.3896,6.3896,6.3896,0,5
04/09/2018,14:00,6.3711,6.3711,6.3711,6.3711,0,5
04/10/2018,14:00,6.3471,6.3471,6.3471,6.3471,0,5
04/11/2018,14:00,6.3416,6.3416,6.3416,6.3416,0,5
04/12/2018,14:00,6.3504,6.3504,6.3504,6.3504,0,5
04/13/2018,14:00,6.3493,6.3493,6.3493,6.3493,0,5
04/16/2018,14:00,6.3422,6.3422,6.3422,6.3422,0,5
04/17/2018,14:00,6.3477,6.3477,6.3477,6.3477,0,5
04/18/2018,14:00,6.3421,6.3421,6.3421,6.3421,0,5
04/19/2018,14:00,6.3535,6.3535,6.3535,6.3535,0,5
04/20/2018,14:00,6.3568,6.3568,6.3568,6.3568,0,5
04/23/2018,14:00,6.3901,6.3901,6.3901,6.3901,0,5
04/24/2018,14:00,6.3793,6.3793,6.3793,6.3793,0,5
04/25/2018,14:00,6.4046,6.4046,6.4046,6.4046,0,5
04/26/2018,14:00,6.4105,6.4105,6.4105,6.4105,0,5
