"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,6.4004,6.4004,6.3962,6.3962,5,55
03/01/2018,14:00,6.4154,6.4154,6.4154,6.4154,5,50
03/02/2018,14:00,6.4283,6.4283,6.3934,6.3934,5,50
03/05/2018,14:00,6.4010,6.4010,6.4010,6.4010,0,50
03/06/2018,14:00,6.3819,6.3819,6.3819,6.3819,0,50
03/07/2018,14:00,6.3850,6.3850,6.3850,6.3850,0,50
03/08/2018,14:00,6.3946,6.4097,6.3894,6.4097,14,50
03/09/2018,14:00,6.3908,6.3908,6.3908,6.3908,0,50
03/12/2018,14:00,6.3884,6.3884,6.3884,6.3884,0,50
03/13/2018,14:00,6.3835,6.3835,6.3835,6.3835,0,50
03/14/2018,14:00,6.3656,6.3656,6.3656,6.3656,0,50
03/15/2018,14:00,6.3890,6.3890,6.3890,6.3890,1,50
03/16/2018,14:00,6.3850,6.3886,6.3850,6.3886,1,50
03/19/2018,14:00,6.3792,6.3792,6.3792,6.3792,0,50
03/20/2018,14:00,6.3889,6.3889,6.3889,6.3889,0,50
03/21/2018,14:00,6.3886,6.3886,6.3618,6.3618,14,46
03/22/2018,14:00,6.3669,6.3847,6.3669,6.3847,18,41
03/23/2018,14:00,6.3729,6.3729,6.3612,6.3612,5,38
03/26/2018,14:00,6.3362,6.3362,6.3046,6.3046,3,37
03/27/2018,14:00,6.2973,6.3182,6.2973,6.3182,5,37
03/28/2018,14:00,6.3200,6.3314,6.3200,6.3314,1,37
03/29/2018,14:00,6.3163,6.3163,6.3163,6.3163,0,37
04/02/2018,14:00,6.3160,6.3160,6.3160,6.3160,0,37
04/03/2018,14:00,6.3132,6.3132,6.3132,6.3132,0,37
04/04/2018,14:00,6.3222,6.3222,6.3222,6.3222,0,37
04/05/2018,14:00,6.3296,6.3296,6.3296,6.3296,0,37
04/06/2018,14:00,6.3494,6.3494,6.3494,6.3494,0,37
04/09/2018,14:00,6.3347,6.3347,6.3347,6.3347,0,37
04/10/2018,14:00,6.3088,6.3088,6.3088,6.3088,0,37
04/11/2018,14:00,6.3050,6.3050,6.3026,6.3026,1,37
04/12/2018,14:00,6.3101,6.3101,6.3101,6.3101,0,37
04/13/2018,14:00,6.3250,6.3250,6.3084,6.3084,1,37
04/16/2018,14:00,6.3022,6.3022,6.3022,6.3022,0,37
04/17/2018,14:00,6.3100,6.3100,6.3093,6.3093,1,37
04/18/2018,14:00,6.3030,6.3040,6.3030,6.3040,1,37
04/19/2018,14:00,6.3148,6.3148,6.3148,6.3148,1,37
04/20/2018,14:00,6.3200,6.3200,6.3175,6.3175,1,37
04/23/2018,14:00,6.3494,6.3494,6.3494,6.3494,0,37
04/24/2018,14:00,6.3375,6.3375,6.3375,6.3375,0,37
04/25/2018,14:00,6.3612,6.3612,6.3612,6.3612,0,37
04/26/2018,14:00,6.3653,6.3653,6.3653,6.3653,0,37
04/27/2018,14:00,6.3573,6.3573,6.3573,6.3573,0,37
04/30/2018,14:00,6.3495,6.3495,6.3495,6.3495,0,37
05/01/2018,14:00,6.3735,6.3735,6.3735,6.3735,0,37
05/02/2018,14:00,6.4013,6.4013,6.4013,6.4013,0,37
05/03/2018,14:00,6.3783,6.3783,6.3783,6.3783,0,37
05/04/2018,14:00,6.3906,6.3906,6.3906,6.3906,0,37
05/07/2018,14:00,6.3930,6.3930,6.3930,6.3930,0,37
05/08/2018,14:00,6.4014,6.4014,6.4014,6.4014,0,37
05/09/2018,14:00,6.3990,6.3990,6.3963,6.3963,6,43
05/10/2018,14:00,6.3796,6.3796,6.3590,6.3590,26,52
05/11/2018,14:00,6.3592,6.3664,6.3592,6.3664,2,53
05/14/2018,14:00,6.3684,6.3684,6.3684,6.3684,0,52
05/15/2018,14:00,6.3743,6.4062,6.3743,6.4053,21,50
05/16/2018,14:00,6.3826,6.3826,6.3826,6.3826,0,50
05/17/2018,14:00,6.3856,6.3915,6.3856,6.3911,9,58
05/18/2018,14:00,6.4003,6.4018,6.3944,6.3944,24,69
05/21/2018,14:00,6.4045,6.4090,6.3881,6.3881,29,61
05/22/2018,14:00,6.3827,6.3827,6.3827,6.3827,0,61
05/23/2018,14:00,6.3890,6.4134,6.3890,6.4076,66,80
05/24/2018,14:00,6.4108,6.4114,6.4064,6.4064,11,85
05/25/2018,14:00,6.4152,6.4201,6.4152,6.4201,11,85
05/29/2018,14:00,6.4466,6.4609,6.4466,6.4609,67,71
05/30/2018,14:00,6.4556,6.4606,6.4326,6.4366,141,70
05/31/2018,14:00,6.4306,6.4419,6.4306,6.4411,51,72
06/01/2018,14:00,6.4434,6.4434,6.4374,6.4374,1,71
06/04/2018,14:00,6.4298,6.4298,6.4298,6.4298,0,71
06/05/2018,14:00,6.4176,6.4220,6.4176,6.4192,25,82
