"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,11:20,72.33,72.33,72.33,72.33,0,0
02/28/2018,11:20,72.20,72.20,72.20,72.20,0,0
03/01/2018,11:20,72.82,72.82,72.82,72.82,0,0
03/02/2018,11:20,72.44,72.44,72.44,72.44,0,0
03/05/2018,11:20,72.86,72.86,72.86,72.86,0,0
03/06/2018,11:20,72.96,72.96,72.96,72.96,0,0
03/07/2018,11:20,72.92,72.92,72.92,72.92,0,0
03/08/2018,11:20,72.98,72.98,72.98,72.98,0,0
03/09/2018,11:20,73.32,73.32,73.32,73.32,0,0
03/12/2018,11:20,73.42,73.42,73.42,73.42,0,0
03/13/2018,11:20,73.62,73.62,73.62,73.62,0,0
03/14/2018,11:20,73.48,73.48,73.48,73.48,0,0
03/15/2018,11:20,73.59,73.59,73.59,73.59,0,0
03/16/2018,11:20,73.73,73.73,73.73,73.73,0,0
03/19/2018,11:20,73.39,73.39,73.39,73.39,0,0
03/20/2018,11:20,73.28,73.28,73.28,73.28,0,0
03/21/2018,11:20,73.62,73.62,73.62,73.62,0,0
03/22/2018,11:20,73.84,73.84,73.84,73.84,0,0
03/23/2018,11:20,73.59,73.59,73.59,73.59,0,0
03/26/2018,11:20,73.48,73.48,73.48,73.48,0,0
03/27/2018,11:20,73.39,73.39,73.39,73.39,0,0
03/28/2018,11:20,73.10,73.10,73.10,73.10,0,0
03/29/2018,11:20,73.06,73.06,73.06,73.06,0,0
04/02/2018,11:20,73.03,73.03,73.03,73.03,0,0
04/03/2018,11:20,73.05,73.05,73.05,73.05,0,0
04/04/2018,11:20,73.18,73.18,73.18,73.18,0,0
04/05/2018,11:20,73.38,73.38,73.38,73.38,0,0
04/06/2018,11:20,73.40,73.40,73.40,73.40,0,0
04/09/2018,11:20,73.44,73.44,73.44,73.44,0,0
04/10/2018,11:20,73.28,73.28,73.28,73.28,0,0
04/11/2018,11:20,73.28,73.28,73.28,73.28,0,0
04/12/2018,11:20,73.48,73.48,73.48,73.48,0,0
04/13/2018,11:20,73.56,73.56,73.56,73.56,0,0
04/16/2018,11:20,73.56,73.56,73.56,73.56,0,0
04/17/2018,11:20,73.84,73.84,73.84,73.84,0,0
04/18/2018,11:20,73.97,73.97,73.97,73.97,0,0
04/19/2018,11:20,74.11,74.11,74.11,74.11,0,0
04/20/2018,11:20,74.03,74.03,74.03,74.03,0,0
04/23/2018,11:20,73.87,73.87,73.87,73.87,0,0
04/24/2018,11:20,73.60,73.60,73.60,73.60,0,0
04/25/2018,11:20,73.84,73.84,73.84,73.84,0,0
04/26/2018,11:20,73.89,73.89,73.89,73.89,0,0
04/27/2018,11:20,73.83,73.83,73.83,73.83,0,0
04/30/2018,11:20,73.73,73.73,73.73,73.73,0,0
05/01/2018,11:20,73.86,73.86,73.86,73.86,0,0
05/02/2018,11:20,73.96,73.96,73.96,73.96,0,0
05/03/2018,11:20,74.06,74.06,74.06,74.06,0,0
05/04/2018,11:20,74.45,74.45,74.45,74.45,0,0
05/07/2018,11:20,75.10,75.10,75.10,75.10,0,0
05/08/2018,11:20,75.16,75.16,75.16,75.16,0,0
05/09/2018,11:20,74.96,74.96,74.96,74.96,0,0
05/10/2018,11:20,75.31,75.31,75.31,75.31,0,0
05/11/2018,11:20,75.02,75.02,75.02,75.02,0,0
05/14/2018,11:20,75.01,75.01,75.01,75.01,0,0
05/15/2018,11:20,75.05,75.05,75.05,75.05,0,0
05/16/2018,11:20,75.39,75.39,75.39,75.39,0,0
05/17/2018,11:20,76.20,76.20,76.20,76.20,0,0
05/18/2018,11:20,77.03,77.03,77.03,77.03,0,0
05/21/2018,11:20,79.20,79.26,78.77,78.77,2,2
05/22/2018,11:20,78.48,78.48,78.48,78.48,0,2
05/23/2018,11:20,78.45,78.45,78.45,78.45,0,2
05/24/2018,11:20,78.93,78.93,78.31,78.31,46,46
05/25/2018,11:20,79.35,79.35,79.35,79.35,0,46
05/29/2018,11:20,81.37,81.37,81.37,81.37,0,46
05/30/2018,11:20,80.10,80.10,80.10,80.10,0,46
05/31/2018,11:20,80.07,80.07,80.07,80.07,0,46
06/01/2018,11:20,81.02,81.02,81.02,81.02,0,46
06/04/2018,11:20,81.30,81.30,81.30,81.30,0,46
06/05/2018,11:20,80.95,80.95,80.95,80.95,0,46
06/06/2018,11:20,81.34,81.34,81.34,81.34,0,46
