"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:20,82.27,83.05,81.80,82.93,18387,129824
03/01/2018,11:20,82.71,83.06,80.67,81.81,27301,130578
03/02/2018,11:20,81.53,82.22,81.10,82.09,12743,130811
03/05/2018,11:20,82.50,85.30,82.24,85.23,25348,133921
03/06/2018,11:20,84.97,86.60,81.71,82.43,40270,131508
03/07/2018,11:20,82.50,83.77,81.78,82.86,22478,129280
03/08/2018,11:20,83.26,85.25,82.96,85.12,22263,129782
03/09/2018,11:20,84.94,85.55,84.23,84.52,15189,129066
03/12/2018,11:20,84.49,85.03,82.88,83.28,14497,127202
03/13/2018,11:20,83.19,84.21,82.04,82.98,19947,125854
03/14/2018,11:20,83.39,83.87,82.41,83.44,11018,125899
03/15/2018,11:20,83.59,83.86,82.65,83.53,12456,126255
03/16/2018,11:20,83.70,83.70,82.42,82.85,10030,125349
03/19/2018,11:20,82.99,82.99,81.19,81.23,16728,121213
03/20/2018,11:20,81.15,83.35,80.95,83.08,19576,120071
03/21/2018,11:20,82.98,83.86,82.54,82.59,13920,118942
03/22/2018,11:20,82.66,83.21,81.77,82.15,12699,117313
03/23/2018,11:20,82.28,82.39,81.39,81.83,14903,115824
03/26/2018,11:20,82.08,82.57,81.50,81.78,14523,113430
03/27/2018,11:20,81.88,82.77,81.72,82.02,13131,113091
03/28/2018,11:20,82.00,82.13,80.67,80.74,17420,112279
03/29/2018,11:20,80.74,82.20,80.68,81.46,17467,111193
04/02/2018,11:20,81.80,82.71,80.92,80.97,15144,110077
04/03/2018,11:20,80.97,82.81,80.97,82.02,22369,100701
04/04/2018,11:20,82.10,82.31,78.62,79.64,43856,97429
04/05/2018,11:20,79.50,82.64,79.45,82.57,35612,92038
04/06/2018,11:20,82.00,83.46,81.80,82.54,26500,86642
04/09/2018,11:20,82.89,83.69,82.70,82.91,28417,72766
04/10/2018,11:20,82.88,83.59,82.31,83.53,30865,60212
04/11/2018,11:20,83.66,84.04,83.31,83.83,22891,48125
04/12/2018,11:20,83.83,83.97,83.17,83.69,20127,42750
04/13/2018,11:20,83.83,84.45,83.06,83.41,26393,28523
04/16/2018,11:20,83.25,84.04,83.00,83.25,12700,20364
04/17/2018,11:20,83.28,83.58,82.06,83.13,9763,14523
04/18/2018,11:20,83.28,83.39,82.50,82.74,6160,10318
04/19/2018,11:20,82.71,83.16,82.56,82.97,3536,7425
04/20/2018,11:20,83.00,85.63,83.00,85.47,5827,3126
04/23/2018,11:20,85.70,86.44,82.90,83.19,3444,338
04/24/2018,11:20,83.25,84.47,82.26,82.26,246,247
04/25/2018,11:20,83.17,84.76,82.89,84.76,19,181
04/26/2018,11:20,85.00,85.00,84.63,84.99,6,152
04/27/2018,11:20,85.33,85.33,85.33,85.33,0,105
04/30/2018,11:20,84.63,84.68,84.43,84.68,3,35
05/01/2018,11:20,84.66,85.30,84.66,85.12,17,18
05/02/2018,11:20,85.33,85.38,84.65,85.01,12,18
05/03/2018,11:20,84.75,84.85,84.45,84.45,5,13
05/04/2018,11:20,84.90,86.35,84.90,86.35,13,26
05/07/2018,11:20,87.69,87.69,85.99,85.99,3,15
05/08/2018,11:20,85.38,85.38,85.38,85.38,0,15
