"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,15.54,15.54,15.54,15.54,0,31
02/28/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/01/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/02/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/05/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/06/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/07/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/08/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/09/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/12/2018,14:00,15.54,15.54,15.54,15.54,3,31
03/13/2018,14:00,15.54,15.54,15.54,15.54,0,31
03/14/2018,14:00,15.55,15.55,15.54,15.54,3,34
03/15/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/16/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/19/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/20/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/21/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/22/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/23/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/26/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/27/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/28/2018,14:00,15.54,15.54,15.54,15.54,0,34
03/29/2018,14:00,15.54,15.54,15.54,15.54,2,36
04/02/2018,14:00,15.54,15.54,15.54,15.54,0,36
04/03/2018,14:00,15.54,15.54,15.54,15.54,0,36
04/04/2018,14:00,15.54,15.54,15.54,15.54,0,36
04/05/2018,14:00,15.58,15.58,15.58,15.58,0,36
04/06/2018,14:00,15.58,15.58,15.58,15.58,0,36
04/09/2018,14:00,15.58,15.58,15.58,15.58,0,36
04/10/2018,14:00,15.58,15.58,15.58,15.58,0,36
04/11/2018,14:00,15.58,15.58,15.58,15.58,0,36
04/12/2018,14:00,15.61,15.64,15.60,15.64,17,53
04/13/2018,14:00,15.64,15.64,15.64,15.64,0,53
04/16/2018,14:00,15.64,15.64,15.64,15.64,0,53
