"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,16.00,16.00,16.00,16.00,0,18
02/28/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/01/2018,14:00,16.00,16.00,16.00,16.00,1,18
03/02/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/05/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/06/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/07/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/08/2018,14:00,16.00,16.00,16.00,16.00,0,18
03/09/2018,14:00,16.03,16.05,16.00,16.00,3,21
03/12/2018,14:00,16.00,16.00,16.00,16.00,0,21
03/13/2018,14:00,16.00,16.00,16.00,16.00,0,21
03/14/2018,14:00,16.00,16.00,16.00,16.00,2,22
03/15/2018,14:00,16.00,16.00,16.00,16.00,2,23
03/16/2018,14:00,16.10,16.10,16.10,16.10,2,23
03/19/2018,14:00,16.10,16.10,16.10,16.10,0,23
03/20/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/21/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/22/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/23/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/26/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/27/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/28/2018,14:00,16.13,16.13,16.13,16.13,0,23
03/29/2018,14:00,16.13,16.13,16.13,16.13,2,25
04/02/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/03/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/04/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/05/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/06/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/09/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/10/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/11/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/12/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/13/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/16/2018,14:00,16.13,16.13,16.13,16.13,0,25
04/17/2018,14:00,16.30,16.30,16.30,16.30,1,26
04/18/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/19/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/20/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/23/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/24/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/25/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/26/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/27/2018,14:00,16.30,16.30,16.30,16.30,0,26
04/30/2018,14:00,16.30,16.30,16.30,16.30,0,26
05/01/2018,14:00,16.30,16.30,16.30,16.30,0,26
05/02/2018,14:00,16.30,16.30,16.30,16.30,0,26
05/03/2018,14:00,16.30,16.30,16.30,16.30,10,36
05/04/2018,14:00,16.30,16.30,16.30,16.30,10,36
05/07/2018,14:00,16.30,16.30,16.30,16.30,0,36
05/08/2018,14:00,16.30,16.30,16.30,16.30,0,36
05/09/2018,14:00,16.33,16.33,16.33,16.33,0,36
05/10/2018,14:00,16.33,16.33,16.33,16.33,0,36
05/11/2018,14:00,16.33,16.33,16.33,16.33,0,36
05/14/2018,14:00,16.49,16.49,16.49,16.49,0,36
