"Date","Time","Open","High","Low","Close","Vol","OI"
03/20/2018,14:00,88.739,88.739,88.739,88.739,0,0
03/21/2018,14:00,88.675,88.675,88.134,88.134,8,8
03/22/2018,14:00,88.238,88.238,88.238,88.238,0,8
03/23/2018,14:00,87.818,87.818,87.818,87.818,0,8
03/26/2018,14:00,87.590,87.590,87.389,87.389,1,9
03/27/2018,14:00,87.305,87.768,87.305,87.768,1,8
03/28/2018,14:00,88.340,88.484,88.340,88.484,1,9
03/29/2018,14:00,88.460,88.555,88.460,88.552,7,12
04/02/2018,14:00,88.451,88.451,88.451,88.451,0,12
04/03/2018,14:00,88.435,88.604,88.435,88.604,1,11
04/04/2018,14:00,88.523,88.523,88.523,88.523,0,11
04/05/2018,14:00,88.810,88.869,88.805,88.869,5,8
04/06/2018,14:00,88.527,88.527,88.527,88.527,0,8
04/09/2018,14:00,88.700,88.700,88.284,88.284,1,9
04/10/2018,14:00,88.025,88.040,88.025,88.040,5,10
04/11/2018,14:00,88.003,88.003,88.003,88.003,0,10
04/12/2018,14:00,88.171,88.171,88.171,88.171,0,10
04/13/2018,14:00,88.218,88.218,88.218,88.218,0,10
04/16/2018,14:00,87.840,87.840,87.840,87.840,0,10
04/17/2018,14:00,87.928,87.928,87.928,87.928,0,10
04/18/2018,14:00,88.057,88.057,88.057,88.057,0,10
04/19/2018,14:00,88.375,88.375,88.375,88.375,0,10
04/20/2018,14:00,88.740,88.740,88.740,88.740,0,10
04/23/2018,14:00,89.265,89.370,89.265,89.370,1,10
04/24/2018,14:00,89.197,89.197,89.197,89.197,0,10
04/25/2018,14:00,89.635,89.635,89.613,89.613,1,10
04/26/2018,14:00,90.030,90.030,90.030,90.030,0,10
04/27/2018,14:00,90.210,90.335,90.008,90.008,6,9
04/30/2018,14:00,90.295,90.295,90.295,90.295,0,9
05/01/2018,14:00,90.920,90.920,90.920,90.920,0,9
05/02/2018,14:00,90.870,91.000,90.870,90.999,4,13
05/03/2018,14:00,91.130,91.180,90.906,90.906,3,14
05/04/2018,14:00,91.085,91.090,90.975,91.063,3,17
05/07/2018,14:00,91.085,91.247,91.085,91.247,2,17
05/08/2018,14:00,91.460,91.613,91.460,91.613,1,18
05/09/2018,14:00,91.800,91.800,91.539,91.539,1,18
05/10/2018,14:00,91.176,91.176,91.176,91.176,0,18
05/11/2018,14:00,91.000,91.091,90.995,91.091,4,21
05/14/2018,14:00,90.875,91.132,90.875,91.132,1,20
05/15/2018,14:00,91.150,91.755,91.150,91.755,9,29
05/16/2018,14:00,92.165,92.165,91.900,91.948,2,31
05/17/2018,14:00,91.875,92.045,91.875,92.045,4,35
05/18/2018,14:00,91.930,92.495,91.930,92.199,153,188
05/21/2018,14:00,92.235,92.236,92.235,92.236,1,189
05/22/2018,14:00,92.166,92.166,92.166,92.166,0,189
05/23/2018,14:00,92.595,92.595,92.500,92.553,7,195
05/24/2018,14:00,92.550,92.550,92.300,92.336,4,199
05/25/2018,14:00,92.815,92.815,92.775,92.775,1,200
05/28/2018,14:00,92.365,92.775,92.365,92.775,1,199
05/29/2018,14:00,93.240,93.575,93.240,93.444,6,201
05/30/2018,14:00,93.300,93.300,92.760,92.785,13,212
05/31/2018,14:00,92.545,92.795,92.545,92.619,17,228
06/01/2018,14:00,92.825,92.825,92.610,92.809,8,228
06/04/2018,14:00,92.450,92.675,92.450,92.606,4,232
06/05/2018,14:00,92.600,92.600,92.400,92.481,9,236
06/06/2018,14:00,92.165,92.264,92.100,92.264,7,235
06/07/2018,14:00,92.015,92.015,91.900,92.006,11,246
06/08/2018,14:00,92.300,92.405,92.182,92.182,7,252
06/11/2018,14:00,92.035,92.330,92.035,92.235,12,260
06/12/2018,14:00,92.560,92.560,92.185,92.476,20,279
06/13/2018,14:00,92.580,92.580,92.419,92.419,1,280
06/14/2018,14:00,92.200,93.516,92.200,93.516,24,283
06/15/2018,14:00,93.800,93.800,93.527,93.527,9,291
06/18/2018,14:00,93.690,93.690,93.405,93.537,5,288
06/19/2018,14:00,93.405,94.030,93.405,93.819,105,374
06/20/2018,14:00,93.715,93.860,93.715,93.816,5,379
06/21/2018,14:00,94.180,94.320,93.509,93.509,12,391
06/22/2018,14:00,93.325,93.325,93.115,93.280,16,380
06/25/2018,14:00,93.320,93.320,93.000,93.044,20,397
06/26/2018,14:00,93.415,93.441,93.280,93.441,2,399
06/27/2018,14:00,93.910,94.064,93.910,94.064,3,402
06/28/2018,14:00,94.191,94.191,94.191,94.191,0,402
06/29/2018,14:00,93.750,93.750,93.400,93.454,18,410
07/02/2018,14:00,93.874,93.874,93.874,93.874,0,410
07/03/2018,14:00,93.570,93.570,93.480,93.517,6,407
07/04/2018,14:00,93.300,93.570,93.300,93.517,6,412
07/05/2018,14:00,93.338,93.338,93.338,93.338,0,412
07/06/2018,14:00,93.260,93.260,92.770,92.884,86,438
07/09/2018,14:00,92.885,92.922,92.560,92.922,14,452
07/10/2018,14:00,93.025,93.330,92.994,92.994,12,452
07/11/2018,14:00,93.596,93.596,93.596,93.596,0,452
07/12/2018,14:00,93.530,93.679,93.530,93.679,2,450
07/13/2018,14:00,93.770,93.980,93.630,93.630,3,451
07/16/2018,14:00,93.402,93.402,93.402,93.402,0,451
07/17/2018,14:00,93.480,93.824,93.480,93.824,3,454
07/18/2018,14:00,93.835,94.200,93.835,93.941,2,453
07/19/2018,14:00,94.230,94.230,93.835,94.057,248,662
07/20/2018,14:00,94.000,94.000,93.265,93.361,326,665
07/23/2018,14:00,93.220,93.565,92.920,93.565,428,516
07/24/2018,14:00,93.345,93.513,93.345,93.513,1,516
07/25/2018,14:00,93.020,93.259,93.010,93.259,40,481
07/26/2018,14:00,93.030,93.674,93.030,93.674,11,485
07/27/2018,14:00,93.635,93.635,93.600,93.600,1,485
07/30/2018,14:00,93.600,93.600,93.251,93.251,3,486
07/31/2018,14:00,93.170,93.415,93.135,93.410,25,488
08/01/2018,14:00,93.563,93.563,93.563,93.563,0,488
08/02/2018,14:00,93.485,94.112,93.485,94.112,56,538
08/03/2018,14:00,94.100,94.170,94.085,94.091,104,634
08/06/2018,14:00,94.040,94.325,94.040,94.302,3,633
