"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.29300,1.29300,1.29190,1.29190,7,10
02/28/2018,14:00,1.28700,1.28825,1.28700,1.28825,7,17
03/01/2018,14:00,1.28760,1.29220,1.28760,1.29220,6,23
03/02/2018,14:00,1.30015,1.30015,1.30015,1.30015,0,23
03/05/2018,14:00,1.30010,1.30010,1.30010,1.30010,0,23
03/06/2018,14:00,1.30845,1.30845,1.30845,1.30845,0,23
03/07/2018,14:00,1.30875,1.30875,1.30875,1.30875,0,23
03/08/2018,14:00,1.29795,1.29795,1.29795,1.29795,0,23
03/09/2018,14:00,1.29905,1.29905,1.29905,1.29905,0,23
03/12/2018,14:00,1.30175,1.30175,1.30175,1.30175,0,23
03/13/2018,14:00,1.30810,1.30810,1.30810,1.30810,0,23
03/14/2018,14:00,1.30580,1.30580,1.30580,1.30580,0,23
03/15/2018,14:00,1.29795,1.29795,1.29795,1.29795,0,23
03/16/2018,14:00,1.29670,1.29670,1.29670,1.29670,0,23
03/19/2018,14:00,1.30400,1.30400,1.30400,1.30400,0,23
03/20/2018,14:00,1.29325,1.29325,1.29325,1.29325,0,23
03/21/2018,14:00,1.30130,1.30130,1.30130,1.30130,0,23
03/22/2018,14:00,1.29820,1.29820,1.29820,1.29820,0,23
03/23/2018,14:00,1.30450,1.30450,1.30450,1.30450,0,23
03/26/2018,14:00,1.31365,1.31365,1.31365,1.31365,0,23
03/27/2018,14:00,1.30680,1.30680,1.30680,1.30680,0,23
03/28/2018,14:00,1.29685,1.29685,1.29685,1.29685,0,23
03/29/2018,14:00,1.29465,1.29465,1.29465,1.29465,0,23
04/02/2018,14:00,1.29515,1.29515,1.29515,1.29515,0,23
04/03/2018,14:00,1.29250,1.29250,1.29250,1.29250,0,23
04/04/2018,14:00,1.29395,1.29395,1.29395,1.29395,0,23
04/05/2018,14:00,1.28935,1.28935,1.28935,1.28935,0,23
04/06/2018,14:00,1.29360,1.29360,1.29360,1.29360,0,23
04/09/2018,14:00,1.29715,1.29715,1.29715,1.29715,0,23
04/10/2018,14:00,1.30130,1.30130,1.30130,1.30130,0,23
04/11/2018,14:00,1.30160,1.30160,1.30160,1.30160,0,23
04/12/2018,14:00,1.29870,1.29870,1.29870,1.29870,0,23
04/13/2018,14:00,1.29700,1.29930,1.29700,1.29930,14,37
04/16/2018,14:00,1.30440,1.30440,1.30440,1.30440,0,37
04/17/2018,14:00,1.30260,1.30260,1.30260,1.30260,0,37
04/18/2018,14:00,1.30400,1.30400,1.30400,1.30400,0,37
04/19/2018,14:00,1.29955,1.29955,1.29955,1.29955,0,37
04/20/2018,14:00,1.29400,1.29400,1.29400,1.29400,0,37
04/23/2018,14:00,1.28600,1.28600,1.28600,1.28600,0,37
04/24/2018,14:00,1.28885,1.28885,1.28885,1.28885,0,37
04/25/2018,14:00,1.28275,1.28275,1.28275,1.28275,0,37
04/26/2018,14:00,1.27480,1.27480,1.27480,1.27480,0,37
04/27/2018,14:00,1.27400,1.27590,1.27400,1.27590,1,37
04/30/2018,14:00,1.27195,1.27195,1.27195,1.27195,0,37
05/01/2018,14:00,1.26275,1.26275,1.26275,1.26275,0,37
05/02/2018,14:00,1.26185,1.26185,1.26185,1.26185,0,37
05/03/2018,14:00,1.26175,1.26175,1.26175,1.26175,0,37
05/04/2018,14:00,1.25870,1.25870,1.25870,1.25870,0,37
05/07/2018,14:00,1.25460,1.25460,1.25460,1.25460,0,37
05/08/2018,14:00,1.24650,1.24720,1.24650,1.24720,1,36
05/09/2018,14:00,1.24735,1.24735,1.24735,1.24735,0,36
05/10/2018,14:00,1.25370,1.25370,1.25370,1.25370,0,36
05/11/2018,14:00,1.25480,1.25480,1.25480,1.25480,0,36
05/14/2018,14:00,1.25430,1.25430,1.25430,1.25430,0,36
05/15/2018,14:00,1.24525,1.24525,1.24525,1.24525,0,36
05/16/2018,14:00,1.24400,1.24400,1.24060,1.24060,1,35
05/17/2018,14:00,1.23990,1.23990,1.23990,1.23990,0,35
05/18/2018,14:00,1.23695,1.23695,1.23695,1.23695,0,35
05/21/2018,14:00,1.23715,1.23715,1.23715,1.23715,0,35
05/22/2018,14:00,1.23770,1.23770,1.23770,1.23770,0,35
05/23/2018,14:00,1.22935,1.22935,1.22935,1.22935,0,35
05/24/2018,14:00,1.23140,1.23140,1.23140,1.23140,0,35
05/25/2018,14:00,1.22435,1.22435,1.22435,1.22435,0,35
05/29/2018,14:00,1.20925,1.20925,1.20925,1.20925,0,35
05/30/2018,14:00,1.22190,1.22190,1.22190,1.22190,0,35
05/31/2018,14:00,1.22575,1.22575,1.22575,1.22575,0,35
06/01/2018,14:00,1.22390,1.22390,1.22390,1.22390,0,35
06/04/2018,14:00,1.22805,1.22805,1.22805,1.22805,0,35
06/05/2018,14:00,1.22910,1.22910,1.22910,1.22910,0,35
06/06/2018,14:00,1.23660,1.23660,1.23505,1.23505,4,35
06/07/2018,14:00,1.24260,1.24260,1.23815,1.23815,5,35
06/08/2018,14:00,1.23445,1.23445,1.23445,1.23445,0,35
06/11/2018,14:00,1.23675,1.23675,1.23675,1.23675,0,35
06/12/2018,14:00,1.23250,1.23250,1.23250,1.23250,0,35
06/13/2018,14:00,1.23480,1.23480,1.23480,1.23480,0,35
06/14/2018,14:00,1.21575,1.21575,1.21575,1.21575,0,35
06/15/2018,14:00,1.21710,1.21710,1.21710,1.21710,0,35
06/18/2018,14:00,1.21815,1.21815,1.21815,1.21815,0,35
06/19/2018,14:00,1.21345,1.21345,1.21345,1.21345,0,35
