"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,97.4700,97.4750,97.4400,97.4700,454515,1881873
03/01/2018,14:00,97.4700,97.5600,97.4600,97.5550,436043,1862301
03/02/2018,14:00,97.5350,97.5750,97.5150,97.5300,436043,1860137
03/05/2018,14:00,97.5200,97.5550,97.5050,97.5150,282206,1856236
03/06/2018,14:00,97.5100,97.5250,97.4900,97.5050,364709,1852127
03/07/2018,14:00,97.5050,97.5400,97.4900,97.4950,343180,1868531
03/08/2018,14:00,97.4900,97.5050,97.4800,97.4950,294717,1890225
03/09/2018,14:00,97.4950,97.5000,97.4650,97.4800,442017,1908713
03/12/2018,14:00,97.4800,97.4800,97.4550,97.4650,244930,1937437
03/13/2018,14:00,97.4700,97.4750,97.4500,97.4600,356092,1981900
03/14/2018,14:00,97.4650,97.4900,97.4450,97.4750,460296,2028179
03/15/2018,14:00,97.4700,97.4900,97.4650,97.4800,361872,2097417
03/16/2018,14:00,97.4750,97.4850,97.4450,97.4550,361872,2097391
03/19/2018,14:00,97.4550,97.4800,97.4400,97.4700,627688,2082427
03/20/2018,14:00,97.4650,97.4650,97.4250,97.4300,321136,2046311
03/21/2018,14:00,97.4250,97.4700,97.4000,97.4400,780877,2115543
03/22/2018,14:00,97.4550,97.5100,97.4350,97.4750,637711,2045225
03/23/2018,14:00,97.4900,97.5150,97.4700,97.4900,430543,2030814
03/26/2018,14:00,97.5050,97.5100,97.4600,97.4800,251615,2045185
03/27/2018,14:00,97.4750,97.5550,97.4700,97.5400,589746,2068572
03/28/2018,14:00,97.5500,97.5750,97.5100,97.5200,608881,2070546
03/29/2018,14:00,97.5150,97.5200,97.4900,97.5050,277602,2052187
04/02/2018,14:00,97.5050,97.5400,97.4900,97.5300,186794,2054643
04/03/2018,14:00,97.5250,97.5300,97.4900,97.4950,344753,2099502
04/04/2018,14:00,97.5000,97.5150,97.4800,97.4900,365493,2078391
04/05/2018,14:00,97.4850,97.4850,97.4650,97.4700,401466,2061511
04/06/2018,14:00,97.4700,97.5150,97.4650,97.5050,401466,2061011
04/09/2018,14:00,97.5100,97.5100,97.4800,97.5050,210665,2053780
04/10/2018,14:00,97.5050,97.5100,97.4800,97.4800,228683,2053029
04/11/2018,14:00,97.4850,97.5050,97.4600,97.4700,369831,2047268
04/12/2018,14:00,97.4700,97.4750,97.4250,97.4300,320227,2077712
04/13/2018,14:00,97.4300,97.4450,97.4050,97.4100,277658,2074497
04/16/2018,14:00,97.4100,97.4100,97.3900,97.4100,295809,2098153
04/17/2018,14:00,97.4050,97.4200,97.3950,97.4100,242978,2093808
04/18/2018,14:00,97.4050,97.4050,97.3650,97.3750,305066,2110217
04/19/2018,14:00,97.3750,97.3850,97.3650,97.3750,321718,2078043
04/20/2018,14:00,97.3800,97.3850,97.3600,97.3600,321718,2076845
04/23/2018,14:00,97.3600,97.3650,97.3400,97.3550,280923,2101297
04/24/2018,14:00,97.3500,97.3650,97.3400,97.3600,369776,2069865
04/25/2018,14:00,97.3550,97.3600,97.3350,97.3400,293692,2084977
04/26/2018,14:00,97.3400,97.3750,97.3400,97.3600,317835,2060631
04/27/2018,14:00,97.3600,97.3800,97.3550,97.3700,286061,2047204
04/30/2018,14:00,97.3650,97.3700,97.3500,97.3550,188635,2051877
05/01/2018,14:00,97.3550,97.3650,97.3450,97.3450,196964,2050067
05/02/2018,14:00,97.3500,97.3500,97.3300,97.3450,283858,2056211
05/03/2018,14:00,97.3500,97.3650,97.3450,97.3600,302118,2080357
05/04/2018,14:00,97.3600,97.3750,97.3350,97.3450,302118,2080418
05/07/2018,14:00,97.3400,97.3500,97.3300,97.3400,80193,2059338
05/08/2018,14:00,97.3350,97.3450,97.3250,97.3400,237719,2043482
05/09/2018,14:00,97.3400,97.3400,97.3250,97.3300,223230,2021361
05/10/2018,14:00,97.3300,97.3600,97.3250,97.3300,287563,2013681
05/11/2018,14:00,97.3350,97.3700,97.3350,97.3600,345658,2059730
05/14/2018,14:00,97.3600,97.3900,97.3550,97.3700,288117,2052924
