"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,2760.00,2779.00,2732.50,2732.50,73,24939
03/01/2018,14:00,2725.00,2733.50,2680.75,2694.75,16,24917
03/02/2018,14:00,2699.00,2707.25,2666.00,2707.25,16,24917
03/05/2018,14:00,2720.25,2743.00,2720.00,2734.50,29,24921
03/06/2018,14:00,2736.00,2740.50,2736.00,2740.50,31,24916
03/07/2018,14:00,2708.25,2740.00,2700.00,2740.00,8,24917
03/08/2018,14:00,2750.00,2755.50,2750.00,2755.50,1,24918
03/09/2018,14:00,2779.75,2801.25,2779.75,2801.25,49,24922
03/12/2018,14:00,2805.00,2813.00,2800.50,2802.00,53,24925
03/13/2018,14:00,2815.00,2815.00,2777.00,2785.50,44,24951
03/14/2018,14:00,2784.50,2792.50,2764.50,2766.50,107,25000
03/15/2018,14:00,2760.25,2771.00,2760.25,2767.25,14,25003
03/16/2018,14:00,2772.50,2772.50,2768.50,2768.50,14,25003
03/19/2018,14:00,2765.75,2765.75,2711.50,2734.75,50,25013
03/20/2018,14:00,2738.00,2738.00,2729.00,2736.50,69,25037
03/21/2018,14:00,2737.00,2746.00,2728.00,2730.50,408,25052
03/22/2018,14:00,2731.00,2732.00,2654.25,2654.25,5382,26546
03/23/2018,14:00,2650.00,2665.00,2599.25,2607.50,488,26603
03/26/2018,14:00,2604.00,2670.00,2604.00,2670.00,733,27120
03/27/2018,14:00,2682.00,2684.75,2606.75,2625.00,6234,30404
03/28/2018,14:00,2630.00,2635.75,2608.50,2616.75,381,30460
03/29/2018,14:00,2614.75,2668.00,2614.75,2652.75,240,30501
04/02/2018,14:00,2642.00,2647.50,2562.50,2583.50,1242,31575
04/03/2018,14:00,2592.50,2625.25,2586.75,2621.75,2096,32556
04/04/2018,14:00,2611.75,2658.25,2569.25,2655.50,2637,34842
04/05/2018,14:00,2657.25,2680.00,2654.00,2670.25,1064,36167
04/06/2018,14:00,2665.75,2665.75,2594.50,2613.75,1064,36167
04/09/2018,14:00,2620.25,2657.50,2620.25,2627.00,312,36200
04/10/2018,14:00,2635.00,2670.75,2635.00,2663.25,2133,38224
04/11/2018,14:00,2654.50,2665.25,2638.00,2649.25,1223,39099
04/12/2018,14:00,2653.50,2682.00,2653.50,2672.50,874,39873
04/13/2018,14:00,2668.75,2681.00,2661.00,2665.75,170,39852
04/16/2018,14:00,2680.00,2690.25,2680.00,2690.25,509,39904
04/17/2018,14:00,2700.00,2718.25,2700.00,2715.25,996,39990
04/18/2018,14:00,2720.00,2727.25,2717.00,2718.75,253,40044
04/19/2018,14:00,2720.25,2720.25,2699.50,2702.00,473,40506
04/20/2018,14:00,2698.00,2700.75,2672.00,2680.25,473,40505
04/23/2018,14:00,2687.25,2690.00,2679.00,2680.25,38,40523
04/24/2018,14:00,2690.00,2696.75,2630.00,2643.00,992,40596
04/25/2018,14:00,2647.25,2652.75,2620.00,2652.75,113,40589
04/26/2018,14:00,2655.75,2683.00,2654.25,2683.00,85,40606
04/27/2018,14:00,2679.00,2681.00,2675.75,2680.00,20,40610
04/30/2018,14:00,2686.00,2690.50,2655.75,2655.75,8,40611
05/01/2018,14:00,2658.00,2662.00,2634.75,2660.00,87,40982
05/02/2018,14:00,2660.25,2660.25,2635.00,2635.25,269,40986
05/03/2018,14:00,2635.25,2640.75,2602.75,2639.75,1781,41520
05/04/2018,14:00,2635.75,2675.25,2622.25,2671.50,1781,41520
05/07/2018,14:00,2679.25,2689.75,2671.75,2678.50,906,42011
05/08/2018,14:00,2679.00,2679.00,2664.00,2678.50,403,42195
05/09/2018,14:00,2686.50,2707.50,2682.00,2704.50,154,42309
05/10/2018,14:00,2707.75,2732.00,2707.50,2727.25,156,42370
05/11/2018,14:00,2729.75,2740.00,2729.75,2737.75,106,42442
05/14/2018,14:00,2742.25,2748.75,2734.00,2739.25,3019,42533
05/15/2018,14:00,2739.00,2739.00,2711.50,2717.25,657,42604
05/16/2018,14:00,2713.50,2733.00,2713.25,2731.25,2211,42660
05/17/2018,14:00,2731.25,2740.00,2720.00,2727.50,424,42812
05/18/2018,14:00,2728.00,2733.50,2721.00,2721.50,747,42879
05/21/2018,14:00,2738.75,2747.00,2735.00,2741.75,346,42853
05/22/2018,14:00,2741.75,2750.50,2734.50,2735.00,766,43166
05/23/2018,14:00,2735.00,2739.50,2715.00,2739.50,554,43207
05/24/2018,14:00,2738.00,2738.00,2715.00,2735.75,83,43196
05/25/2018,14:00,2736.00,2743.50,2724.25,2726.50,83,43196
05/29/2018,14:00,2728.50,2728.50,2683.75,2700.00,791,43084
05/30/2018,14:00,2698.50,2734.00,2694.00,2732.25,1472,43464
05/31/2018,14:00,2728.50,2735.25,2708.25,2713.00,3979,43489
06/01/2018,14:00,2713.75,2744.25,2713.75,2741.25,1165,43745
06/04/2018,14:00,2737.00,2756.50,2737.00,2753.25,3042,43151
06/05/2018,14:00,2752.00,2760.00,2747.75,2759.00,171,43168
06/06/2018,14:00,2758.50,2781.00,2755.75,2779.50,109,43193
06/07/2018,14:00,2780.00,2787.75,2768.50,2779.50,166,43171
06/08/2018,14:00,2771.75,2786.00,2760.00,2786.00,725,42911
06/11/2018,14:00,2779.75,2797.75,2778.50,2790.50,2234,43912
06/12/2018,14:00,2788.50,2797.25,2787.25,2792.25,1453,43982
06/13/2018,14:00,2795.75,2800.00,2783.50,2783.50,780,44160
06/14/2018,14:00,2785.25,2798.00,2776.25,2792.75,1620,44286
06/15/2018,14:00,2791.25,2792.50,2770.00,2789.00,1550,44408
06/18/2018,14:00,2783.75,2790.00,2765.50,2784.00,1335,44548
06/19/2018,14:00,2783.00,2784.25,2742.00,2770.00,4665,44981
06/20/2018,14:00,2767.00,2782.00,2761.50,2776.00,1093,45030
06/21/2018,14:00,2774.25,2788.75,2751.00,2756.25,3421,46510
06/22/2018,14:00,2753.00,2772.00,2753.00,2763.25,925,46574
06/25/2018,14:00,2761.00,2761.00,2703.75,2725.50,3755,46703
06/26/2018,14:00,2726.50,2738.50,2718.25,2732.00,3872,47548
06/27/2018,14:00,2730.25,2751.25,2704.50,2708.00,4147,48920
06/28/2018,14:00,2707.50,2729.25,2696.75,2722.50,8138,51198
06/29/2018,14:00,2725.00,2748.00,2721.00,2725.00,1897,50867
07/02/2018,14:00,2726.75,2731.25,2702.25,2730.50,3219,50709
07/03/2018,14:00,2728.75,2744.50,2715.75,2716.75,1134,50656
07/05/2018,14:00,2722.75,2743.00,2716.50,2742.25,1345,50857
07/06/2018,14:00,2740.00,2770.00,2734.75,2766.50,1897,50914
07/09/2018,14:00,2765.50,2791.75,2765.50,2791.25,2128,50594
07/10/2018,14:00,2791.00,2801.50,2785.25,2800.50,2641,51213
07/11/2018,14:00,2785.50,2791.00,2769.75,2777.75,4523,51045
07/12/2018,14:00,2780.50,2804.75,2778.50,2802.25,1879,51030
07/13/2018,14:00,2802.00,2810.50,2796.75,2807.00,1400,51465
07/16/2018,14:00,2809.00,2813.00,2799.00,2800.50,6796,52663
07/17/2018,14:00,2797.75,2819.75,2793.50,2815.25,1882,52687
07/18/2018,14:00,2818.00,2822.00,2811.25,2820.00,1475,52763
07/19/2018,14:00,2819.00,2821.00,2804.50,2809.25,1594,53108
07/20/2018,14:00,2809.25,2814.00,2797.00,2804.50,926,53243
07/23/2018,14:00,2808.25,2816.00,2796.75,2816.00,905,53232
07/24/2018,14:00,2815.25,2835.00,2815.25,2825.00,1693,53465
07/25/2018,14:00,2821.50,2853.50,2818.25,2845.50,4924,54240
07/26/2018,14:00,2843.00,2850.25,2837.50,2846.50,2077,56842
07/27/2018,14:00,2844.75,2851.25,2813.00,2821.50,2077,56842
07/30/2018,14:00,2820.25,2825.25,2802.50,2807.25,1736,57110
07/31/2018,14:00,2808.50,2831.75,2807.75,2821.25,1686,57116
08/01/2018,14:00,2827.75,2829.50,2810.00,2815.00,2439,57015
08/02/2018,14:00,2817.50,2835.00,2795.50,2832.50,1427,58285
08/03/2018,14:00,2833.50,2845.25,2829.00,2843.75,1427,58285
08/06/2018,14:00,2846.25,2857.25,2839.00,2854.25,1477,58477
08/07/2018,14:00,2853.00,2868.00,2853.00,2864.00,2906,58373
08/08/2018,14:00,2863.75,2866.50,2856.75,2859.50,1485,59026
08/09/2018,14:00,2858.50,2866.50,2855.75,2858.00,1409,59670
