"Date","Time","Open","High","Low","Close","Vol","OI"
01/31/2019,11:05,148.325,148.325,148.325,148.325,0,0
02/01/2019,11:05,146.975,146.975,146.975,146.975,0,0
02/04/2019,11:05,148.150,148.150,148.150,148.150,0,0
02/05/2019,11:05,147.675,147.675,147.675,147.675,0,0
02/06/2019,11:05,147.100,147.100,147.100,147.100,0,0
02/07/2019,11:05,147.100,147.100,147.100,147.100,0,0
02/08/2019,11:05,147.600,147.600,147.600,147.600,0,0
02/11/2019,11:05,147.575,147.700,147.050,147.100,4,4
02/12/2019,11:05,147.900,148.000,147.400,147.400,8,11
02/13/2019,11:05,146.900,146.900,146.600,146.625,7,18
02/14/2019,11:05,146.150,146.675,145.650,146.675,8,24
02/15/2019,11:05,146.025,146.025,146.025,146.025,0,24
02/19/2019,11:05,146.475,146.475,146.475,146.475,0,24
02/20/2019,11:05,146.325,146.325,146.325,146.325,1,25
02/21/2019,11:05,146.400,146.400,146.400,146.400,1,26
02/22/2019,11:05,146.750,146.750,146.750,146.750,0,26
02/25/2019,11:05,147.000,147.000,147.000,147.000,1,27
02/26/2019,11:05,147.325,147.325,147.325,147.325,0,27
02/27/2019,11:05,147.550,147.550,147.550,147.550,0,27
02/28/2019,11:05,147.500,147.725,147.350,147.475,55,62
03/01/2019,11:05,147.700,149.500,147.400,148.775,55,62
03/04/2019,11:05,149.275,149.975,148.450,149.600,79,98
03/05/2019,11:05,148.900,149.750,148.900,149.350,55,138
03/06/2019,11:05,147.750,148.850,147.750,148.525,62,178
03/07/2019,11:05,149.000,149.000,148.575,148.975,9,179
03/08/2019,11:05,149.550,149.700,149.000,149.700,11,184
03/11/2019,11:05,149.225,149.225,149.125,149.200,8,186
03/12/2019,11:05,149.150,149.150,148.050,148.050,9,188
03/13/2019,11:05,147.650,148.300,147.650,148.150,3,191
03/14/2019,11:05,148.350,148.900,148.350,148.900,3,191
03/15/2019,11:05,149.625,149.625,149.625,149.625,0,191
03/18/2019,11:05,149.625,150.000,149.625,149.750,14,200
03/19/2019,11:05,149.650,151.200,149.650,150.925,29,207
03/20/2019,11:05,150.700,152.975,150.450,152.650,96,244
03/21/2019,11:05,152.650,154.000,152.650,153.825,36,246
03/22/2019,11:05,154.375,155.550,154.300,155.225,52,260
03/25/2019,11:05,153.300,154.775,153.300,154.300,17,268
03/26/2019,11:05,154.150,154.300,153.750,153.750,13,277
03/27/2019,11:05,153.350,154.050,153.350,153.600,22,281
03/28/2019,11:05,153.550,153.900,152.950,153.900,42,308
03/29/2019,11:05,153.975,155.000,153.550,154.750,42,308
04/01/2019,11:05,154.850,156.000,154.325,155.950,72,341
04/02/2019,11:05,155.350,155.950,153.400,154.525,82,376
04/03/2019,11:05,153.525,154.275,152.800,154.200,72,410
04/04/2019,11:05,154.400,155.800,154.025,155.150,156,458
04/05/2019,11:05,155.125,155.975,154.200,155.475,202,547
04/08/2019,11:05,155.325,157.225,154.925,156.425,220,659
04/09/2019,11:05,156.475,157.100,155.700,157.000,233,756
04/10/2019,11:05,156.975,157.050,155.675,156.700,283,918
04/11/2019,11:05,156.900,157.675,156.150,157.525,86,1122
04/12/2019,11:05,157.075,157.300,156.600,157.300,86,1122
04/15/2019,11:05,157.500,157.750,157.100,157.725,74,1142
04/16/2019,11:05,158.000,158.600,157.850,158.600,76,1174
04/17/2019,11:05,158.375,159.250,157.825,159.075,185,1271
