"Date","Time","Open","High","Low","Close","Vol","OI"
11/15/2018,11:05,147.350,147.350,147.350,147.350,0,0
11/16/2018,11:05,147.200,147.200,147.200,147.200,0,0
11/19/2018,11:05,147.450,147.450,147.450,147.450,0,0
11/20/2018,11:05,147.300,147.300,147.300,147.300,0,0
11/21/2018,11:05,148.700,148.700,148.700,148.700,1,1
11/23/2018,11:05,148.700,148.700,148.700,148.700,1,1
11/26/2018,11:05,148.925,148.925,148.925,148.925,2,3
11/27/2018,11:05,148.625,148.625,148.625,148.625,0,3
11/28/2018,11:05,148.125,148.125,148.125,148.125,0,3
11/29/2018,11:05,147.000,147.000,147.000,147.000,31,15
11/30/2018,11:05,146.925,146.925,146.925,146.925,0,15
12/03/2018,11:05,145.200,145.200,145.200,145.200,0,15
12/04/2018,11:05,145.550,145.550,145.550,145.550,0,15
12/06/2018,11:05,146.250,146.250,146.250,146.250,4,15
12/07/2018,11:05,145.975,145.975,145.975,145.975,0,15
12/10/2018,11:05,146.625,146.625,146.625,146.625,0,15
12/11/2018,11:05,147.775,147.775,147.775,147.775,0,15
12/12/2018,11:05,148.125,148.125,148.125,148.125,0,15
12/13/2018,11:05,148.675,148.675,148.675,148.675,8,19
12/14/2018,11:05,148.450,148.450,148.450,148.450,4,21
12/17/2018,11:05,147.250,147.250,147.250,147.250,0,21
12/18/2018,11:05,148.650,148.700,148.650,148.700,8,26
12/19/2018,11:05,148.250,148.250,148.250,148.250,8,27
12/20/2018,11:05,148.550,148.550,148.550,148.550,1,27
12/21/2018,11:05,148.375,148.375,148.375,148.375,0,27
12/24/2018,11:05,148.625,148.625,148.625,148.625,4,28
12/26/2018,11:05,149.125,149.125,149.125,149.125,0,28
12/27/2018,11:05,149.250,149.250,149.000,149.250,2,39
12/28/2018,11:05,149.250,149.250,149.250,149.250,2,39
12/31/2018,11:05,149.975,149.975,149.975,149.975,0,39
01/02/2019,11:05,149.900,149.900,149.900,149.900,0,39
01/03/2019,11:05,148.825,148.825,148.825,148.825,6,41
01/04/2019,11:05,147.900,147.900,147.700,147.700,36,54
01/07/2019,11:05,148.625,148.625,148.625,148.625,4,55
01/08/2019,11:05,149.600,150.325,149.600,149.975,45,80
01/09/2019,11:05,149.550,150.575,149.550,150.075,72,109
01/10/2019,11:05,149.425,150.250,149.275,150.075,44,128
01/11/2019,11:05,149.825,149.925,149.650,149.650,22,142
01/14/2019,11:05,148.950,149.500,148.950,149.250,47,166
01/15/2019,11:05,148.750,149.975,148.500,149.850,27,181
01/16/2019,11:05,149.500,149.850,149.500,149.850,27,179
01/17/2019,11:05,149.250,149.250,148.800,148.800,16,176
01/18/2019,11:05,149.250,149.250,149.250,149.250,3,174
01/22/2019,11:05,147.800,147.825,147.800,147.825,13,181
01/23/2019,11:05,149.225,149.225,149.225,149.225,20,182
01/24/2019,11:05,149.600,149.600,149.600,149.600,7,181
01/25/2019,11:05,149.225,149.225,149.225,149.225,0,181
01/28/2019,11:05,150.000,150.000,149.850,149.850,12,181
01/29/2019,11:05,150.000,150.000,149.900,150.000,15,187
01/30/2019,11:05,149.975,149.975,149.975,149.975,0,187
01/31/2019,11:05,150.000,150.000,148.675,148.850,32,180
02/01/2019,11:05,149.000,149.000,149.000,149.000,1,180
02/04/2019,11:05,149.425,150.575,149.425,150.175,18,190
02/05/2019,11:05,150.000,150.175,150.000,150.000,14,193
02/06/2019,11:05,149.600,149.825,149.600,149.825,3,192
02/07/2019,11:05,150.000,150.100,150.000,150.000,6,193
02/08/2019,11:05,150.500,150.650,150.425,150.500,6,198
02/11/2019,11:05,150.575,151.000,150.575,151.000,29,194
02/12/2019,11:05,151.100,151.700,151.075,151.200,12,197
02/13/2019,11:05,150.600,150.600,150.400,150.400,78,190
02/14/2019,11:05,149.850,150.875,149.750,150.700,19,189
02/15/2019,11:05,149.825,150.050,149.825,150.050,19,189
02/19/2019,11:05,150.600,150.850,150.500,150.500,37,194
02/20/2019,11:05,150.200,150.750,150.150,150.300,18,200
02/21/2019,11:05,150.700,150.925,150.000,150.600,16,201
02/22/2019,11:05,150.975,150.975,150.675,150.950,20,204
02/25/2019,11:05,151.225,151.225,151.150,151.200,20,211
02/26/2019,11:05,151.575,151.650,151.500,151.525,18,222
