"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.95885,0.95885,0.95885,0.95885,0,7
02/28/2018,14:00,0.96550,0.96550,0.96550,0.96550,0,7
03/01/2018,14:00,0.96865,0.96865,0.96865,0.96865,0,7
03/02/2018,14:00,0.97490,0.97490,0.97490,0.97490,0,7
03/05/2018,14:00,0.96900,0.96900,0.96900,0.96900,0,7
03/06/2018,14:00,0.96885,0.96885,0.96885,0.96885,0,7
03/07/2018,14:00,0.97025,0.97025,0.97025,0.97025,0,7
03/08/2018,14:00,0.96840,0.96840,0.96840,0.96840,0,7
03/09/2018,14:00,0.96525,0.96525,0.96325,0.96370,12,8
03/12/2018,14:00,0.96735,0.96735,0.96735,0.96735,0,8
03/13/2018,14:00,0.96520,0.96520,0.96520,0.96520,0,8
03/14/2018,14:00,0.96830,0.96830,0.96830,0.96830,0,8
03/15/2018,14:00,0.97150,0.97150,0.96815,0.96815,5,13
03/16/2018,14:00,0.96960,0.96960,0.96960,0.96960,0,13
03/19/2018,14:00,0.97055,0.97055,0.97055,0.97055,0,13
03/20/2018,14:00,0.96585,0.96585,0.96585,0.96585,1,14
03/21/2018,14:00,0.96865,0.96865,0.96865,0.96865,0,14
03/22/2018,14:00,0.97340,0.97340,0.97200,0.97300,4,18
03/23/2018,14:00,0.98045,0.98045,0.98045,0.98045,0,18
03/26/2018,14:00,0.97825,0.97825,0.97645,0.97645,4,17
03/27/2018,14:00,0.97325,0.97325,0.97325,0.97325,0,17
03/28/2018,14:00,0.96080,0.96080,0.96080,0.96080,0,17
03/29/2018,14:00,0.96465,0.96465,0.96465,0.96465,0,17
04/02/2018,14:00,0.96950,0.96950,0.96950,0.96950,0,17
04/03/2018,14:00,0.96315,0.96315,0.96315,0.96315,0,17
04/04/2018,14:00,0.96195,0.96195,0.96195,0.96195,0,17
04/05/2018,14:00,0.95800,0.95800,0.95555,0.95555,1,18
04/06/2018,14:00,0.96055,0.96055,0.96055,0.96055,0,18
04/09/2018,14:00,0.96105,0.96105,0.96105,0.96105,0,18
04/10/2018,14:00,0.95765,0.95765,0.95765,0.95765,0,18
04/11/2018,14:00,0.95965,0.95965,0.95965,0.95965,0,18
04/12/2018,14:00,0.95725,0.95725,0.95725,0.95725,3,19
04/13/2018,14:00,0.95565,0.95565,0.95565,0.95565,0,19
04/16/2018,14:00,0.95865,0.95865,0.95865,0.95865,0,19
04/17/2018,14:00,0.95905,0.95905,0.95905,0.95905,0,19
04/18/2018,14:00,0.95660,0.95660,0.95660,0.95660,0,19
04/19/2018,14:00,0.95520,0.95520,0.95520,0.95520,0,19
04/20/2018,14:00,0.95360,0.95360,0.95360,0.95360,0,19
04/23/2018,14:00,0.94450,0.94450,0.94450,0.94450,0,19
04/24/2018,14:00,0.94325,0.94395,0.94325,0.94395,1,20
04/25/2018,14:00,0.93815,0.93815,0.93815,0.93815,1,21
04/26/2018,14:00,0.93765,0.93765,0.93765,0.93765,0,21
04/27/2018,14:00,0.93665,0.94030,0.93660,0.94030,4,25
04/30/2018,14:00,0.93810,0.93810,0.93810,0.93810,0,25
05/01/2018,14:00,0.93365,0.93365,0.93365,0.93365,0,25
05/02/2018,14:00,0.93380,0.93380,0.93380,0.93380,0,25
05/03/2018,14:00,0.93820,0.93820,0.93820,0.93820,0,25
05/04/2018,14:00,0.93900,0.93900,0.93900,0.93900,0,25
05/07/2018,14:00,0.93970,0.93970,0.93970,0.93970,0,25
05/08/2018,14:00,0.93965,0.93965,0.93965,0.93965,0,25
05/09/2018,14:00,0.93375,0.93375,0.93375,0.93375,1,26
05/10/2018,14:00,0.93640,0.93640,0.93640,0.93640,2,26
05/11/2018,14:00,0.93695,0.93695,0.93695,0.93695,2,26
05/14/2018,14:00,0.93355,0.93355,0.93355,0.93355,0,26
05/15/2018,14:00,0.92775,0.92775,0.92775,0.92775,0,26
05/16/2018,14:00,0.92865,0.92865,0.92865,0.92865,0,26
05/17/2018,14:00,0.92420,0.92420,0.92420,0.92420,0,26
05/18/2018,14:00,0.92490,0.92490,0.92490,0.92490,0,26
05/21/2018,14:00,0.92130,0.92130,0.92130,0.92130,0,26
05/22/2018,14:00,0.92220,0.92220,0.92220,0.92220,2,27
05/23/2018,14:00,0.93000,0.93000,0.93000,0.93000,8,30
05/24/2018,14:00,0.93735,0.93735,0.93615,0.93615,4,32
05/25/2018,14:00,0.93715,0.93715,0.93505,0.93505,4,32
05/29/2018,14:00,0.94475,0.94475,0.94475,0.94475,0,32
05/30/2018,14:00,0.93915,0.93915,0.93915,0.93915,2,33
05/31/2018,14:00,0.94120,0.94120,0.94120,0.94120,10,38
06/01/2018,14:00,0.93365,0.93365,0.93365,0.93365,2,39
06/04/2018,14:00,0.93170,0.93170,0.93170,0.93170,0,39
06/05/2018,14:00,0.93140,0.93140,0.93140,0.93140,0,39
06/06/2018,14:00,0.92775,0.92775,0.92775,0.92775,0,39
06/07/2018,14:00,0.93150,0.93150,0.93150,0.93150,0,39
06/08/2018,14:00,0.93355,0.93355,0.93355,0.93355,0,39
06/11/2018,14:00,0.92900,0.92900,0.92900,0.92900,2,40
06/12/2018,14:00,0.92620,0.92620,0.92620,0.92620,0,40
06/13/2018,14:00,0.92390,0.92520,0.92390,0.92440,2,42
06/14/2018,14:00,0.92625,0.92625,0.92385,0.92385,8,42
06/15/2018,14:00,0.92345,0.92345,0.92345,0.92345,0,42
06/18/2018,14:00,0.92435,0.92435,0.92435,0.92435,32,41
06/19/2018,14:00,0.92790,0.92790,0.92790,0.92790,0,41
06/20/2018,14:00,0.92530,0.92530,0.92490,0.92490,2,41
06/21/2018,14:00,0.92920,0.92920,0.92920,0.92920,0,41
06/22/2018,14:00,0.92905,0.92905,0.92905,0.92905,0,41
06/25/2018,14:00,0.93000,0.93275,0.93000,0.93275,3,42
06/26/2018,14:00,0.92670,0.92670,0.92670,0.92670,0,42
06/27/2018,14:00,0.92580,0.92580,0.92580,0.92580,0,42
06/28/2018,14:00,0.92220,0.92220,0.92220,0.92220,0,42
06/29/2018,14:00,0.92015,0.92015,0.92015,0.92015,1,41
07/02/2018,14:00,0.91990,0.91990,0.91990,0.91990,8,41
07/03/2018,14:00,0.92250,0.92250,0.92250,0.92250,0,41
07/05/2018,14:00,0.92130,0.92130,0.92130,0.92130,0,41
07/06/2018,14:00,0.92315,0.92315,0.92315,0.92315,0,41
07/09/2018,14:00,0.91990,0.92005,0.91990,0.92005,1,42
07/10/2018,14:00,0.91600,0.91600,0.91585,0.91585,1,42
07/11/2018,14:00,0.90945,0.90945,0.90945,0.90945,0,42
07/12/2018,14:00,0.90595,0.90595,0.90595,0.90595,0,42
07/13/2018,14:00,0.90580,0.90705,0.90580,0.90705,1,42
07/16/2018,14:00,0.90745,0.90745,0.90745,0.90745,0,42
07/17/2018,14:00,0.90290,0.90290,0.90290,0.90290,0,42
07/18/2018,14:00,0.90270,0.90270,0.90270,0.90270,0,42
07/19/2018,14:00,0.90565,0.90565,0.90565,0.90565,0,42
07/20/2018,14:00,0.91305,0.91305,0.91305,0.91305,0,42
07/23/2018,14:00,0.91340,0.91340,0.91340,0.91340,0,42
07/24/2018,14:00,0.91560,0.91560,0.91560,0.91560,0,42
07/25/2018,14:00,0.91605,0.91860,0.91605,0.91860,14,51
07/26/2018,14:00,0.91525,0.91525,0.91525,0.91525,7,68
07/27/2018,14:00,0.91525,0.91720,0.91525,0.91720,7,68
07/30/2018,14:00,0.91690,0.91690,0.91690,0.91690,0,68
07/31/2018,14:00,0.91010,0.91010,0.91010,0.91010,11,75
08/01/2018,14:00,0.91220,0.91220,0.91220,0.91220,3,72
08/02/2018,14:00,0.91100,0.91100,0.91100,0.91100,0,72
08/03/2018,14:00,0.91460,0.91460,0.91460,0.91460,0,72
08/06/2018,14:00,0.91335,0.91335,0.91335,0.91335,0,72
08/07/2018,14:00,0.91320,0.91320,0.91320,0.91320,0,72
08/08/2018,14:00,0.91685,0.91685,0.91685,0.91685,0,72
08/09/2018,14:00,0.91600,0.91600,0.91600,0.91600,0,72
08/10/2018,14:00,0.91760,0.91945,0.91760,0.91945,6,78
08/13/2018,14:00,0.92030,0.92030,0.91885,0.91885,1,78
08/14/2018,14:00,0.91425,0.91425,0.91425,0.91425,0,78
08/15/2018,14:00,0.91900,0.91945,0.91900,0.91945,12,87
08/16/2018,14:00,0.91680,0.91680,0.91680,0.91680,12,94
08/17/2018,14:00,0.91905,0.91905,0.91905,0.91905,0,94
08/20/2018,14:00,0.92195,0.92195,0.92195,0.92195,12,97
08/21/2018,14:00,0.92040,0.92040,0.92040,0.92040,0,97
08/22/2018,14:00,0.91900,0.91900,0.91900,0.91900,0,97
08/23/2018,14:00,0.91525,0.91525,0.91290,0.91290,1,97
08/24/2018,14:00,0.91350,0.91350,0.91350,0.91350,0,97
08/27/2018,14:00,0.91430,0.91430,0.91430,0.91430,0,97
08/28/2018,14:00,0.91390,0.91390,0.91325,0.91325,2,97
08/29/2018,14:00,0.90935,0.90935,0.90935,0.90935,1,98
08/30/2018,14:00,0.91450,0.91450,0.91450,0.91450,0,98
08/31/2018,14:00,0.91475,0.91475,0.91475,0.91475,24,122
09/04/2018,14:00,0.91085,0.91085,0.91085,0.91085,0,122
09/05/2018,14:00,0.91045,0.91045,0.91045,0.91045,1,123
09/06/2018,14:00,0.91575,0.91575,0.91575,0.91575,0,123
09/07/2018,14:00,0.91395,0.91395,0.91395,0.91395,0,123
09/10/2018,14:00,0.91260,0.91260,0.91260,0.91260,0,123
09/11/2018,14:00,0.90945,0.90945,0.90945,0.90945,0,123
09/12/2018,14:00,0.91235,0.91235,0.91235,0.91235,0,123
09/13/2018,14:00,0.91050,0.91050,0.90660,0.90680,152,271
09/14/2018,14:00,0.90570,0.90570,0.90570,0.90570,0,271
09/17/2018,14:00,0.90600,0.90685,0.90550,0.90685,13,280
09/18/2018,14:00,0.90760,0.90780,0.90275,0.90275,41,300
09/19/2018,14:00,0.90285,0.90425,0.90285,0.90360,8,301
09/20/2018,14:00,0.90175,0.90175,0.90175,0.90175,25,326
09/21/2018,14:00,0.90120,0.90120,0.89930,0.90110,13,338
09/24/2018,14:00,0.90180,0.90180,0.89885,0.89965,17,340
09/25/2018,14:00,0.89875,0.89900,0.89785,0.89795,35,353
09/26/2018,14:00,0.89780,0.89900,0.89755,0.89865,15,368
09/27/2018,14:00,0.89820,0.89900,0.89385,0.89390,177,529
09/28/2018,14:00,0.89385,0.89385,0.89255,0.89265,177,529
10/01/2018,14:00,0.88985,0.89000,0.88910,0.88930,53,552
10/02/2018,14:00,0.89005,0.89260,0.88950,0.89155,48,565
10/03/2018,14:00,0.89140,0.89140,0.88625,0.88625,66,601
10/04/2018,14:00,0.88555,0.89100,0.88555,0.88980,323,479
10/05/2018,14:00,0.88955,0.89195,0.88825,0.89065,232,564
10/08/2018,14:00,0.88930,0.89735,0.88930,0.89650,47,569
10/09/2018,14:00,0.89495,0.89630,0.89495,0.89625,15,576
10/10/2018,14:00,0.89670,0.90200,0.89495,0.89980,85,599
10/11/2018,14:00,0.90305,0.90555,0.90195,0.90480,125,580
10/12/2018,14:00,0.90325,0.90455,0.90080,0.90455,43,567
10/15/2018,14:00,0.90435,0.90690,0.90315,0.90545,136,651
10/16/2018,14:00,0.90405,0.90480,0.90155,0.90290,231,796
10/17/2018,14:00,0.90150,0.90355,0.90030,0.90030,170,809
10/18/2018,14:00,0.89940,0.90320,0.89940,0.90255,674,1014
10/19/2018,14:00,0.90180,0.90180,0.89900,0.89935,59,1040
10/22/2018,14:00,0.90015,0.90040,0.89715,0.89750,209,1150
10/23/2018,14:00,0.89960,0.90270,0.89960,0.90010,116,1212
10/24/2018,14:00,0.89950,0.90055,0.89835,0.90030,285,1164
10/25/2018,14:00,0.90340,0.90440,0.89830,0.89880,1123,1231
