"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:30,138.15,138.15,138.15,138.15,33,1217
03/01/2018,10:30,138.30,139.70,138.30,139.70,154,1228
03/02/2018,10:30,138.65,138.70,138.60,138.70,70,1237
03/05/2018,10:30,137.25,137.95,137.25,137.95,14,1244
03/06/2018,10:30,138.00,138.05,138.00,138.00,18,1242
03/07/2018,10:30,137.70,137.90,137.60,137.60,9,1251
03/08/2018,10:30,137.95,138.05,137.05,137.50,193,1342
03/09/2018,10:30,137.50,137.85,137.15,137.15,48,1342
03/12/2018,10:30,136.45,136.90,136.40,136.70,32,1360
03/13/2018,10:30,136.95,139.10,136.85,138.70,80,1337
03/14/2018,10:30,138.35,138.40,137.90,138.40,76,1363
03/15/2018,10:30,139.80,139.80,136.00,136.55,95,1358
03/16/2018,10:30,137.05,137.05,135.00,135.70,169,1358
03/19/2018,10:30,136.20,137.10,135.70,136.60,123,1397
03/20/2018,10:30,136.55,136.75,136.35,136.35,23,1400
03/21/2018,10:30,137.05,137.65,136.25,136.25,29,1408
03/22/2018,10:30,136.15,136.30,135.75,136.30,19,1421
03/23/2018,10:30,136.05,136.15,134.65,135.00,101,1422
03/26/2018,10:30,135.20,136.00,134.50,135.70,33,1424
03/27/2018,10:30,136.30,136.85,135.95,136.40,44,1424
03/28/2018,10:30,135.90,136.10,135.25,135.25,93,1419
03/29/2018,10:30,135.90,135.90,135.30,135.55,17,1426
04/02/2018,10:30,134.20,134.20,133.85,134.05,2,1428
04/03/2018,10:30,134.35,134.55,134.10,134.30,114,1430
04/04/2018,10:30,134.00,134.70,133.80,134.70,260,1448
04/05/2018,10:30,135.35,135.35,134.95,135.30,16,1452
04/06/2018,10:30,134.55,135.25,134.55,134.95,51,1458
04/09/2018,10:30,136.25,136.30,135.40,135.90,222,1527
04/10/2018,10:30,135.25,135.25,134.45,134.95,76,1553
04/11/2018,10:30,135.15,135.55,134.55,135.50,28,1577
04/12/2018,10:30,135.15,135.20,134.55,135.05,125,1639
04/13/2018,10:30,135.05,135.50,134.55,134.80,247,1697
04/16/2018,10:30,134.75,134.85,132.35,132.35,203,1696
04/17/2018,10:30,132.10,132.25,131.95,132.00,54,1664
04/18/2018,10:30,131.95,133.45,131.95,132.75,298,1748
04/19/2018,10:30,132.75,132.75,131.70,132.00,264,1732
04/20/2018,10:30,132.30,133.30,132.30,133.30,74,1753
04/23/2018,10:30,134.00,134.45,134.00,134.40,49,1760
04/24/2018,10:30,134.40,135.80,134.00,135.75,197,1835
04/25/2018,10:30,135.85,135.85,133.15,134.30,219,1900
04/26/2018,10:30,134.25,135.20,134.25,134.95,228,1831
04/27/2018,10:30,135.50,137.60,135.00,137.60,241,1878
04/30/2018,10:30,137.35,138.15,136.70,137.90,119,1901
05/01/2018,10:30,137.45,140.20,137.45,140.20,188,1934
05/02/2018,10:30,140.75,141.05,139.05,139.15,351,2021
05/03/2018,10:30,139.95,140.55,139.35,139.60,566,2250
05/04/2018,10:30,139.70,139.70,137.90,138.10,207,2234
05/07/2018,10:30,137.95,138.00,135.70,136.35,88,2237
05/08/2018,10:30,136.20,136.40,135.05,135.25,137,2210
05/09/2018,10:30,134.95,135.00,134.50,134.55,143,2128
05/10/2018,10:30,134.50,135.25,134.50,135.25,49,2142
05/11/2018,10:30,135.00,135.20,135.00,135.20,155,2072
05/14/2018,10:30,135.00,135.00,133.15,133.50,44,2087
05/15/2018,10:30,133.60,133.60,132.20,132.80,113,2109
05/16/2018,10:30,133.00,133.25,132.65,132.95,81,2083
05/17/2018,10:30,133.80,134.40,133.40,133.55,287,2096
05/18/2018,10:30,133.70,134.05,133.00,133.70,448,2056
05/21/2018,10:30,133.00,135.50,133.00,135.50,273,2159
05/22/2018,10:30,135.80,136.70,135.15,136.30,313,2162
05/23/2018,10:30,135.70,136.00,134.25,134.80,164,2157
05/24/2018,10:30,135.00,136.00,134.85,135.90,273,2239
05/25/2018,10:30,135.70,135.70,134.95,135.60,103,2239
05/29/2018,10:30,134.70,135.70,134.70,135.35,436,2346
05/30/2018,10:30,134.90,137.25,134.90,135.45,360,2337
05/31/2018,10:30,136.00,138.85,136.00,138.85,192,2444
06/01/2018,10:30,138.70,139.75,137.55,137.95,236,2479
06/04/2018,10:30,137.80,138.35,136.45,136.85,91,2479
06/05/2018,10:30,136.95,136.95,134.85,135.10,260,2543
06/06/2018,10:30,134.85,135.25,133.90,133.95,196,2565
06/07/2018,10:30,134.10,134.15,131.40,131.40,423,2596
06/08/2018,10:30,132.00,133.00,131.40,132.80,433,2624
06/11/2018,10:30,132.45,133.20,131.90,132.50,132,2663
06/12/2018,10:30,132.95,133.15,132.70,132.85,313,2614
06/13/2018,10:30,132.35,132.50,132.00,132.00,184,2543
06/14/2018,10:30,132.10,132.70,131.35,131.45,477,2705
06/15/2018,10:30,131.10,131.10,130.50,131.00,632,2982
06/18/2018,10:30,131.95,131.95,130.10,130.15,109,2976
06/19/2018,10:30,130.15,130.15,128.70,130.00,1228,3797
06/20/2018,10:30,130.10,130.60,129.80,130.20,396,3873
06/21/2018,10:30,130.05,130.75,129.55,129.90,66,3895
06/22/2018,10:30,129.90,131.05,129.80,130.60,35,3895
06/25/2018,10:30,130.65,131.00,130.40,130.80,82,3894
06/26/2018,10:30,130.70,132.55,130.70,131.25,80,3908
06/27/2018,10:30,131.30,131.40,130.90,131.10,119,3904
06/28/2018,10:30,130.35,130.80,129.25,129.50,180,3954
06/29/2018,10:30,129.60,129.60,128.40,129.00,320,3951
07/02/2018,10:30,128.00,128.30,125.75,125.80,1470,3718
07/03/2018,10:30,126.30,126.90,125.70,125.90,276,3718
07/05/2018,10:30,126.00,126.30,122.70,123.35,994,3769
07/06/2018,10:30,123.35,128.15,121.55,128.10,825,3597
07/09/2018,10:30,128.60,129.10,127.15,129.10,336,3490
07/10/2018,10:30,129.00,129.60,128.35,129.00,324,3642
07/11/2018,10:30,128.20,128.50,125.95,126.50,362,3693
07/12/2018,10:30,126.75,127.40,125.80,125.85,366,3808
07/13/2018,10:30,125.80,125.80,123.50,124.20,486,3615
07/16/2018,10:30,124.20,125.25,123.20,124.65,373,3648
07/17/2018,10:30,124.75,125.10,123.45,123.55,145,3662
07/18/2018,10:30,123.00,123.00,122.00,122.55,369,3769
07/19/2018,10:30,122.25,123.50,121.75,123.15,281,3795
07/20/2018,10:30,122.75,125.00,122.50,124.85,192,3890
07/23/2018,10:30,125.60,126.65,125.00,125.85,151,3918
07/24/2018,10:30,125.95,127.15,124.50,125.05,393,3902
07/25/2018,10:30,125.05,125.80,124.20,125.10,503,4014
07/26/2018,10:30,125.45,125.50,123.30,123.55,627,4020
07/27/2018,10:30,123.35,124.55,122.75,124.30,272,4029
07/30/2018,10:30,123.80,126.45,123.80,125.15,442,4130
07/31/2018,10:30,125.60,125.60,123.65,123.70,468,4229
08/01/2018,10:30,123.30,124.15,121.60,121.95,456,4194
08/02/2018,10:30,121.85,121.85,120.30,120.85,606,4343
08/03/2018,10:30,121.20,122.60,121.00,121.75,501,4423
08/06/2018,10:30,121.75,123.70,121.70,122.65,703,4306
08/07/2018,10:30,122.70,124.10,122.45,122.60,631,4428
08/08/2018,10:30,122.45,122.45,120.35,121.35,501,4436
08/09/2018,10:30,121.75,121.75,120.35,120.95,360,4447
08/10/2018,10:30,120.75,120.75,119.90,120.45,617,4422
