"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,14:00,479.20,479.20,479.20,479.20,108,566
03/02/2018,14:00,472.40,472.40,469.20,471.00,108,566
03/05/2018,14:00,471.00,474.70,461.00,468.40,83,565
03/06/2018,14:00,468.00,477.20,465.60,475.80,82,588
03/07/2018,14:00,475.10,475.10,465.80,465.90,72,602
03/08/2018,14:00,464.00,466.90,463.20,466.10,46,613
03/09/2018,14:00,468.80,474.40,468.50,473.10,61,644
03/12/2018,14:00,476.00,481.10,474.10,475.00,33,651
03/13/2018,14:00,475.20,475.20,472.00,473.50,39,672
03/14/2018,14:00,473.80,473.80,469.60,473.50,52,683
03/15/2018,14:00,465.80,483.50,465.70,483.40,52,708
03/16/2018,14:00,482.00,483.10,475.00,477.20,52,708
03/19/2018,14:00,479.00,480.40,474.40,475.60,30,714
03/20/2018,14:00,476.70,478.60,476.70,477.40,28,724
03/21/2018,14:00,475.80,476.20,471.10,472.40,16,728
03/22/2018,14:00,475.70,475.70,474.60,475.10,16,727
03/23/2018,14:00,471.50,479.20,471.50,476.90,48,745
03/26/2018,14:00,479.20,486.00,479.20,484.90,125,813
03/27/2018,14:00,485.00,494.90,482.00,494.90,159,869
03/28/2018,14:00,492.00,499.00,489.10,496.00,58,875
03/29/2018,14:00,499.50,506.00,499.40,505.40,176,935
04/02/2018,14:00,506.00,507.00,499.60,500.80,225,1003
04/03/2018,14:00,500.30,510.80,500.30,504.80,257,1092
04/04/2018,14:00,514.80,514.80,509.10,514.80,236,1098
04/05/2018,14:00,517.00,524.80,515.40,524.80,229,1306
04/06/2018,14:00,525.00,527.70,517.30,523.20,229,1306
04/09/2018,14:00,520.90,523.00,517.50,520.50,216,1409
04/10/2018,14:00,520.40,524.00,518.60,520.70,336,1638
04/11/2018,14:00,518.60,520.00,510.70,510.70,309,1754
04/12/2018,14:00,507.20,515.70,503.70,510.50,246,1862
04/13/2018,14:00,514.20,515.90,512.00,512.70,202,1945
04/16/2018,14:00,515.90,522.50,514.80,521.20,330,2122
04/17/2018,14:00,522.50,530.00,520.80,526.50,359,2313
04/18/2018,14:00,526.90,535.00,526.90,534.90,484,2503
04/19/2018,14:00,535.30,539.70,531.80,536.80,580,2999
04/20/2018,14:00,534.20,538.60,531.00,536.30,580,2999
04/23/2018,14:00,535.70,536.80,531.20,535.30,421,3263
04/24/2018,14:00,539.10,545.30,535.30,545.00,538,3483
04/25/2018,14:00,546.00,548.30,544.60,545.40,642,3837
04/26/2018,14:00,548.10,552.60,545.50,552.20,593,4180
04/27/2018,14:00,550.90,559.40,550.80,557.90,508,4427
04/30/2018,14:00,557.70,564.30,557.70,562.10,447,4509
05/01/2018,14:00,564.20,572.10,563.30,572.10,772,4565
05/02/2018,14:00,575.00,581.00,570.50,575.10,844,4861
05/03/2018,14:00,570.10,576.00,565.10,566.50,196,5109
05/04/2018,14:00,576.50,576.50,576.50,576.50,196,5109
05/07/2018,14:00,583.10,586.50,582.20,586.50,577,5095
05/08/2018,14:00,587.70,594.60,583.10,592.40,640,5171
05/09/2018,14:00,590.90,594.90,584.10,591.20,581,5272
05/10/2018,14:00,591.10,601.20,589.80,592.70,508,5343
05/11/2018,14:00,602.70,602.70,602.00,602.70,140,5330
05/14/2018,14:00,607.10,612.70,606.00,612.70,512,5268
05/15/2018,14:00,618.80,627.70,606.20,619.00,1159,5240
05/16/2018,14:00,629.00,629.00,626.80,629.00,143,5226
05/17/2018,14:00,637.10,639.00,631.60,639.00,610,5229
05/18/2018,14:00,639.80,648.50,624.00,624.00,983,5243
05/21/2018,14:00,612.60,612.80,609.00,609.00,528,5159
05/22/2018,14:00,594.00,594.00,594.00,594.00,113,5156
05/23/2018,14:00,579.00,609.00,579.00,579.30,1677,5093
05/24/2018,14:00,589.30,589.30,589.30,589.30,33,5034
05/25/2018,14:00,599.30,599.30,599.30,599.30,33,5035
05/29/2018,14:00,614.30,614.30,595.20,609.10,1128,4784
05/30/2018,14:00,610.80,611.00,599.10,599.10,574,4720
05/31/2018,14:00,591.00,608.60,589.40,597.10,859,4598
06/01/2018,14:00,604.80,606.10,587.80,593.60,567,4577
06/04/2018,14:00,589.80,593.20,585.60,588.40,394,4575
06/05/2018,14:00,584.00,595.00,583.60,588.80,498,4619
06/06/2018,14:00,590.00,596.80,589.50,592.70,450,4540
06/07/2018,14:00,596.80,602.70,593.10,599.50,482,4469
06/08/2018,14:00,598.90,603.00,589.50,589.60,531,4389
06/11/2018,14:00,584.00,588.70,579.60,579.60,474,4364
06/12/2018,14:00,572.00,573.70,569.60,569.60,528,4244
06/13/2018,14:00,562.70,562.80,554.60,554.60,351,4156
06/14/2018,14:00,540.00,572.00,538.10,566.30,1375,3863
06/15/2018,14:00,565.80,566.60,551.30,558.20,773,3612
06/18/2018,14:00,560.20,561.90,543.20,543.20,531,3469
06/19/2018,14:00,539.20,543.20,528.20,528.20,598,3286
06/20/2018,14:00,525.20,537.30,510.20,532.00,1665,2881
06/21/2018,14:00,524.30,547.00,523.00,547.00,842,2619
06/22/2018,14:00,562.00,562.00,552.60,560.10,704,2420
06/25/2018,14:00,555.00,570.30,548.40,564.10,433,2354
06/26/2018,14:00,559.20,569.20,559.20,563.40,375,2219
06/27/2018,14:00,562.10,565.90,550.40,553.30,640,1877
06/28/2018,14:00,552.40,559.00,550.10,558.00,478,1627
06/29/2018,14:00,563.00,573.00,561.70,569.30,581,1434
07/02/2018,14:00,577.40,579.30,570.20,575.60,576,1156
07/03/2018,14:00,571.70,577.00,560.40,561.70,230,1046
07/05/2018,14:00,561.80,564.10,540.00,558.20,635,743
07/06/2018,14:00,557.20,561.80,552.30,559.60,190,690
07/09/2018,14:00,562.20,564.50,552.00,558.30,185,555
07/10/2018,14:00,560.00,562.80,553.00,557.00,229,390
07/11/2018,14:00,559.10,563.10,542.00,548.00,189,259
07/12/2018,14:00,540.20,588.00,540.20,584.00,287,44
07/13/2018,14:00,578.40,580.40,570.00,570.00,35,44
