"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:05,67.825,67.825,67.200,67.600,248,2034
03/01/2018,11:05,67.500,67.925,67.075,67.075,170,2097
03/02/2018,11:05,67.075,67.075,66.450,66.525,170,2097
03/05/2018,11:05,66.675,67.225,66.675,66.750,76,2111
03/06/2018,11:05,66.950,67.625,66.850,66.900,100,2107
03/07/2018,11:05,66.650,66.975,66.175,66.300,230,2050
03/08/2018,11:05,66.050,66.625,65.775,66.275,235,2049
03/09/2018,11:05,66.225,67.250,66.175,66.250,210,2116
03/12/2018,11:05,65.900,66.925,65.900,66.800,471,2222
03/13/2018,11:05,66.575,66.950,66.225,66.825,153,2217
03/14/2018,11:05,66.650,67.325,66.575,67.275,158,2233
03/15/2018,11:05,66.800,67.600,66.800,67.550,146,2302
03/16/2018,11:05,67.325,67.550,66.925,67.425,146,2302
03/19/2018,11:05,67.250,67.250,66.225,66.225,126,2252
03/20/2018,11:05,66.400,66.525,66.250,66.325,105,2228
03/21/2018,11:05,66.100,66.850,66.100,66.325,104,2264
03/22/2018,11:05,66.325,66.325,65.625,65.925,135,2264
03/23/2018,11:05,65.525,65.550,64.500,64.725,203,2263
03/26/2018,11:05,64.525,65.025,64.325,64.450,155,2274
03/27/2018,11:05,64.525,64.800,64.000,64.000,142,2317
03/28/2018,11:05,64.000,65.025,63.900,64.350,884,2352
03/29/2018,11:05,64.075,64.300,63.500,63.675,256,2398
04/02/2018,11:05,63.500,63.775,62.900,62.900,404,2516
04/03/2018,11:05,62.850,63.000,62.500,62.800,343,2498
04/04/2018,11:05,62.500,64.300,62.500,64.025,480,2617
04/05/2018,11:05,63.850,64.300,63.200,63.550,58,2608
04/06/2018,11:05,63.225,63.550,63.025,63.125,58,2608
04/09/2018,11:05,63.175,65.175,63.150,65.175,229,2670
04/10/2018,11:05,65.475,65.500,64.725,64.800,196,2738
04/11/2018,11:05,65.300,65.650,65.100,65.425,297,2834
04/12/2018,11:05,65.900,65.975,65.300,65.900,571,3068
04/13/2018,11:05,65.850,66.000,65.650,65.900,244,3121
04/16/2018,11:05,65.525,65.575,65.100,65.250,176,3140
04/17/2018,11:05,65.225,65.775,65.225,65.700,296,3236
04/18/2018,11:05,65.750,66.400,65.750,66.375,752,3511
04/19/2018,11:05,66.425,66.450,65.650,66.150,248,3560
04/20/2018,11:05,65.425,65.925,65.425,65.875,248,3560
04/23/2018,11:05,65.075,65.575,65.075,65.500,314,3603
04/24/2018,11:05,65.050,65.150,64.725,64.900,315,3641
04/25/2018,11:05,64.900,64.900,64.375,64.625,481,3859
04/26/2018,11:05,64.375,64.475,63.950,64.350,178,3881
04/27/2018,11:05,64.175,64.650,63.425,63.650,543,3853
04/30/2018,11:05,63.350,64.100,63.350,63.925,382,4043
05/01/2018,11:05,63.875,64.050,62.850,63.125,548,4188
05/02/2018,11:05,63.250,63.700,62.950,63.250,494,4311
05/03/2018,11:05,63.250,64.050,62.975,63.050,608,4736
05/04/2018,11:05,62.850,63.425,62.700,62.975,608,4736
05/07/2018,11:05,62.925,63.850,62.650,63.250,573,4851
05/08/2018,11:05,63.625,64.100,62.925,63.900,857,5232
05/09/2018,11:05,64.150,64.150,63.500,63.750,2700,6980
05/10/2018,11:05,63.400,64.150,63.375,64.075,1578,7538
05/11/2018,11:05,64.075,64.075,63.175,63.400,1042,7969
05/14/2018,11:05,63.575,64.050,63.375,63.875,431,7866
05/15/2018,11:05,63.875,63.975,62.400,62.525,571,8091
05/16/2018,11:05,62.825,63.000,62.350,62.850,607,8105
05/17/2018,11:05,63.000,63.825,62.750,63.575,478,8092
05/18/2018,11:05,63.650,63.750,62.425,63.050,465,8069
05/21/2018,11:05,63.375,63.650,62.000,62.625,959,8026
05/22/2018,11:05,62.375,62.375,61.675,61.825,688,8085
05/23/2018,11:05,62.000,63.125,62.000,63.025,1972,8558
05/24/2018,11:05,62.875,63.100,62.500,63.050,632,8714
05/25/2018,11:05,62.900,63.625,62.850,63.300,632,8714
05/29/2018,11:05,63.400,64.050,63.175,63.925,583,8793
05/30/2018,11:05,63.900,64.325,63.800,64.050,886,8927
05/31/2018,11:05,64.050,64.225,62.650,62.950,1270,9144
06/01/2018,11:05,63.025,63.425,62.000,62.400,2117,9732
06/04/2018,11:05,62.550,62.625,61.300,62.125,1503,10035
06/05/2018,11:05,61.350,63.000,60.450,62.800,1743,10208
06/06/2018,11:05,62.750,64.350,62.400,64.250,2597,11126
06/07/2018,11:05,63.875,64.450,63.300,64.275,1576,11516
06/08/2018,11:05,64.575,64.675,63.750,64.625,1974,11773
06/11/2018,11:05,64.575,64.875,63.100,64.125,2145,11647
06/12/2018,11:05,64.125,64.675,63.350,64.575,1844,11777
06/13/2018,11:05,64.450,64.925,63.950,64.800,1942,12184
06/14/2018,11:05,64.575,64.650,63.000,63.150,2587,12375
06/15/2018,11:05,62.850,63.925,62.175,63.100,1830,12759
06/18/2018,11:05,63.175,64.000,62.900,63.900,1847,13121
06/19/2018,11:05,63.300,63.675,62.575,63.475,1735,13166
06/20/2018,11:05,63.250,63.400,61.200,62.000,2261,13263
06/21/2018,11:05,61.600,61.750,60.675,61.700,1912,13327
06/22/2018,11:05,61.500,61.800,60.850,61.675,1244,13570
06/25/2018,11:05,61.275,61.275,60.600,61.225,1379,13914
06/26/2018,11:05,61.200,62.225,61.150,61.725,2146,14026
06/27/2018,11:05,61.650,61.950,61.350,61.625,2293,14205
06/28/2018,11:05,61.500,61.750,61.250,61.650,2608,14742
06/29/2018,11:05,60.450,60.650,58.850,59.750,2614,14892
07/02/2018,11:05,59.550,61.425,58.850,61.175,5505,15333
07/03/2018,11:05,61.000,62.200,60.450,62.150,2813,15760
07/05/2018,11:05,61.925,62.025,61.225,61.675,3595,16485
07/06/2018,11:05,61.500,62.000,60.825,61.075,2978,16881
07/09/2018,11:05,61.150,61.150,58.775,59.100,4798,16032
07/10/2018,11:05,59.125,59.225,56.125,56.300,6907,16130
07/11/2018,11:05,56.300,56.475,51.950,52.475,6107,16531
07/12/2018,11:05,53.275,55.225,53.275,54.950,3173,17125
07/13/2018,11:05,55.200,57.100,54.650,56.600,3750,17632
07/16/2018,11:05,56.200,56.800,55.525,55.825,3033,18564
07/17/2018,11:05,56.050,56.250,54.100,54.425,2839,19219
07/18/2018,11:05,54.700,54.850,53.725,54.425,3228,20032
07/19/2018,11:05,54.400,55.525,53.975,54.450,4902,21619
07/20/2018,11:05,54.025,54.225,52.825,53.175,5480,22777
07/23/2018,11:05,53.200,55.175,52.825,54.000,6223,24379
07/24/2018,11:05,54.200,55.525,53.850,54.600,4768,25403
07/25/2018,11:05,54.850,55.875,54.650,55.650,3496,25932
07/26/2018,11:05,55.550,57.200,54.150,54.375,2737,26363
07/27/2018,11:05,53.975,54.300,53.250,53.575,2737,26363
07/30/2018,11:05,53.675,54.275,52.875,53.775,2845,26750
07/31/2018,11:05,53.525,54.100,53.075,53.800,4344,27574
08/01/2018,11:05,53.600,54.250,52.925,53.075,6402,26961
08/02/2018,11:05,52.975,53.000,52.175,52.250,5336,25857
08/03/2018,11:05,52.450,54.500,52.250,53.600,5336,25857
08/06/2018,11:05,53.775,54.575,53.150,53.250,5523,26037
08/07/2018,11:05,53.250,54.175,53.100,53.200,5266,25566
08/08/2018,11:05,52.975,53.075,51.550,51.675,7456,25216
08/09/2018,11:05,51.225,54.675,51.225,54.650,9651,24935
08/10/2018,11:05,54.350,56.200,53.850,53.975,10387,24951
08/13/2018,11:05,54.050,56.175,53.850,54.650,6973,24518
08/14/2018,11:05,55.000,55.725,54.800,55.225,4449,24594
08/15/2018,11:05,55.325,56.575,54.650,56.350,5163,24706
08/16/2018,11:05,57.075,59.350,57.075,59.350,8027,24076
08/17/2018,11:05,59.700,61.750,59.125,61.650,15066,24294
08/20/2018,11:05,61.750,62.175,60.250,60.850,11046,23999
08/21/2018,11:05,60.700,61.850,60.425,61.550,10080,25649
08/22/2018,11:05,60.750,61.000,59.400,59.900,8171,26158
08/23/2018,11:05,59.950,61.700,59.675,59.975,11214,25793
08/24/2018,11:05,59.725,62.225,59.500,61.800,12594,26091
08/27/2018,11:05,62.125,64.700,62.025,64.300,12047,26853
08/28/2018,11:05,64.575,64.675,61.975,63.075,8927,26746
08/29/2018,11:05,63.275,64.200,62.975,63.125,11285,27720
08/30/2018,11:05,63.100,63.725,62.275,62.575,10734,28554
08/31/2018,11:05,62.850,64.350,62.250,62.875,10328,28690
09/04/2018,11:05,64.500,64.625,62.875,64.450,8386,29329
09/05/2018,11:05,64.650,64.850,63.400,64.175,8039,29685
09/06/2018,11:05,64.675,64.925,64.525,64.850,11037,29940
09/07/2018,11:05,64.850,65.000,63.375,64.725,11037,29937
09/10/2018,11:05,64.975,65.250,63.825,63.925,11846,30570
09/11/2018,11:05,63.925,64.200,62.500,63.325,11623,30372
09/12/2018,11:05,63.500,64.800,63.175,64.700,13759,32028
09/13/2018,11:05,64.700,65.500,63.775,65.350,10613,32989
09/14/2018,11:05,65.550,66.250,65.375,65.675,11872,33361
09/17/2018,11:05,65.525,65.575,63.450,64.525,10632,33208
09/18/2018,11:05,65.100,65.950,64.800,65.800,8703,32854
09/19/2018,11:05,66.000,66.075,64.500,65.950,11424,32218
09/20/2018,11:05,65.950,66.475,64.950,65.625,9721,31824
09/21/2018,11:05,65.500,65.675,64.375,64.925,9116,31433
09/24/2018,11:05,64.875,65.600,64.425,65.450,8730,33023
09/25/2018,11:05,65.475,65.950,64.950,65.900,5784,33291
09/26/2018,11:05,65.900,65.925,64.575,64.900,5150,33305
09/27/2018,11:05,64.700,64.825,62.950,63.475,8637,35025
09/28/2018,11:05,63.925,66.250,63.750,65.850,8637,35025
10/01/2018,11:05,66.250,68.075,66.125,67.825,16509,38620
10/02/2018,11:05,67.550,67.875,67.000,67.800,9061,39336
10/03/2018,11:05,67.825,67.825,65.625,66.250,8278,39404
10/04/2018,11:05,65.725,66.000,64.650,64.725,7194,39718
10/05/2018,11:05,64.950,66.825,64.575,66.650,13402,40076
10/08/2018,11:05,66.525,67.525,66.525,67.200,12664,40861
10/09/2018,11:05,66.550,66.750,65.300,65.625,16859,39644
10/10/2018,11:05,65.625,66.475,64.250,64.525,13362,39859
10/11/2018,11:05,64.225,64.600,62.225,62.425,16029,39638
10/12/2018,11:05,62.700,63.750,62.000,62.225,10742,39950
10/15/2018,11:05,62.475,64.775,62.475,63.900,9925,40467
10/16/2018,11:05,63.850,65.250,63.675,64.250,8421,40686
10/17/2018,11:05,63.575,64.125,62.375,62.575,9216,41370
10/18/2018,11:05,62.200,62.225,60.000,60.225,10491,42857
10/19/2018,11:05,60.775,61.300,58.925,59.025,8738,43403
10/22/2018,11:05,59.550,61.025,58.775,60.300,10230,43444
10/23/2018,11:05,60.825,61.975,60.375,61.425,8164,44278
10/24/2018,11:05,61.875,64.425,61.800,64.425,7291,44444
10/25/2018,11:05,64.500,65.225,63.550,64.550,14186,44775
10/26/2018,11:05,64.525,66.475,64.375,66.375,13113,45406
10/29/2018,11:05,66.600,67.500,66.450,66.900,14131,45271
10/30/2018,11:05,67.100,67.375,66.525,66.950,12782,45611
10/31/2018,11:05,67.300,67.525,65.225,65.325,11386,47108
11/01/2018,11:05,64.750,65.950,63.625,65.050,13446,47954
11/02/2018,11:05,64.950,65.500,64.450,64.650,10910,49129
11/05/2018,11:05,64.725,65.775,63.800,64.125,11333,50038
11/06/2018,11:05,63.800,64.100,61.175,61.400,15327,51864
11/07/2018,11:05,61.750,62.150,60.975,61.225,29890,53553
11/08/2018,11:05,60.900,61.075,59.950,60.125,37399,66734
11/09/2018,11:05,59.750,60.475,59.250,59.500,37399,66611
11/12/2018,11:05,59.400,62.200,59.300,61.525,29698,73258
11/13/2018,11:05,61.700,62.625,61.625,62.175,26079,79439
11/14/2018,11:05,61.825,62.725,61.650,62.350,18442,79381
11/15/2018,11:05,62.525,63.975,62.325,63.750,17336,77976
11/16/2018,11:05,64.200,66.750,64.075,66.750,22013,78160
11/19/2018,11:05,67.050,69.175,66.775,69.025,35376,74974
11/20/2018,11:05,69.000,69.500,66.875,67.125,24406,77230
11/21/2018,11:05,66.675,66.850,65.600,66.175,14363,78716
11/23/2018,11:05,66.125,68.300,66.100,67.825,14363,78712
11/26/2018,11:05,67.950,67.975,64.950,65.550,23144,77361
11/27/2018,11:05,66.000,66.050,64.175,65.050,15616,77511
11/28/2018,11:05,64.875,65.900,63.850,64.500,12618,78300
11/29/2018,11:05,65.100,67.475,65.100,67.350,18924,77840
11/30/2018,11:05,67.475,67.825,65.950,67.550,18924,77833
12/03/2018,11:05,68.500,68.825,64.900,66.900,30222,77469
12/04/2018,11:05,67.000,67.250,65.525,66.050,13723,77545
12/05/2018,11:05,65.525,68.100,65.125,67.750,16255,77545
12/06/2018,11:05,66.900,67.250,65.250,66.900,19587,79061
12/07/2018,11:05,67.575,67.950,66.075,67.875,19587,79060
12/10/2018,11:05,67.850,68.150,66.625,66.825,15895,78196
12/11/2018,11:05,66.500,66.650,64.975,65.200,21334,78021
12/12/2018,11:05,65.675,65.875,64.775,65.700,13700,78000
12/13/2018,11:05,65.375,65.700,64.100,64.825,17731,78690
12/14/2018,11:05,65.275,66.800,64.450,64.500,18313,76722
12/17/2018,11:05,64.325,64.400,63.025,63.825,17366,77367
12/18/2018,11:05,63.650,63.700,62.125,62.650,18187,77231
12/19/2018,11:05,62.725,63.525,62.200,62.700,12796,75711
12/20/2018,11:05,62.500,63.425,61.800,62.375,15894,74303
12/21/2018,11:05,63.250,63.250,61.025,61.125,19272,76139
12/24/2018,11:05,61.900,61.900,60.225,60.300,14990,76195
12/26/2018,11:05,60.900,61.325,60.250,60.375,12980,75950
12/27/2018,11:05,61.175,61.200,60.200,60.575,12683,78954
12/28/2018,11:05,60.950,61.200,60.550,60.650,12683,78940
12/31/2018,11:05,60.850,61.475,60.800,60.975,15858,82166
01/02/2019,11:05,61.375,63.425,61.250,61.700,25537,81672
01/03/2019,11:05,62.100,62.725,61.950,62.150,15374,81327
01/04/2019,11:05,62.775,62.950,61.400,61.950,16599,79843
01/07/2019,11:05,61.950,62.150,61.250,61.900,14086,77953
01/08/2019,11:05,62.600,63.150,62.075,62.600,32486,66564
01/09/2019,11:05,62.400,64.100,62.375,63.775,31396,60591
01/10/2019,11:05,63.575,64.225,63.100,64.075,36157,51281
01/11/2019,11:05,63.375,63.700,62.425,62.650,30026,44713
01/14/2019,11:05,62.650,62.725,61.400,61.850,24989,38536
01/15/2019,11:05,62.250,63.600,61.475,62.150,22045,36306
01/16/2019,11:05,61.450,61.675,59.500,60.050,22143,36250
01/17/2019,11:05,60.075,61.200,59.125,60.850,16570,33748
01/18/2019,11:05,61.175,62.175,61.100,61.225,15080,30727
01/22/2019,11:05,61.725,62.025,60.850,61.475,7874,29108
01/23/2019,11:05,61.150,61.450,60.300,60.775,10848,26868
01/24/2019,11:05,60.750,60.850,59.800,59.825,8514,25943
01/25/2019,11:05,59.375,59.400,58.050,58.375,8514,25943
01/28/2019,11:05,58.525,58.525,57.800,57.975,5278,25141
01/29/2019,11:05,57.650,57.775,57.100,57.325,8032,22968
01/30/2019,11:05,57.450,57.800,57.325,57.450,4961,22228
01/31/2019,11:05,57.325,57.750,56.150,56.250,6484,20354
02/01/2019,11:05,56.400,56.675,56.050,56.350,3361,19131
02/04/2019,11:05,56.400,57.700,56.150,57.375,5316,17640
02/05/2019,11:05,57.450,57.450,56.375,56.425,4416,16381
02/06/2019,11:05,56.300,56.475,55.875,55.925,4980,14544
02/07/2019,11:05,56.025,56.025,55.200,55.275,4372,12957
02/08/2019,11:05,55.300,55.550,55.000,55.050,3413,11573
02/11/2019,11:05,55.000,55.375,54.900,55.175,2088,11103
02/12/2019,11:05,55.275,55.375,55.100,55.175,2893,10346
02/13/2019,11:05,55.075,55.200,55.000,55.150,1277,9829
02/14/2019,11:05,55.000,55.200,54.950,55.100,1416,9793
