"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:05,82.300,82.375,80.975,81.125,4706,20466
03/02/2018,11:05,81.400,81.500,80.350,80.500,4706,20463
03/05/2018,11:05,80.650,81.750,80.500,81.300,5000,19623
03/06/2018,11:05,81.700,81.775,80.625,80.725,4426,20046
03/07/2018,11:05,80.650,80.650,79.075,79.550,8750,19915
03/08/2018,11:05,79.175,79.350,78.350,78.925,7687,19973
03/09/2018,11:05,78.975,79.825,78.450,78.550,9872,21330
03/12/2018,11:05,78.475,78.475,77.450,77.975,6533,22113
03/13/2018,11:05,78.100,78.900,78.050,78.425,6439,22553
03/14/2018,11:05,78.400,79.750,78.100,79.550,5293,23270
03/15/2018,11:05,79.175,80.675,78.975,80.500,4428,22854
03/16/2018,11:05,80.375,80.825,79.050,80.200,4428,22854
03/19/2018,11:05,79.875,79.925,78.050,78.175,5240,23092
03/20/2018,11:05,78.375,78.375,77.575,77.900,5281,23527
03/21/2018,11:05,77.975,78.525,77.200,78.075,4832,24192
03/22/2018,11:05,77.975,78.075,76.150,76.675,5274,24669
03/23/2018,11:05,75.750,76.650,75.000,75.350,7479,25011
03/26/2018,11:05,75.600,76.600,75.075,75.200,4191,25663
03/27/2018,11:05,75.175,76.250,75.000,75.250,6856,26580
03/28/2018,11:05,74.900,77.950,74.375,77.650,6156,26216
03/29/2018,11:05,77.575,77.850,76.825,77.550,7286,26235
04/02/2018,11:05,76.250,76.475,74.550,74.700,6390,26869
04/03/2018,11:05,74.500,74.650,72.525,73.325,10329,27082
04/04/2018,11:05,73.075,75.425,72.000,75.175,7584,27250
04/05/2018,11:05,75.050,75.950,74.900,75.750,8876,27257
04/06/2018,11:05,75.250,75.575,74.500,75.450,8876,27257
04/09/2018,11:05,75.200,78.450,75.050,78.250,10993,28196
04/10/2018,11:05,78.350,79.275,77.725,77.825,8695,28792
04/11/2018,11:05,77.650,79.125,77.625,78.325,6637,29493
04/12/2018,11:05,78.375,79.675,77.625,79.400,9039,31448
04/13/2018,11:05,79.775,79.975,78.950,79.575,7113,32512
04/16/2018,11:05,79.300,79.800,78.250,78.675,5629,33040
04/17/2018,11:05,78.900,79.375,78.325,79.225,5587,33810
04/18/2018,11:05,79.400,81.300,79.350,81.050,9739,34175
04/19/2018,11:05,81.100,81.325,80.175,80.700,6333,34993
