"Date","Time","Open","High","Low","Close","Vol","OI"
06/04/2019,14:00,0.7032,0.7032,0.7032,0.7032,0,0
06/05/2019,14:00,0.6999,0.6999,0.6999,0.6999,0,0
06/06/2019,14:00,0.7005,0.7005,0.7005,0.7005,0,0
06/07/2019,14:00,0.7034,0.7034,0.7034,0.7034,0,0
06/10/2019,14:00,0.6989,0.6989,0.6989,0.6989,0,0
06/11/2019,14:00,0.6991,0.6991,0.6991,0.6991,0,0
06/12/2019,14:00,0.6959,0.6959,0.6959,0.6959,0,0
06/13/2019,14:00,0.6949,0.6949,0.6949,0.6949,0,0
06/14/2019,14:00,0.6897,0.6897,0.6897,0.6897,0,0
06/17/2019,14:00,0.6883,0.6883,0.6883,0.6883,0,0
06/18/2019,14:00,0.6907,0.6907,0.6907,0.6907,0,0
06/19/2019,14:00,0.6910,0.6923,0.6896,0.6923,7,3
06/20/2019,14:00,0.6920,0.6960,0.6919,0.6954,10,10
06/21/2019,14:00,0.6944,0.6963,0.6939,0.6959,5,14
06/24/2019,14:00,0.6975,0.6998,0.6975,0.6998,5,16
06/25/2019,14:00,0.6994,0.7001,0.6978,0.6991,5,19
06/26/2019,14:00,0.7015,0.7024,0.7013,0.7016,18,19
06/27/2019,14:00,0.7016,0.7035,0.7016,0.7035,14,22
06/28/2019,14:00,0.7039,0.7054,0.7035,0.7050,31,41
07/01/2019,14:00,0.7038,0.7038,0.6990,0.6990,56,22
07/02/2019,14:00,0.6998,0.7030,0.6998,0.7020,13,23
07/03/2019,14:00,0.7020,0.7071,0.7020,0.7069,21,33
07/05/2019,14:00,0.7050,0.7050,0.6997,0.7012,21,33
07/08/2019,14:00,0.7007,0.7024,0.7003,0.7003,13,38
07/09/2019,14:00,0.7000,0.7000,0.6953,0.6960,27,44
07/10/2019,14:00,0.6956,0.6997,0.6950,0.6989,27,45
07/11/2019,14:00,0.7001,0.7012,0.7001,0.7005,18,43
07/12/2019,14:00,0.7010,0.7054,0.7010,0.7054,18,43
07/15/2019,14:00,0.7063,0.7066,0.7062,0.7066,31,45
07/16/2019,14:00,0.7069,0.7069,0.7042,0.7042,4,46
07/17/2019,14:00,0.7045,0.7053,0.7032,0.7044,13,40
07/18/2019,14:00,0.7043,0.7102,0.7043,0.7095,18,54
07/19/2019,14:00,0.7094,0.7100,0.7070,0.7071,18,54
07/22/2019,14:00,0.7070,0.7083,0.7064,0.7064,23,46
07/23/2019,14:00,0.7050,0.7060,0.7025,0.7030,23,41
07/24/2019,14:00,0.7027,0.7027,0.7003,0.7004,24,43
07/25/2019,14:00,0.7009,0.7009,0.6973,0.6974,34,51
07/26/2019,14:00,0.6972,0.6972,0.6933,0.6936,99,83
07/29/2019,14:00,0.6940,0.6941,0.6926,0.6931,21,88
07/30/2019,14:00,0.6928,0.6931,0.6900,0.6904,62,106
07/31/2019,14:00,0.6902,0.6922,0.6861,0.6869,112,135
08/01/2019,14:00,0.6870,0.6897,0.6825,0.6832,78,155
08/02/2019,14:00,0.6831,0.6849,0.6792,0.6823,78,155
08/05/2019,14:00,0.6809,0.6809,0.6775,0.6786,43,168
08/06/2019,14:00,0.6782,0.6825,0.6780,0.6781,31,175
08/07/2019,14:00,0.6785,0.6800,0.6704,0.6791,132,164
08/08/2019,14:00,0.6793,0.6836,0.6793,0.6829,137,206
08/09/2019,14:00,0.6848,0.6848,0.6811,0.6816,11,209
08/12/2019,14:00,0.6780,0.6780,0.6773,0.6778,15,211
08/13/2019,14:00,0.6782,0.6841,0.6776,0.6818,41,219
08/14/2019,14:00,0.6817,0.6817,0.6764,0.6770,54,238
08/15/2019,14:00,0.6773,0.6810,0.6773,0.6797,44,233
08/16/2019,14:00,0.6793,0.6814,0.6793,0.6806,13,232
08/19/2019,14:00,0.6804,0.6809,0.6785,0.6788,30,247
08/20/2019,14:00,0.6781,0.6815,0.6781,0.6796,23,248
08/21/2019,14:00,0.6799,0.6820,0.6796,0.6802,95,259
08/22/2019,14:00,0.6807,0.6807,0.6774,0.6779,63,254
08/23/2019,14:00,0.6780,0.6797,0.6760,0.6774,112,279
08/26/2019,14:00,0.6774,0.6808,0.6714,0.6795,77,295
08/27/2019,14:00,0.6797,0.6798,0.6769,0.6776,34,300
08/28/2019,14:00,0.6776,0.6776,0.6755,0.6759,40,316
08/29/2019,14:00,0.6760,0.6771,0.6738,0.6747,43,331
08/30/2019,14:00,0.6756,0.6760,0.6728,0.6747,61,336
09/03/2019,14:00,0.6731,0.6782,0.6708,0.6780,221,361
09/04/2019,14:00,0.6787,0.6819,0.6779,0.6817,439,430
09/05/2019,14:00,0.6816,0.6847,0.6812,0.6835,337,518
09/06/2019,14:00,0.6832,0.6879,0.6827,0.6866,337,518
09/09/2019,14:00,0.6867,0.6895,0.6858,0.6883,343,705
09/10/2019,14:00,0.6883,0.6887,0.6867,0.6879,329,805
09/11/2019,14:00,0.6880,0.6903,0.6869,0.6877,579,832
09/12/2019,14:00,0.6879,0.6911,0.6877,0.6883,1306,1340
09/13/2019,14:00,0.6882,0.6907,0.6875,0.6897,2216,1356
09/16/2019,14:00,0.6884,0.6900,0.6870,0.6886,2399,1505
09/17/2019,14:00,0.6885,0.6886,0.6848,0.6879,3222,1667
09/18/2019,14:00,0.6886,0.6889,0.6832,0.6843,4263,2276
09/19/2019,14:00,0.6848,0.6849,0.6800,0.6818,3983,2514
09/20/2019,14:00,0.6810,0.6829,0.6778,0.6782,3972,2795
09/23/2019,14:00,0.6782,0.6798,0.6781,0.6788,1815,2815
09/24/2019,14:00,0.6793,0.6823,0.6783,0.6817,3523,3302
09/25/2019,14:00,0.6817,0.6821,0.6758,0.6773,3704,3342
09/26/2019,14:00,0.6770,0.6797,0.6763,0.6771,3672,3755
09/27/2019,14:00,0.6766,0.6796,0.6759,0.6777,3672,3755
09/30/2019,14:00,0.6780,0.6789,0.6758,0.6768,3701,3741
