"Date","Time","Open","High","Low","Close","Vol","OI"
09/04/2019,14:00,1.1192,1.1192,1.1192,1.1192,0,0
09/05/2019,14:00,1.1195,1.1195,1.1195,1.1195,0,0
09/06/2019,14:00,1.1188,1.1188,1.1188,1.1188,0,0
09/09/2019,14:00,1.1210,1.1210,1.1210,1.1210,0,0
09/10/2019,14:00,1.1205,1.1205,1.1205,1.1205,0,0
09/11/2019,14:00,1.1164,1.1164,1.1164,1.1164,0,0
09/12/2019,14:00,1.1225,1.1225,1.1225,1.1225,0,0
09/13/2019,14:00,1.1218,1.1218,1.1218,1.1218,0,0
09/16/2019,14:00,1.1158,1.1158,1.1158,1.1158,0,0
09/17/2019,14:00,1.1150,1.1223,1.1150,1.1216,10,4
09/18/2019,14:00,1.1221,1.1221,1.1164,1.1178,18,10
09/19/2019,14:00,1.1174,1.1215,1.1174,1.1198,14,9
09/20/2019,14:00,1.1195,1.1195,1.1140,1.1154,8,7
09/23/2019,14:00,1.1111,1.1136,1.1111,1.1136,10,11
09/24/2019,14:00,1.1141,1.1165,1.1139,1.1160,17,13
09/25/2019,14:00,1.1160,1.1160,1.1080,1.1082,28,18
09/26/2019,14:00,1.1097,1.1104,1.1055,1.1067,9,39
09/27/2019,14:00,1.1057,1.1088,1.1057,1.1076,9,39
09/30/2019,14:00,1.1076,1.1080,1.1022,1.1038,24,53
10/01/2019,14:00,1.1034,1.1070,1.1022,1.1070,42,52
10/02/2019,14:00,1.1064,1.1090,1.1036,1.1088,30,50
10/03/2019,14:00,1.1090,1.1120,1.1074,1.1099,39,56
10/04/2019,14:00,1.1100,1.1123,1.1083,1.1107,39,56
10/07/2019,14:00,1.1104,1.1122,1.1090,1.1096,48,61
10/08/2019,14:00,1.1096,1.1116,1.1065,1.1077,35,62
10/09/2019,14:00,1.1083,1.1108,1.1077,1.1094,17,61
10/10/2019,14:00,1.1105,1.1150,1.1102,1.1125,48,53
10/11/2019,14:00,1.1126,1.1180,1.1120,1.1160,48,53
10/14/2019,14:00,1.1151,1.1156,1.1132,1.1145,24,51
10/15/2019,14:00,1.1139,1.1155,1.1110,1.1149,25,53
10/16/2019,14:00,1.1142,1.1196,1.1142,1.1187,18,51
10/17/2019,14:00,1.1184,1.1240,1.1179,1.1236,50,62
10/18/2019,14:00,1.1236,1.1280,1.1235,1.1274,37,67
10/21/2019,14:00,1.1269,1.1288,1.1256,1.1258,20,71
