"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,0.05142,0.05142,0.05142,0.05142,0,0
03/01/2018,14:00,0.05134,0.05134,0.05134,0.05134,0,0
03/02/2018,14:00,0.05144,0.05144,0.05144,0.05144,0,0
03/05/2018,14:00,0.05141,0.05141,0.05141,0.05141,0,0
03/06/2018,14:00,0.05177,0.05177,0.05177,0.05177,0,0
03/07/2018,14:00,0.05177,0.05177,0.05177,0.05177,0,0
03/08/2018,14:00,0.05198,0.05198,0.05198,0.05198,0,0
03/09/2018,14:00,0.05212,0.05212,0.05212,0.05212,0,0
03/12/2018,14:00,0.05219,0.05219,0.05219,0.05219,0,0
03/13/2018,14:00,0.05224,0.05224,0.05224,0.05224,0,0
03/14/2018,14:00,0.05230,0.05230,0.05230,0.05230,0,0
03/15/2018,14:00,0.05190,0.05190,0.05190,0.05190,0,0
03/16/2018,14:00,0.05196,0.05196,0.05196,0.05196,0,0
03/19/2018,14:00,0.05195,0.05195,0.05195,0.05195,0,0
03/20/2018,14:00,0.05195,0.05195,0.05180,0.05180,1,1
03/21/2018,14:00,0.05256,0.05256,0.05256,0.05256,0,1
03/22/2018,14:00,0.05268,0.05268,0.05229,0.05253,2,1
03/23/2018,14:00,0.05207,0.05252,0.05207,0.05252,3,1
03/26/2018,14:00,0.05292,0.05322,0.05292,0.05322,1,1
03/27/2018,14:00,0.05306,0.05306,0.05306,0.05306,0,1
03/28/2018,14:00,0.05334,0.05334,0.05334,0.05334,43,43
03/29/2018,14:00,0.05355,0.05355,0.05355,0.05355,0,43
04/02/2018,14:00,0.05320,0.05320,0.05320,0.05320,0,43
04/03/2018,14:00,0.05350,0.05350,0.05350,0.05350,500,543
04/04/2018,14:00,0.05336,0.05365,0.05336,0.05365,1,544
04/05/2018,14:00,0.05368,0.05368,0.05368,0.05368,1,544
04/06/2018,14:00,0.05337,0.05337,0.05323,0.05323,1,544
04/09/2018,14:00,0.05322,0.05334,0.05322,0.05334,10,542
04/10/2018,14:00,0.05338,0.05339,0.05338,0.05339,501,1034
04/11/2018,14:00,0.05364,0.05364,0.05354,0.05354,1,1034
04/12/2018,14:00,0.05364,0.05390,0.05364,0.05368,11,1044
04/13/2018,14:00,0.05403,0.05406,0.05402,0.05402,3,1046
04/16/2018,14:00,0.05416,0.05424,0.05416,0.05424,1,1045
04/17/2018,14:00,0.05428,0.05428,0.05425,0.05427,4,1047
04/18/2018,14:00,0.05420,0.05431,0.05405,0.05410,20,1052
04/19/2018,14:00,0.05390,0.05390,0.05306,0.05306,12,1095
04/20/2018,14:00,0.05260,0.05269,0.05260,0.05267,12,1095
04/23/2018,14:00,0.05220,0.05220,0.05161,0.05173,322,1327
04/24/2018,14:00,0.05163,0.05200,0.05163,0.05182,28,1338
04/25/2018,14:00,0.05117,0.05175,0.05117,0.05173,24,1361
04/26/2018,14:00,0.05188,0.05202,0.05188,0.05192,221,1571
04/27/2018,14:00,0.05210,0.05254,0.05210,0.05254,31,1592
04/30/2018,14:00,0.05233,0.05233,0.05208,0.05230,3,1591
05/01/2018,14:00,0.05210,0.05210,0.05170,0.05170,7,1585
05/02/2018,14:00,0.05128,0.05138,0.05118,0.05138,293,1338
05/03/2018,14:00,0.05130,0.05130,0.05130,0.05130,1,1338
05/04/2018,14:00,0.05090,0.05098,0.05090,0.05098,1,1338
05/07/2018,14:00,0.05082,0.05095,0.05025,0.05025,58,1382
05/08/2018,14:00,0.05032,0.05036,0.04987,0.05002,108,1476
05/09/2018,14:00,0.05000,0.05008,0.04980,0.05006,355,1587
05/10/2018,14:00,0.05026,0.05103,0.05026,0.05100,646,1570
05/11/2018,14:00,0.05085,0.05114,0.05048,0.05055,30,1559
05/14/2018,14:00,0.05056,0.05072,0.05000,0.05008,81,1611
05/15/2018,14:00,0.05006,0.05007,0.04920,0.04972,391,1654
05/16/2018,14:00,0.04979,0.05011,0.04959,0.04997,82,1709
05/17/2018,14:00,0.05012,0.05022,0.04966,0.04978,118,1662
05/18/2018,14:00,0.04963,0.04963,0.04913,0.04918,90,1640
05/21/2018,14:00,0.04928,0.04938,0.04908,0.04936,32,1653
