"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.7243,0.7243,0.7243,0.7243,0,0
02/28/2018,14:00,0.7217,0.7217,0.7217,0.7217,0,0
03/01/2018,14:00,0.7252,0.7252,0.7252,0.7252,0,0
03/02/2018,14:00,0.7232,0.7232,0.7232,0.7232,0,0
03/05/2018,14:00,0.7228,0.7228,0.7228,0.7228,0,0
03/06/2018,14:00,0.7296,0.7296,0.7296,0.7296,0,0
03/07/2018,14:00,0.7287,0.7287,0.7287,0.7287,0,0
03/08/2018,14:00,0.7268,0.7268,0.7268,0.7268,0,0
03/09/2018,14:00,0.7294,0.7294,0.7294,0.7294,0,0
03/12/2018,14:00,0.7300,0.7300,0.7300,0.7300,0,0
03/13/2018,14:00,0.7335,0.7335,0.7335,0.7335,0,0
03/14/2018,14:00,0.7330,0.7330,0.7330,0.7330,0,0
03/15/2018,14:00,0.7269,0.7269,0.7269,0.7269,0,0
03/16/2018,14:00,0.7212,0.7212,0.7212,0.7212,0,0
03/19/2018,14:00,0.7227,0.7227,0.7227,0.7227,0,0
03/20/2018,14:00,0.7192,0.7192,0.7192,0.7192,0,0
03/21/2018,14:00,0.7227,0.7227,0.7227,0.7227,0,0
03/22/2018,14:00,0.7228,0.7228,0.7228,0.7228,0,0
03/23/2018,14:00,0.7261,0.7261,0.7261,0.7261,0,0
03/26/2018,14:00,0.7302,0.7302,0.7302,0.7302,0,0
03/27/2018,14:00,0.7270,0.7270,0.7270,0.7270,0,0
03/28/2018,14:00,0.7214,0.7214,0.7214,0.7214,0,0
03/29/2018,14:00,0.7227,0.7227,0.7227,0.7227,0,0
04/02/2018,14:00,0.7218,0.7218,0.7218,0.7218,0,0
04/03/2018,14:00,0.7265,0.7265,0.7265,0.7265,0,0
04/04/2018,14:00,0.7313,0.7313,0.7313,0.7313,0,0
04/05/2018,14:00,0.7277,0.7277,0.7277,0.7277,0,0
04/06/2018,14:00,0.7273,0.7273,0.7273,0.7273,0,0
04/09/2018,14:00,0.7323,0.7323,0.7323,0.7323,0,0
04/10/2018,14:00,0.7381,0.7381,0.7381,0.7381,0,0
04/11/2018,14:00,0.7361,0.7361,0.7361,0.7361,0,0
04/12/2018,14:00,0.7386,0.7386,0.7386,0.7386,0,0
04/13/2018,14:00,0.7353,0.7353,0.7353,0.7353,0,0
04/16/2018,14:00,0.7367,0.7367,0.7367,0.7367,0,0
04/17/2018,14:00,0.7345,0.7345,0.7345,0.7345,0,0
04/18/2018,14:00,0.7335,0.7335,0.7335,0.7335,0,0
04/19/2018,14:00,0.7273,0.7273,0.7273,0.7273,0,0
04/20/2018,14:00,0.7211,0.7211,0.7211,0.7211,0,0
04/23/2018,14:00,0.7161,0.7161,0.7161,0.7161,0,0
04/24/2018,14:00,0.7130,0.7130,0.7130,0.7130,0,0
04/25/2018,14:00,0.7077,0.7077,0.7077,0.7077,0,0
04/26/2018,14:00,0.7079,0.7079,0.7079,0.7079,0,0
04/27/2018,14:00,0.7100,0.7100,0.7100,0.7100,0,0
04/30/2018,14:00,0.7053,0.7053,0.7053,0.7053,0,0
05/01/2018,14:00,0.7017,0.7017,0.7017,0.7017,0,0
05/02/2018,14:00,0.7023,0.7023,0.7023,0.7023,0,0
05/03/2018,14:00,0.7058,0.7058,0.7058,0.7058,0,0
05/04/2018,14:00,0.7035,0.7035,0.7035,0.7035,0,0
05/07/2018,14:00,0.7036,0.7036,0.7036,0.7036,0,0
05/08/2018,14:00,0.6983,0.6983,0.6983,0.6983,0,0
05/09/2018,14:00,0.7007,0.7007,0.7007,0.7007,0,0
05/10/2018,14:00,0.6985,0.6985,0.6985,0.6985,0,0
05/11/2018,14:00,0.6983,0.6983,0.6983,0.6983,0,0
05/14/2018,14:00,0.6938,0.6938,0.6938,0.6938,0,0
05/15/2018,14:00,0.6879,0.6879,0.6879,0.6879,0,0
05/16/2018,14:00,0.6919,0.6919,0.6919,0.6919,0,0
05/17/2018,14:00,0.6892,0.6892,0.6892,0.6892,0,0
05/18/2018,14:00,0.6936,0.6936,0.6936,0.6936,0,0
05/21/2018,14:00,0.6951,0.6951,0.6951,0.6951,0,0
05/22/2018,14:00,0.6951,0.6951,0.6951,0.6951,0,0
05/23/2018,14:00,0.6939,0.6939,0.6939,0.6939,0,0
05/24/2018,14:00,0.6950,0.6950,0.6950,0.6950,0,0
05/25/2018,14:00,0.6939,0.6939,0.6939,0.6939,0,0
05/29/2018,14:00,0.6907,0.6907,0.6907,0.6907,0,0
05/30/2018,14:00,0.7003,0.7003,0.7003,0.7003,0,0
05/31/2018,14:00,0.7018,0.7018,0.7018,0.7018,0,0
06/01/2018,14:00,0.7001,0.7001,0.7001,0.7001,0,0
06/04/2018,14:00,0.7054,0.7054,0.7054,0.7054,0,0
06/05/2018,14:00,0.7046,0.7046,0.7046,0.7046,0,0
06/06/2018,14:00,0.7055,0.7055,0.7055,0.7055,0,0
06/07/2018,14:00,0.7048,0.7048,0.7048,0.7048,0,0
06/08/2018,14:00,0.7055,0.7055,0.7055,0.7055,0,0
06/11/2018,14:00,0.7038,0.7038,0.7038,0.7038,0,0
06/12/2018,14:00,0.7026,0.7026,0.7026,0.7026,0,0
06/13/2018,14:00,0.7027,0.7027,0.7027,0.7027,0,0
06/14/2018,14:00,0.6999,0.6999,0.6999,0.6999,0,0
06/15/2018,14:00,0.6959,0.6959,0.6959,0.6959,0,0
06/18/2018,14:00,0.6949,0.6949,0.6949,0.6949,0,0
06/19/2018,14:00,0.6915,0.6915,0.6915,0.6915,0,0
06/20/2018,14:00,0.6880,0.6880,0.6880,0.6880,0,0
06/21/2018,14:00,0.6898,0.6898,0.6898,0.6898,0,0
06/22/2018,14:00,0.6937,0.6937,0.6937,0.6937,0,0
06/25/2018,14:00,0.6914,0.6914,0.6914,0.6914,0,0
06/26/2018,14:00,0.6870,0.6870,0.6870,0.6870,0,0
06/27/2018,14:00,0.6813,0.6813,0.6813,0.6813,0,0
06/28/2018,14:00,0.6768,0.6768,0.6768,0.6768,0,0
06/29/2018,14:00,0.6787,0.6787,0.6787,0.6787,0,0
07/02/2018,14:00,0.6718,0.6718,0.6718,0.6718,0,0
07/03/2018,14:00,0.6762,0.6762,0.6762,0.6762,0,0
07/05/2018,14:00,0.6800,0.6800,0.6800,0.6800,0,0
07/06/2018,14:00,0.6854,0.6854,0.6854,0.6854,0,0
07/09/2018,14:00,0.6860,0.6860,0.6860,0.6860,0,0
07/10/2018,14:00,0.6857,0.6857,0.6857,0.6857,0,0
07/11/2018,14:00,0.6782,0.6782,0.6782,0.6782,0,0
07/12/2018,14:00,0.6788,0.6788,0.6788,0.6788,0,0
07/13/2018,14:00,0.6777,0.6777,0.6777,0.6777,0,0
07/16/2018,14:00,0.6785,0.6785,0.6785,0.6785,0,0
07/17/2018,14:00,0.6799,0.6799,0.6799,0.6799,0,0
07/18/2018,14:00,0.6814,0.6814,0.6814,0.6814,0,0
07/19/2018,14:00,0.6759,0.6759,0.6759,0.6759,0,0
07/20/2018,14:00,0.6831,0.6831,0.6831,0.6831,0,0
07/23/2018,14:00,0.6799,0.6799,0.6799,0.6799,0,0
07/24/2018,14:00,0.6815,0.6815,0.6815,0.6815,0,0
07/25/2018,14:00,0.6846,0.6846,0.6846,0.6846,0,0
07/26/2018,14:00,0.6806,0.6806,0.6806,0.6806,0,0
07/27/2018,14:00,0.6814,0.6814,0.6814,0.6814,0,0
07/30/2018,14:00,0.6845,0.6845,0.6845,0.6845,0,0
07/31/2018,14:00,0.6838,0.6838,0.6838,0.6838,0,0
08/01/2018,14:00,0.6809,0.6809,0.6809,0.6809,0,0
08/02/2018,14:00,0.6758,0.6758,0.6758,0.6758,0,0
08/03/2018,14:00,0.6772,0.6772,0.6772,0.6772,0,0
