"Date","Time","Open","High","Low","Close","Vol","OI"
03/07/2018,14:00,21050,21050,21050,21050,0,0
03/08/2018,14:00,21330,21330,21330,21330,0,0
03/09/2018,14:00,21535,21535,21535,21535,0,0
03/12/2018,14:00,21390,21390,21390,21390,0,0
03/13/2018,14:00,21440,21440,21440,21440,0,0
03/14/2018,14:00,21395,21395,21395,21395,0,0
03/15/2018,14:00,21485,21485,21485,21485,0,0
03/16/2018,14:00,21255,21255,21255,21255,0,0
03/19/2018,14:00,20975,20975,20975,20975,0,0
03/20/2018,14:00,21150,21150,21150,21150,0,0
03/21/2018,14:00,20990,20990,20990,20990,0,0
03/22/2018,14:00,20725,20725,20725,20725,0,0
03/23/2018,14:00,20070,20070,20070,20070,0,0
03/26/2018,14:00,20570,20570,20570,20570,0,0
03/27/2018,14:00,20605,20605,20605,20605,0,0
03/28/2018,14:00,20930,20930,20930,20930,0,0
03/29/2018,14:00,21155,21155,21155,21155,0,0
04/02/2018,14:00,20705,20705,20705,20705,0,0
04/03/2018,14:00,21155,21155,21155,21155,0,0
04/04/2018,14:00,21220,21220,21220,21220,0,0
04/05/2018,14:00,21520,21520,21520,21520,0,0
04/06/2018,14:00,21085,21085,21085,21085,0,0
04/09/2018,14:00,21260,21260,21260,21260,0,0
04/10/2018,14:00,21480,21480,21480,21480,0,0
04/11/2018,14:00,21305,21305,21305,21305,0,0
04/12/2018,14:00,21485,21485,21485,21485,0,0
04/13/2018,14:00,21420,21420,21420,21420,0,0
04/16/2018,14:00,21470,21470,21470,21470,0,0
04/17/2018,14:00,21540,21540,21540,21540,0,0
04/18/2018,14:00,21800,21800,21800,21800,0,0
04/19/2018,14:00,21785,21785,21785,21785,0,0
04/20/2018,14:00,21730,21730,21730,21730,0,0
04/23/2018,14:00,21835,21835,21835,21835,0,0
04/24/2018,14:00,21720,21720,21720,21720,0,0
04/25/2018,14:00,21940,21940,21940,21940,0,0
04/26/2018,14:00,22075,22075,22075,22075,0,0
04/27/2018,14:00,22100,22100,22100,22100,0,0
04/30/2018,14:00,22085,22085,22085,22085,0,0
05/01/2018,14:00,22205,22205,22205,22205,0,0
05/02/2018,14:00,22090,22090,22090,22090,0,0
05/03/2018,14:00,22015,22015,22015,22015,0,0
05/04/2018,14:00,22135,22135,22135,22135,0,0
05/07/2018,14:00,22120,22120,22120,22120,0,0
05/08/2018,14:00,22150,22150,22150,22150,0,0
05/09/2018,14:00,22145,22145,22145,22145,0,0
05/10/2018,14:00,22175,22175,22175,22175,0,0
