"Date","Time","Open","High","Low","Close","Vol","OI"
09/13/2018,14:00,22615,22615,22615,22615,0,0
09/14/2018,14:00,22820,22820,22820,22820,0,0
09/17/2018,14:00,22785,22785,22785,22785,0,0
09/18/2018,14:00,23425,23425,23425,23425,0,0
09/19/2018,14:00,23325,23325,23325,23325,0,0
09/20/2018,14:00,23430,23430,23430,23430,0,0
09/21/2018,14:00,23475,23475,23475,23475,0,0
09/24/2018,14:00,23445,23445,23445,23445,0,0
09/25/2018,14:00,23580,23580,23580,23580,0,0
09/26/2018,14:00,23510,23510,23510,23510,0,0
09/27/2018,14:00,23620,23620,23620,23620,0,0
09/28/2018,14:00,23730,23730,23730,23730,0,0
10/01/2018,14:00,24000,24000,24000,24000,0,0
10/02/2018,14:00,23850,23850,23850,23850,0,0
10/03/2018,14:00,23895,23895,23895,23895,0,0
10/04/2018,14:00,23390,23390,23390,23390,0,0
10/05/2018,14:00,23250,23250,23250,23250,0,0
10/08/2018,14:00,23215,23215,23215,23215,0,0
10/09/2018,14:00,23125,23125,23125,23125,0,0
10/10/2018,14:00,22430,22430,22430,22430,0,0
10/11/2018,14:00,22155,22155,22155,22155,0,0
10/12/2018,14:00,22200,22200,22200,22200,0,0
10/15/2018,14:00,21920,21920,21920,21920,0,0
10/16/2018,14:00,22550,22550,22550,22550,0,0
10/17/2018,14:00,22530,22530,22530,22530,0,0
10/18/2018,14:00,21975,21975,21975,21975,0,0
10/19/2018,14:00,22125,22125,22125,22125,0,0
10/22/2018,14:00,22120,22120,22120,22120,0,0
10/23/2018,14:00,21840,21840,21840,21840,0,0
10/24/2018,14:00,21080,21080,21080,21080,0,0
10/25/2018,14:00,21275,21275,21275,21275,0,0
10/26/2018,14:00,20950,20950,20950,20950,0,0
10/29/2018,14:00,20720,20720,20720,20720,0,0
10/30/2018,14:00,21325,21325,21325,21325,0,0
10/31/2018,14:00,21470,21470,21470,21470,0,0
11/01/2018,14:00,21460,21460,21460,21460,0,0
11/02/2018,14:00,21685,21685,21685,21685,0,0
11/05/2018,14:00,21700,21700,21700,21700,0,0
11/06/2018,14:00,21965,21965,21965,21965,0,0
11/07/2018,14:00,22240,22240,22240,22240,0,0
11/08/2018,14:00,22125,22125,22125,22125,0,0
11/09/2018,14:00,21795,21795,21795,21795,0,0
11/12/2018,14:00,21465,21465,21465,21465,0,0
11/13/2018,14:00,21455,21455,21455,21455,0,0
11/14/2018,14:00,21355,21355,21355,21355,0,0
11/15/2018,14:00,21605,21605,21605,21605,0,0
11/16/2018,14:00,21420,21420,21420,21420,0,0
11/19/2018,14:00,21290,21290,21290,21290,0,0
11/20/2018,14:00,20910,20910,20910,20910,0,0
11/21/2018,14:00,21305,21305,21305,21305,0,0
11/23/2018,14:00,21130,21130,21130,21130,0,0
11/26/2018,14:00,21720,21720,21720,21720,0,0
11/27/2018,14:00,21745,21745,21745,21745,0,0
11/28/2018,14:00,22055,22055,22055,22055,0,0
11/29/2018,14:00,21975,21975,21975,21975,0,0
11/30/2018,14:00,22095,22095,22095,22095,0,0
12/03/2018,14:00,22300,22300,22300,22300,0,0
12/04/2018,14:00,21275,21275,21275,21275,0,0
12/06/2018,14:00,21275,21275,21275,21275,0,0
12/07/2018,14:00,21035,21035,21035,21035,0,0
12/10/2018,14:00,20995,20995,20995,20995,0,0
12/11/2018,14:00,21040,21040,21040,21040,0,0
12/12/2018,14:00,21325,21325,21325,21325,0,0
12/13/2018,14:00,21450,21450,21450,21450,0,0
12/14/2018,14:00,21055,21055,21055,21055,0,0
12/17/2018,14:00,20895,20895,20895,20895,0,0
12/18/2018,14:00,20775,20775,20775,20775,0,0
12/19/2018,14:00,20435,20435,20435,20435,0,0
12/20/2018,14:00,20180,20180,20180,20180,0,0
12/21/2018,14:00,19635,19635,19635,19635,0,0
12/24/2018,14:00,19100,19100,19100,19100,0,0
12/26/2018,14:00,19880,19880,19880,19880,0,0
12/27/2018,14:00,19860,19860,19860,19860,0,0
12/28/2018,14:00,19765,19765,19765,19765,0,0
12/31/2018,14:00,19670,19670,19670,19670,0,0
01/02/2019,14:00,19665,19665,19665,19665,0,0
01/03/2019,14:00,19245,19245,19245,19245,0,0
01/04/2019,14:00,19960,19960,19960,19960,0,0
01/07/2019,14:00,19995,19995,19995,19995,0,0
01/08/2019,14:00,20070,20070,20070,20070,0,0
01/09/2019,14:00,20070,20070,20070,20070,0,0
01/10/2019,14:00,20160,20160,20160,20160,0,0
01/11/2019,14:00,20070,20070,20070,20070,0,0
01/14/2019,14:00,19900,19900,19900,19900,0,0
01/15/2019,14:00,20310,20310,20310,20310,0,0
01/16/2019,14:00,20300,20300,20300,20300,0,0
01/17/2019,14:00,20290,20290,20290,20290,0,0
01/18/2019,14:00,20720,20720,20720,20720,0,0
01/22/2019,14:00,20250,20250,20250,20250,0,0
01/23/2019,14:00,20350,20350,20350,20350,0,0
01/24/2019,14:00,20365,20365,20365,20365,0,0
01/25/2019,14:00,20575,20575,20575,20575,0,0
01/28/2019,14:00,20385,20385,20385,20385,0,0
01/29/2019,14:00,20440,20440,20440,20440,0,0
01/30/2019,14:00,20565,20565,20565,20565,0,0
01/31/2019,14:00,20615,20615,20615,20615,0,0
02/01/2019,14:00,20605,20605,20605,20605,0,0
02/04/2019,14:00,20690,20690,20690,20690,0,0
02/05/2019,14:00,20725,20725,20725,20725,0,0
02/06/2019,14:00,20660,20660,20660,20660,0,0
02/07/2019,14:00,20335,20335,20335,20335,0,0
02/08/2019,14:00,20100,20100,20100,20100,0,0
02/11/2019,14:00,20240,20240,20240,20240,0,0
02/12/2019,14:00,20715,20715,20715,20715,0,0
02/13/2019,14:00,20905,20905,20905,20905,0,0
02/14/2019,14:00,20800,20800,20800,20800,0,0
02/15/2019,14:00,21025,21025,21025,21025,0,0
02/19/2019,14:00,21110,21110,21110,21110,0,0
02/20/2019,14:00,21205,21205,21205,21205,0,0
02/21/2019,14:00,21055,21055,21055,21055,0,0
02/22/2019,14:00,21110,21110,21110,21110,0,0
02/25/2019,14:00,21270,21270,21270,21270,0,0
02/26/2019,14:00,21230,21230,21230,21230,0,0
02/27/2019,14:00,21240,21240,21240,21240,0,0
02/28/2019,14:00,21195,21195,21195,21195,0,0
