"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:00,143.75,143.75,142.50,142.50,33,223
03/02/2018,11:00,142.10,142.35,140.50,141.15,59,277
03/05/2018,11:00,140.80,141.70,140.50,141.70,20,288
03/06/2018,11:00,144.30,144.30,143.45,143.45,2,286
03/07/2018,11:00,142.90,142.90,142.90,142.90,3,289
03/08/2018,11:00,140.55,140.55,140.55,140.55,0,289
03/09/2018,11:00,140.50,141.20,140.50,141.20,8,297
03/12/2018,11:00,140.35,140.45,140.15,140.15,7,300
03/13/2018,11:00,140.15,140.30,140.00,140.20,59,357
03/14/2018,11:00,141.30,141.30,140.40,140.65,32,381
03/15/2018,11:00,140.35,140.35,140.00,140.30,23,400
03/16/2018,11:00,140.10,140.10,139.15,139.60,27,408
03/19/2018,11:00,139.10,139.30,139.10,139.30,18,426
03/20/2018,11:00,140.75,140.85,139.00,139.05,27,452
03/21/2018,11:00,139.00,139.45,139.00,139.00,10,459
03/22/2018,11:00,139.00,139.00,138.45,138.50,57,507
03/23/2018,11:00,138.45,138.45,138.00,138.00,69,565
03/26/2018,11:00,140.00,141.20,140.00,140.25,45,597
03/27/2018,11:00,139.45,139.45,139.45,139.45,6,602
03/28/2018,11:00,140.30,142.15,140.30,142.15,15,605
03/29/2018,11:00,142.30,142.30,142.30,142.30,4,606
04/02/2018,11:00,140.30,141.40,140.00,141.40,18,606
04/03/2018,11:00,141.00,141.00,140.05,140.90,12,615
04/04/2018,11:00,139.95,141.35,139.95,141.35,33,639
04/05/2018,11:00,140.90,140.90,139.85,140.45,45,667
04/06/2018,11:00,139.80,140.20,139.55,140.20,19,680
04/09/2018,11:00,139.75,141.10,139.20,140.95,23,694
04/10/2018,11:00,141.00,141.00,140.65,140.65,19,707
04/11/2018,11:00,141.50,141.60,141.50,141.55,11,713
04/12/2018,11:00,141.70,142.80,141.55,142.15,42,750
04/13/2018,11:00,141.70,143.50,141.70,142.75,14,757
