"Date","Time","Open","High","Low","Close","Vol","OI"
03/14/2018,14:00,1603.20,1603.20,1603.20,1603.20,0,0
03/15/2018,14:00,1598.50,1598.50,1598.50,1598.50,0,0
03/16/2018,14:00,1608.30,1608.30,1608.30,1608.30,0,0
03/19/2018,14:00,1593.90,1593.90,1593.90,1593.90,0,0
03/20/2018,14:00,1593.40,1593.40,1593.40,1593.40,0,0
03/21/2018,14:00,1601.00,1601.00,1601.00,1601.00,0,0
03/22/2018,14:00,1560.30,1560.30,1560.30,1560.30,0,0
03/23/2018,14:00,1534.90,1534.90,1534.90,1534.90,0,0
03/26/2018,14:00,1561.90,1561.90,1561.90,1561.90,0,0
03/27/2018,14:00,1535.60,1535.60,1535.60,1535.60,0,0
03/28/2018,14:00,1533.60,1533.60,1533.60,1533.60,0,0
03/29/2018,14:00,1547.50,1547.50,1547.50,1547.50,0,0
04/02/2018,14:00,1510.20,1510.20,1510.20,1510.20,0,0
04/03/2018,14:00,1525.90,1525.90,1525.90,1525.90,0,0
04/04/2018,14:00,1548.50,1548.50,1548.50,1548.50,0,0
04/05/2018,14:00,1555.90,1555.90,1555.90,1555.90,0,0
04/06/2018,14:00,1528.50,1528.50,1528.50,1528.50,0,0
04/09/2018,14:00,1532.10,1532.10,1532.10,1532.10,0,0
04/10/2018,14:00,1558.00,1558.00,1558.00,1558.00,0,0
04/11/2018,14:00,1561.20,1561.20,1561.20,1561.20,0,0
04/12/2018,14:00,1572.70,1572.70,1572.70,1572.70,0,0
04/13/2018,14:00,1565.40,1565.40,1565.40,1565.40,0,0
04/16/2018,14:00,1578.60,1578.60,1578.60,1578.60,0,0
04/17/2018,14:00,1596.40,1596.40,1596.40,1596.40,0,0
04/18/2018,14:00,1599.70,1599.70,1599.70,1599.70,0,0
04/19/2018,14:00,1587.80,1587.80,1587.80,1587.80,0,0
04/20/2018,14:00,1578.40,1578.40,1578.40,1578.40,0,0
04/23/2018,14:00,1576.70,1576.70,1576.70,1576.70,0,0
04/24/2018,14:00,1568.20,1568.20,1568.20,1568.20,0,0
04/25/2018,14:00,1566.90,1566.90,1566.90,1566.90,0,0
04/26/2018,14:00,1575.80,1575.80,1575.80,1575.80,0,0
04/27/2018,14:00,1571.50,1571.50,1571.50,1571.50,0,0
04/30/2018,14:00,1556.20,1556.20,1556.20,1556.20,0,0
05/01/2018,14:00,1565.40,1565.40,1565.40,1565.40,0,0
05/02/2018,14:00,1565.00,1565.00,1565.00,1565.00,0,0
05/03/2018,14:00,1563.90,1563.90,1563.90,1563.90,0,0
05/04/2018,14:00,1579.10,1579.10,1579.10,1579.10,0,0
05/07/2018,14:00,1594.20,1594.20,1594.20,1594.20,0,0
05/08/2018,14:00,1604.60,1604.60,1604.60,1604.60,0,0
05/09/2018,14:00,1613.70,1613.70,1613.70,1613.70,0,0
05/10/2018,14:00,1620.10,1620.10,1620.10,1620.10,0,0
05/11/2018,14:00,1625.10,1625.10,1625.10,1625.10,0,0
05/14/2018,14:00,1619.90,1619.90,1619.90,1619.90,0,0
