"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,1513.50,1513.50,1513.50,1513.50,0,0
03/01/2018,14:00,1507.40,1507.40,1507.40,1507.40,0,0
03/02/2018,14:00,1533.70,1533.70,1533.70,1533.70,0,0
03/05/2018,14:00,1546.70,1546.70,1546.70,1546.70,0,0
03/06/2018,14:00,1561.50,1561.50,1561.50,1561.50,0,0
03/07/2018,14:00,1578.70,1578.70,1578.70,1578.70,0,0
03/08/2018,14:00,1581.40,1581.40,1581.40,1581.40,0,0
03/09/2018,14:00,1605.50,1605.50,1605.50,1605.50,0,0
03/12/2018,14:00,1610.70,1610.70,1610.70,1610.70,0,0
03/13/2018,14:00,1605.50,1605.50,1605.50,1605.50,0,0
03/14/2018,14:00,1592.00,1592.00,1592.00,1592.00,0,0
03/15/2018,14:00,1587.40,1587.40,1587.40,1587.40,0,0
03/16/2018,14:00,1596.40,1596.40,1596.40,1596.40,0,0
03/19/2018,14:00,1570.00,1582.80,1568.50,1582.80,7,2
03/20/2018,14:00,1583.40,1583.40,1581.60,1581.60,1,1
03/21/2018,14:00,1577.80,1593.00,1577.80,1589.20,3,2
03/22/2018,14:00,1579.40,1579.40,1548.40,1548.40,59,60
03/23/2018,14:00,1550.90,1550.90,1522.50,1522.50,39,94
03/26/2018,14:00,1523.00,1550.20,1523.00,1550.20,72,126
03/27/2018,14:00,1550.20,1555.00,1523.10,1523.10,21,122
03/28/2018,14:00,1523.80,1524.40,1512.70,1521.80,4,121
03/29/2018,14:00,1528.20,1535.90,1528.20,1535.70,6,125
04/02/2018,14:00,1516.70,1516.70,1495.90,1495.90,151,274
04/03/2018,14:00,1518.00,1518.00,1518.00,1518.00,5,279
04/04/2018,14:00,1506.00,1539.60,1498.90,1539.60,6,277
04/05/2018,14:00,1542.90,1547.10,1542.40,1547.10,35,295
04/06/2018,14:00,1534.20,1537.90,1506.90,1519.60,35,295
04/09/2018,14:00,1526.60,1529.60,1523.60,1523.60,9,301
04/10/2018,14:00,1532.00,1552.60,1532.00,1549.60,103,314
04/11/2018,14:00,1537.90,1552.90,1537.90,1552.90,355,665
04/12/2018,14:00,1563.50,1564.40,1562.00,1563.90,10,658
04/13/2018,14:00,1552.70,1557.10,1552.70,1557.10,3,660
04/16/2018,14:00,1557.60,1572.50,1557.60,1571.00,3,659
04/17/2018,14:00,1574.80,1591.00,1574.80,1588.50,15,658
