"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:00,14.29,14.71,14.29,14.63,532,9469
03/01/2018,10:00,14.68,14.84,14.54,14.84,2048,10597
03/02/2018,10:00,14.85,14.90,14.65,14.81,829,11220
03/05/2018,10:00,14.79,14.99,14.76,14.98,481,11217
03/06/2018,10:00,14.88,15.00,14.83,14.90,564,11423
03/07/2018,10:00,14.71,14.78,14.34,14.36,1379,11835
03/08/2018,10:00,14.44,14.64,14.43,14.54,1556,12336
03/09/2018,10:00,14.54,14.61,14.43,14.56,576,12550
03/12/2018,10:00,14.49,14.65,14.49,14.64,289,12758
03/13/2018,10:00,14.54,14.56,14.35,14.51,761,13153
03/14/2018,10:00,14.49,14.52,14.42,14.49,215,13106
03/15/2018,10:00,14.53,14.56,14.46,14.51,871,13369
03/16/2018,10:00,14.47,14.49,14.40,14.42,394,13447
03/19/2018,10:00,14.40,14.59,14.26,14.59,2577,14260
03/20/2018,10:00,14.59,14.59,14.38,14.39,898,14596
03/21/2018,10:00,14.39,14.52,14.38,14.47,1202,14924
03/22/2018,10:00,14.47,14.53,14.47,14.52,396,15033
03/23/2018,10:00,14.48,14.51,14.33,14.39,150,15073
03/26/2018,10:00,14.39,14.59,14.34,14.34,861,15381
03/27/2018,10:00,14.36,14.54,14.36,14.47,2206,16217
03/28/2018,10:00,14.36,14.58,14.36,14.43,2024,16500
03/29/2018,10:00,14.47,14.53,14.42,14.47,474,16471
04/02/2018,10:00,14.46,14.54,14.41,14.45,670,16753
04/03/2018,10:00,14.38,14.43,14.30,14.40,1030,17178
04/04/2018,10:00,14.32,14.36,14.23,14.32,804,17180
04/05/2018,10:00,14.32,14.35,14.25,14.30,596,17070
04/06/2018,10:00,14.29,14.29,14.13,14.15,1114,17311
04/09/2018,10:00,14.24,14.27,14.14,14.18,1850,17859
04/10/2018,10:00,14.17,14.23,13.87,13.95,6545,19506
04/11/2018,10:00,14.05,14.05,13.79,13.85,2133,20147
04/12/2018,10:00,13.87,13.90,13.80,13.84,702,20266
04/13/2018,10:00,13.88,14.02,13.82,13.87,2566,21083
04/16/2018,10:00,13.86,14.04,13.77,13.82,1751,21392
04/17/2018,10:00,13.72,13.74,13.50,13.52,3687,21870
04/18/2018,10:00,13.54,13.66,13.50,13.64,925,21857
04/19/2018,10:00,13.56,13.69,13.56,13.65,1177,21744
04/20/2018,10:00,13.60,13.65,13.50,13.51,1583,22195
04/23/2018,10:00,13.50,13.50,13.14,13.17,3154,22378
04/24/2018,10:00,13.17,13.22,12.95,13.12,1077,22445
04/25/2018,10:00,13.09,13.09,12.71,12.95,576,22526
04/26/2018,10:00,12.90,13.25,12.90,13.18,1239,22159
04/27/2018,10:00,13.16,13.31,13.05,13.23,1953,21153
04/30/2018,10:00,13.27,13.38,13.20,13.35,677,21151
05/01/2018,10:00,13.28,13.51,13.16,13.48,1743,21814
05/02/2018,10:00,13.36,13.47,13.18,13.46,4650,22960
05/03/2018,10:00,13.39,13.50,13.32,13.48,2330,23796
05/04/2018,10:00,13.45,13.45,13.31,13.36,4511,26312
05/07/2018,10:00,13.31,13.39,13.19,13.28,3151,27680
05/08/2018,10:00,13.28,13.40,13.25,13.40,1951,28201
05/09/2018,10:00,13.30,13.31,13.18,13.22,2167,29131
05/10/2018,10:00,13.25,13.25,13.10,13.21,3002,29913
05/11/2018,10:00,13.12,13.13,12.99,13.06,1318,30074
05/14/2018,10:00,13.04,13.04,12.95,13.04,1377,30436
05/15/2018,10:00,12.99,13.09,12.90,13.06,2205,30628
05/16/2018,10:00,13.04,13.08,12.95,13.07,3438,31278
05/17/2018,10:00,13.04,13.12,12.98,13.02,2748,31696
05/18/2018,10:00,12.95,13.03,12.85,13.03,5381,32577
05/21/2018,10:00,13.03,13.26,12.98,13.17,3924,33118
05/22/2018,10:00,13.16,13.49,13.16,13.48,3970,33501
05/23/2018,10:00,13.47,13.65,13.39,13.65,1666,33604
05/24/2018,10:00,13.63,13.77,13.56,13.64,4294,35907
05/25/2018,10:00,13.47,13.72,13.43,13.70,3015,35907
