"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:00,14.56,14.96,14.56,14.88,204,9035
03/01/2018,10:00,14.92,15.05,14.88,15.05,1088,9907
03/02/2018,10:00,15.08,15.10,15.05,15.05,97,9936
03/05/2018,10:00,15.03,15.20,15.03,15.20,222,10075
03/06/2018,10:00,15.19,15.21,15.09,15.14,339,10193
03/07/2018,10:00,15.02,15.02,14.64,14.64,206,10168
03/08/2018,10:00,14.72,14.88,14.71,14.83,708,10468
03/09/2018,10:00,14.84,14.86,14.73,14.85,125,10439
03/12/2018,10:00,14.84,14.94,14.84,14.93,98,10507
03/13/2018,10:00,14.83,14.83,14.67,14.81,275,10600
03/14/2018,10:00,14.79,14.80,14.71,14.77,111,10657
03/15/2018,10:00,14.86,14.86,14.74,14.77,494,10897
03/16/2018,10:00,14.74,14.76,14.66,14.68,404,11065
03/19/2018,10:00,14.64,14.82,14.51,14.82,2258,11987
03/20/2018,10:00,14.81,14.82,14.62,14.63,1074,12355
03/21/2018,10:00,14.70,14.76,14.61,14.70,1724,12900
03/22/2018,10:00,14.70,14.75,14.70,14.74,160,12970
03/23/2018,10:00,14.70,14.74,14.58,14.63,76,12954
03/26/2018,10:00,14.63,14.82,14.60,14.60,590,13246
03/27/2018,10:00,14.65,14.77,14.65,14.71,2143,14547
03/28/2018,10:00,14.70,14.82,14.63,14.69,1536,14976
03/29/2018,10:00,14.72,14.79,14.68,14.72,443,15007
04/02/2018,10:00,14.71,14.79,14.64,14.69,401,15184
04/03/2018,10:00,14.60,14.66,14.56,14.65,133,15159
04/04/2018,10:00,14.57,14.61,14.49,14.57,245,15301
04/05/2018,10:00,14.61,14.61,14.49,14.55,451,15473
04/06/2018,10:00,14.55,14.55,14.39,14.41,407,15677
04/09/2018,10:00,14.46,14.53,14.39,14.42,1295,16593
04/10/2018,10:00,14.38,14.40,14.12,14.18,5697,19557
04/11/2018,10:00,14.25,14.25,14.02,14.08,1339,20339
04/12/2018,10:00,14.12,14.13,14.03,14.06,382,20401
04/13/2018,10:00,14.04,14.23,14.03,14.08,1472,20858
