"Date","Time","Open","High","Low","Close","Vol","OI"
06/25/2018,14:00,17.80,17.80,17.58,17.58,4,140
06/26/2018,14:00,17.50,17.55,17.50,17.55,4,140
06/27/2018,14:00,17.95,18.10,17.70,17.88,11,140
06/28/2018,14:00,18.10,18.25,17.75,17.75,13,140
06/29/2018,14:00,17.65,17.85,17.65,17.85,66,140
07/02/2018,14:00,18.16,18.20,17.85,17.95,65,140
07/03/2018,14:00,17.95,18.10,17.90,18.10,50,140
07/05/2018,14:00,17.85,17.90,17.80,17.80,23,140
07/06/2018,14:00,17.75,17.85,17.50,17.50,8,160
07/09/2018,14:00,17.25,17.25,16.98,16.98,40,188
07/10/2018,14:00,16.95,16.95,16.80,16.88,120,268
07/11/2018,14:00,17.05,17.16,16.98,17.08,271,411
07/12/2018,14:00,16.95,17.07,16.78,16.83,472,411
07/13/2018,14:00,16.90,16.90,16.70,16.77,76,704
07/16/2018,14:00,16.70,16.97,16.70,16.85,93,784
07/17/2018,14:00,16.90,16.97,16.80,16.95,91,815
07/18/2018,14:00,16.90,17.05,16.84,17.03,370,1026
07/19/2018,14:00,17.04,17.10,16.96,17.08,279,1026
07/20/2018,14:00,17.05,17.25,17.05,17.17,242,1198
07/23/2018,14:00,17.25,17.31,17.12,17.15,322,1392
07/24/2018,14:00,17.08,17.23,16.96,17.05,655,1710
07/25/2018,14:00,17.15,17.15,16.92,17.00,678,1987
07/26/2018,14:00,17.10,17.12,16.87,16.98,739,1987
07/27/2018,14:00,16.95,17.22,16.88,17.10,824,2877
07/30/2018,14:00,17.10,17.31,16.97,17.25,367,3029
07/31/2018,14:00,17.14,17.15,16.99,17.03,433,3255
08/01/2018,14:00,17.05,17.17,16.85,17.05,753,3915
08/02/2018,14:00,17.04,17.40,16.93,17.00,649,3915
08/03/2018,14:00,16.95,17.00,16.80,16.89,882,3915
08/06/2018,14:00,16.89,16.91,16.75,16.75,97,4367
08/07/2018,14:00,16.70,16.70,16.45,16.45,237,4417
08/08/2018,14:00,16.45,16.52,16.35,16.48,392,4578
08/09/2018,14:00,16.45,16.55,16.35,16.53,543,4724
08/10/2018,14:00,16.60,16.90,16.60,16.75,1140,5260
08/13/2018,14:00,16.85,17.17,16.61,17.13,2931,6612
08/14/2018,14:00,17.12,17.16,16.75,16.80,1228,7182
08/15/2018,14:00,16.81,17.49,16.81,16.93,1974,7975
08/16/2018,14:00,16.96,16.96,16.64,16.80,716,8299
08/17/2018,14:00,16.73,16.89,16.55,16.60,327,8427
08/20/2018,14:00,16.55,16.57,16.40,16.50,529,8571
08/21/2018,14:00,16.50,16.76,16.38,16.70,1004,8983
08/22/2018,14:00,16.80,16.86,16.55,16.58,1053,9456
08/23/2018,14:00,16.55,16.70,16.45,16.68,884,9646
08/24/2018,14:00,16.65,16.65,16.47,16.63,1241,10104
08/27/2018,14:00,16.51,16.63,16.43,16.63,1474,10472
08/28/2018,14:00,16.57,16.73,16.47,16.68,1310,11056
08/29/2018,14:00,16.60,16.75,16.59,16.70,1144,11435
08/30/2018,14:00,16.70,17.01,16.68,16.93,1353,11704
08/31/2018,14:00,16.95,17.03,16.66,16.68,1377,12011
09/04/2018,14:00,16.65,17.01,16.59,16.68,2513,12942
09/05/2018,14:00,16.75,17.00,16.75,16.88,885,13255
09/06/2018,14:00,16.93,17.17,16.85,17.13,2658,14437
09/07/2018,14:00,17.10,17.27,17.01,17.25,2188,15366
09/10/2018,14:00,17.10,17.22,16.95,17.03,1353,15786
09/11/2018,14:00,16.97,17.15,16.68,16.68,1344,16216
09/12/2018,14:00,16.70,16.75,16.51,16.63,1611,16577
