"Date","Time","Open","High","Low","Close","Vol","OI"
06/27/2018,15:00,16.237,16.237,16.237,16.237,0,0
06/28/2018,15:00,16.041,16.041,16.041,16.041,0,0
06/29/2018,15:00,16.198,16.198,16.198,16.198,0,0
07/02/2018,15:00,15.835,15.835,15.835,15.835,0,0
07/03/2018,15:00,16.043,16.043,16.043,16.043,0,0
07/04/2018,15:00,16.043,16.043,16.043,16.043,0,0
07/05/2018,15:00,16.097,16.097,16.097,16.097,0,0
07/06/2018,15:00,16.069,16.069,16.069,16.069,0,0
07/09/2018,15:00,16.139,16.139,16.139,16.139,0,0
07/10/2018,15:00,16.087,16.087,16.087,16.087,0,0
07/11/2018,15:00,15.817,15.817,15.817,15.817,0,0
07/12/2018,15:00,15.977,15.977,15.977,15.977,0,0
07/13/2018,15:00,15.815,15.815,15.815,15.815,0,0
07/16/2018,15:00,15.812,15.812,15.812,15.812,0,0
07/17/2018,15:00,15.617,15.617,15.617,15.617,0,0
07/18/2018,15:00,15.574,15.574,15.574,15.574,0,0
07/19/2018,15:00,15.402,15.402,15.402,15.402,0,0
07/20/2018,15:00,15.549,15.549,15.549,15.549,0,0
07/23/2018,15:00,15.425,15.425,15.425,15.425,0,0
07/24/2018,15:00,15.520,15.520,15.520,15.520,0,0
07/25/2018,15:00,15.589,15.589,15.589,15.589,0,0
07/26/2018,15:00,15.495,15.495,15.495,15.495,0,0
07/27/2018,15:00,15.493,15.493,15.493,15.493,0,0
07/30/2018,15:00,15.667,15.667,15.667,15.667,0,0
07/31/2018,15:00,15.597,15.597,15.597,15.597,0,0
08/01/2018,15:00,15.488,15.488,15.488,15.488,0,0
08/02/2018,15:00,15.418,15.418,15.418,15.418,0,0
08/03/2018,15:00,15.495,15.495,15.495,15.495,0,0
08/06/2018,15:00,15.381,15.381,15.381,15.381,0,0
08/07/2018,15:00,15.405,15.405,15.405,15.405,0,0
08/08/2018,15:00,15.464,15.464,15.464,15.464,0,0
08/09/2018,15:00,15.495,15.495,15.495,15.495,0,0
08/10/2018,15:00,15.328,15.328,15.328,15.328,0,0
08/13/2018,15:00,15.016,15.016,15.016,15.016,0,0
08/14/2018,15:00,15.086,15.086,15.086,15.086,0,0
08/15/2018,15:00,14.488,14.488,14.488,14.488,0,0
08/16/2018,15:00,14.745,14.745,14.745,14.745,0,0
08/17/2018,15:00,14.664,14.664,14.664,14.664,0,0
08/20/2018,15:00,14.703,14.703,14.703,14.703,0,0
08/21/2018,15:00,14.799,14.799,14.799,14.799,0,0
08/22/2018,15:00,14.785,14.785,14.785,14.785,0,0
08/23/2018,15:00,14.632,14.632,14.577,14.577,3,1
08/24/2018,15:00,14.831,14.831,14.831,14.831,0,1
08/27/2018,15:00,14.855,14.901,14.855,14.901,1,2
08/28/2018,15:00,14.820,14.820,14.820,14.820,0,2
08/29/2018,15:00,14.700,14.733,14.531,14.733,5,2
08/30/2018,15:00,14.683,14.683,14.509,14.509,4,3
08/31/2018,15:00,14.482,14.482,14.482,14.482,0,3
09/03/2018,15:00,14.482,14.482,14.482,14.482,0,3
09/04/2018,15:00,14.105,14.105,14.105,14.105,0,3
09/05/2018,15:00,14.146,14.146,14.146,14.146,0,3
09/06/2018,15:00,14.103,14.103,14.103,14.103,0,3
09/07/2018,15:00,14.090,14.090,14.090,14.090,0,3
09/10/2018,15:00,14.101,14.101,14.101,14.101,0,3
09/11/2018,15:00,14.074,14.074,14.074,14.074,0,3
09/12/2018,15:00,14.213,14.213,14.213,14.213,0,3
09/13/2018,15:00,14.159,14.159,14.159,14.159,0,3
09/14/2018,15:00,14.062,14.062,14.062,14.062,0,3
09/17/2018,15:00,14.138,14.138,14.138,14.138,0,3
09/18/2018,15:00,14.099,14.099,14.099,14.099,0,3
09/19/2018,15:00,14.200,14.200,14.200,14.200,0,3
09/20/2018,15:00,14.224,14.224,14.224,14.224,0,3
09/21/2018,15:00,14.200,14.272,14.200,14.272,2,1
09/24/2018,15:00,14.256,14.256,14.256,14.256,0,1
09/25/2018,15:00,14.399,14.399,14.399,14.399,0,1
09/26/2018,15:00,14.170,14.310,14.170,14.310,2,1
09/27/2018,15:00,14.201,14.201,14.201,14.201,0,1
09/28/2018,15:00,14.623,14.623,14.623,14.623,0,1
10/01/2018,15:00,14.422,14.422,14.422,14.422,0,1
10/02/2018,15:00,14.610,14.610,14.610,14.610,0,1
10/03/2018,15:00,14.590,14.590,14.590,14.590,0,1
10/04/2018,15:00,14.510,14.510,14.510,14.510,0,1
10/05/2018,15:00,14.569,14.569,14.569,14.569,0,1
10/08/2018,15:00,14.259,14.259,14.259,14.259,0,1
10/09/2018,15:00,14.329,14.329,14.329,14.329,0,1
10/10/2018,15:00,14.255,14.255,14.255,14.255,0,1
10/11/2018,15:00,14.535,14.535,14.535,14.535,0,1
10/12/2018,15:00,14.564,14.564,14.564,14.564,0,1
10/15/2018,15:00,14.656,14.656,14.656,14.656,0,1
10/16/2018,15:00,14.630,14.630,14.630,14.630,0,1
10/17/2018,15:00,14.592,14.592,14.592,14.592,0,1
10/18/2018,15:00,14.533,14.533,14.533,14.533,0,1
10/19/2018,15:00,14.579,14.579,14.579,14.579,0,1
10/22/2018,15:00,14.522,14.522,14.522,14.522,0,1
10/23/2018,15:00,14.728,14.728,14.728,14.728,0,1
10/25/2018,15:00,14.565,14.565,14.565,14.565,0,1
10/26/2018,15:00,14.635,14.635,14.635,14.635,0,1
10/29/2018,15:00,14.377,14.377,14.377,14.377,0,1
