"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,15:00,17.270,17.270,17.270,17.270,0,0
02/28/2018,15:00,17.277,17.277,17.277,17.277,0,0
03/01/2018,15:00,17.148,17.148,17.148,17.148,0,0
03/02/2018,15:00,17.349,17.349,17.349,17.349,0,0
03/05/2018,15:00,17.297,17.297,17.297,17.297,0,0
03/06/2018,15:00,17.671,17.671,17.671,17.671,0,0
03/07/2018,15:00,17.380,17.380,17.380,17.380,0,0
03/08/2018,15:00,17.393,17.393,17.393,17.393,0,0
03/09/2018,15:00,17.510,17.510,17.510,17.510,0,0
03/12/2018,15:00,17.436,17.436,17.436,17.436,0,0
03/13/2018,15:00,17.534,17.534,17.534,17.534,0,0
03/14/2018,15:00,17.441,17.441,17.441,17.441,0,0
03/15/2018,15:00,17.315,17.315,17.315,17.315,0,0
03/16/2018,15:00,17.167,17.167,17.167,17.167,0,0
03/19/2018,15:00,17.220,17.220,17.220,17.220,0,0
03/20/2018,15:00,17.096,17.096,17.096,17.096,0,0
03/21/2018,15:00,17.336,17.336,17.336,17.336,0,0
03/22/2018,15:00,17.302,17.302,17.302,17.302,0,0
03/23/2018,15:00,17.501,17.501,17.501,17.501,0,0
03/26/2018,15:00,17.606,17.606,17.606,17.606,0,0
03/27/2018,15:00,17.463,17.463,17.463,17.463,0,0
03/28/2018,15:00,17.157,17.157,17.157,17.157,0,0
03/29/2018,15:00,17.166,17.166,17.166,17.166,0,0
04/02/2018,15:00,17.571,17.571,17.571,17.571,0,0
04/03/2018,15:00,17.281,17.281,17.281,17.281,0,0
04/04/2018,15:00,17.138,17.138,17.138,17.138,0,0
04/05/2018,15:00,17.233,17.233,17.233,17.233,0,0
04/06/2018,15:00,17.236,17.236,17.236,17.236,0,0
04/09/2018,15:00,17.387,17.387,17.387,17.387,0,0
04/10/2018,15:00,17.435,17.435,17.435,17.435,0,0
04/11/2018,15:00,17.608,17.608,17.608,17.608,0,0
04/12/2018,15:00,17.312,17.312,17.312,17.312,0,0
04/13/2018,15:00,17.501,17.501,17.501,17.501,0,0
04/16/2018,15:00,17.512,17.512,17.512,17.512,0,0
04/17/2018,15:00,17.611,17.611,17.611,17.611,0,0
04/18/2018,15:00,18.085,18.085,18.085,18.085,0,0
04/19/2018,15:00,18.070,18.070,18.070,18.070,0,0
04/20/2018,15:00,17.990,17.990,17.990,17.990,0,0
04/23/2018,15:00,17.443,17.443,17.443,17.443,0,0
04/24/2018,15:00,17.570,17.570,17.570,17.570,0,0
04/25/2018,15:00,17.371,17.371,17.371,17.371,0,0
04/26/2018,15:00,17.362,17.362,17.362,17.362,0,0
04/27/2018,15:00,17.283,17.283,17.283,17.283,0,0
04/30/2018,15:00,17.184,17.184,17.184,17.184,0,0
05/01/2018,15:00,16.903,16.903,16.903,16.903,0,0
05/02/2018,15:00,17.152,17.152,17.152,17.152,0,0
05/03/2018,15:00,17.225,17.225,17.225,17.225,0,0
05/04/2018,15:00,17.301,17.301,17.301,17.301,0,0
05/07/2018,15:00,17.279,17.279,17.279,17.279,0,0
05/08/2018,15:00,17.265,17.265,17.265,17.265,0,0
05/09/2018,15:00,17.330,17.330,17.330,17.330,0,0
05/10/2018,15:00,17.549,17.549,17.549,17.549,0,0
05/11/2018,15:00,17.543,17.543,17.543,17.543,0,0
05/14/2018,15:00,17.430,17.430,17.430,17.430,0,0
05/15/2018,15:00,17.043,17.043,17.043,17.043,0,0
05/16/2018,15:00,17.147,17.147,17.147,17.147,0,0
