"Date","Time","Open","High","Low","Close","Vol","OI"
04/25/2018,14:00,1.4472,1.4472,1.4472,1.4472,0,0
04/26/2018,14:00,1.4451,1.4451,1.4451,1.4451,0,0
04/27/2018,14:00,1.4319,1.4319,1.4319,1.4319,0,0
04/30/2018,14:00,1.4282,1.4282,1.4282,1.4282,0,0
05/01/2018,14:00,1.4152,1.4152,1.4152,1.4152,0,0
05/02/2018,14:00,1.4132,1.4132,1.4132,1.4132,0,0
05/03/2018,14:00,1.4104,1.4104,1.4104,1.4104,0,0
05/04/2018,14:00,1.4078,1.4078,1.4078,1.4078,0,0
05/07/2018,14:00,1.4097,1.4097,1.4097,1.4097,0,0
05/08/2018,14:00,1.4066,1.4066,1.4066,1.4066,0,0
05/09/2018,14:00,1.4080,1.4080,1.4080,1.4080,0,0
05/10/2018,14:00,1.4052,1.4052,1.4052,1.4052,0,0
05/11/2018,14:00,1.4073,1.4073,1.4073,1.4073,0,0
05/14/2018,14:00,1.4085,1.4085,1.4085,1.4085,0,0
05/15/2018,14:00,1.4040,1.4040,1.4040,1.4040,0,0
05/16/2018,14:00,1.4025,1.4025,1.4025,1.4025,0,0
05/17/2018,14:00,1.4032,1.4032,1.4032,1.4032,0,0
05/18/2018,14:00,1.4005,1.4005,1.4005,1.4005,0,0
05/21/2018,14:00,1.3942,1.3942,1.3942,1.3942,0,0
05/22/2018,14:00,1.3951,1.3951,1.3951,1.3951,0,0
05/23/2018,14:00,1.3873,1.3873,1.3873,1.3873,0,0
05/24/2018,14:00,1.3899,1.3899,1.3899,1.3899,0,0
05/25/2018,14:00,1.3832,1.3832,1.3832,1.3832,0,0
05/29/2018,14:00,1.3752,1.3752,1.3752,1.3752,0,0
05/30/2018,14:00,1.3781,1.3781,1.3781,1.3781,0,0
05/31/2018,14:00,1.3794,1.3794,1.3794,1.3794,0,0
06/01/2018,14:00,1.3857,1.3857,1.3857,1.3857,0,0
06/04/2018,14:00,1.3830,1.3830,1.3830,1.3830,0,0
06/05/2018,14:00,1.3904,1.3904,1.3904,1.3904,0,0
06/06/2018,14:00,1.3919,1.3919,1.3919,1.3919,0,0
06/07/2018,14:00,1.3923,1.3923,1.3923,1.3923,0,0
06/08/2018,14:00,1.3915,1.3915,1.3915,1.3915,0,0
06/11/2018,14:00,1.3892,1.3892,1.3892,1.3892,0,0
06/12/2018,14:00,1.3884,1.3884,1.3884,1.3884,0,0
06/13/2018,14:00,1.3866,1.3866,1.3866,1.3866,0,0
06/14/2018,14:00,1.3790,1.3790,1.3790,1.3790,0,0
06/15/2018,14:00,1.3788,1.3788,1.3788,1.3788,0,0
06/18/2018,14:00,1.3746,1.3746,1.3746,1.3746,0,0
06/19/2018,14:00,1.3668,1.3668,1.3668,1.3668,0,0
06/20/2018,14:00,1.3681,1.3681,1.3681,1.3681,0,0
06/21/2018,14:00,1.3741,1.3741,1.3741,1.3741,0,0
06/22/2018,14:00,1.3742,1.3742,1.3742,1.3742,0,0
06/25/2018,14:00,1.3759,1.3759,1.3759,1.3759,0,0
06/26/2018,14:00,1.3706,1.3706,1.3706,1.3706,0,0
06/27/2018,14:00,1.3601,1.3601,1.3601,1.3601,0,0
06/28/2018,14:00,1.3539,1.3539,1.3539,1.3539,0,0
06/29/2018,14:00,1.3658,1.3658,1.3658,1.3658,0,0
07/02/2018,14:00,1.3594,1.3594,1.3594,1.3594,0,0
07/03/2018,14:00,1.3624,1.3624,1.3624,1.3624,0,0
07/05/2018,14:00,1.3661,1.3661,1.3661,1.3661,0,0
07/06/2018,14:00,1.3716,1.3716,1.3716,1.3716,0,0
07/09/2018,14:00,1.3718,1.3718,1.3718,1.3718,0,0
07/10/2018,14:00,1.3725,1.3725,1.3725,1.3725,0,0
07/11/2018,14:00,1.3665,1.3665,1.3665,1.3665,0,0
07/12/2018,14:00,1.3663,1.3663,1.3663,1.3663,0,0
07/13/2018,14:00,1.3678,1.3678,1.3678,1.3678,0,0
07/16/2018,14:00,1.3684,1.3684,1.3684,1.3684,0,0
07/17/2018,14:00,1.3574,1.3574,1.3574,1.3574,0,0
07/18/2018,14:00,1.3521,1.3521,1.3521,1.3521,0,0
07/19/2018,14:00,1.3467,1.3467,1.3467,1.3467,0,0
07/20/2018,14:00,1.3584,1.3584,1.3584,1.3584,0,0
07/23/2018,14:00,1.3551,1.3551,1.3551,1.3551,0,0
07/24/2018,14:00,1.3592,1.3592,1.3592,1.3592,0,0
07/25/2018,14:00,1.3619,1.3619,1.3619,1.3619,0,0
07/26/2018,14:00,1.3558,1.3558,1.3558,1.3558,0,0
07/27/2018,14:00,1.3560,1.3560,1.3560,1.3560,0,0
07/30/2018,14:00,1.3578,1.3578,1.3578,1.3578,0,0
07/31/2018,14:00,1.3567,1.3567,1.3567,1.3567,0,0
08/01/2018,14:00,1.3569,1.3569,1.3569,1.3569,0,0
08/02/2018,14:00,1.3462,1.3462,1.3462,1.3462,0,0
08/03/2018,14:00,1.3445,1.3445,1.3445,1.3445,0,0
08/06/2018,14:00,1.3381,1.3381,1.3381,1.3381,0,0
08/07/2018,14:00,1.3375,1.3375,1.3375,1.3375,0,0
08/08/2018,14:00,1.3332,1.3332,1.3332,1.3332,0,0
