"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,1.3904,1.3904,1.3887,1.3887,2,277
03/01/2018,14:00,1.3869,1.3885,1.3869,1.3885,1,278
03/02/2018,14:00,1.3890,1.3904,1.3890,1.3904,1,278
03/05/2018,14:00,1.3900,1.3946,1.3900,1.3946,2,280
03/06/2018,14:00,1.4003,1.4003,1.4003,1.4003,0,280
03/07/2018,14:00,1.4013,1.4013,1.4013,1.4013,0,280
03/08/2018,14:00,1.3913,1.3913,1.3913,1.3913,0,280
03/09/2018,14:00,1.3964,1.3964,1.3964,1.3964,0,280
03/12/2018,14:00,1.4015,1.4023,1.4007,1.4023,2,282
03/13/2018,14:00,1.4092,1.4092,1.4092,1.4092,227,487
03/14/2018,14:00,1.4104,1.4104,1.4049,1.4090,16,488
03/15/2018,14:00,1.4090,1.4090,1.4047,1.4047,9,513
03/16/2018,14:00,1.4039,1.4082,1.4012,1.4052,9,513
03/19/2018,14:00,1.4061,1.4194,1.4061,1.4162,18,516
03/20/2018,14:00,1.4129,1.4129,1.4096,1.4112,18,518
03/21/2018,14:00,1.4116,1.4256,1.4116,1.4238,225,484
03/22/2018,14:00,1.4253,1.4301,1.4186,1.4215,5,481
03/23/2018,14:00,1.4224,1.4268,1.4224,1.4250,4,481
03/26/2018,14:00,1.4334,1.4346,1.4330,1.4330,7,481
03/27/2018,14:00,1.4256,1.4271,1.4200,1.4254,72,512
03/28/2018,14:00,1.4265,1.4265,1.4180,1.4180,52,506
03/29/2018,14:00,1.4166,1.4169,1.4112,1.4112,36,525
04/02/2018,14:00,1.4124,1.4174,1.4122,1.4139,40,516
04/03/2018,14:00,1.4174,1.4183,1.4120,1.4154,64,541
04/04/2018,14:00,1.4182,1.4182,1.4127,1.4175,24,530
04/05/2018,14:00,1.4191,1.4191,1.4066,1.4100,34,517
04/06/2018,14:00,1.4085,1.4191,1.4085,1.4182,34,516
04/09/2018,14:00,1.4200,1.4253,1.4188,1.4229,15,516
04/10/2018,14:00,1.4258,1.4280,1.4254,1.4280,8,517
04/11/2018,14:00,1.4291,1.4314,1.4260,1.4268,28,527
04/12/2018,14:00,1.4275,1.4332,1.4245,1.4323,59,555
04/13/2018,14:00,1.4359,1.4384,1.4334,1.4334,29,565
04/16/2018,14:00,1.4388,1.4432,1.4388,1.4428,149,655
04/17/2018,14:00,1.4433,1.4463,1.4380,1.4380,144,687
04/18/2018,14:00,1.4392,1.4392,1.4270,1.4297,94,736
04/19/2018,14:00,1.4300,1.4334,1.4161,1.4170,352,2331
04/20/2018,14:00,1.4174,1.4174,1.4106,1.4116,352,2331
04/23/2018,14:00,1.4093,1.4116,1.4029,1.4030,149,2372
04/24/2018,14:00,1.4038,1.4079,1.4016,1.4063,28,2373
04/25/2018,14:00,1.4075,1.4088,1.4023,1.4033,54,2392
04/26/2018,14:00,1.4023,1.4080,1.3997,1.4015,151,2356
04/27/2018,14:00,1.4004,1.4018,1.3851,1.3879,683,2791
04/30/2018,14:00,1.3860,1.3860,1.3808,1.3837,216,2743
05/01/2018,14:00,1.3862,1.3862,1.3694,1.3707,136,2696
05/02/2018,14:00,1.3696,1.3745,1.3647,1.3692,75,2656
05/03/2018,14:00,1.3679,1.3710,1.3629,1.3656,218,2669
05/04/2018,14:00,1.3665,1.3667,1.3575,1.3627,218,2669
05/07/2018,14:00,1.3621,1.3648,1.3598,1.3645,17,2670
05/08/2018,14:00,1.3659,1.3670,1.3571,1.3618,483,2787
05/09/2018,14:00,1.3615,1.3687,1.3585,1.3637,122,2833
05/10/2018,14:00,1.3629,1.3695,1.3550,1.3601,357,2840
05/11/2018,14:00,1.3610,1.3675,1.3608,1.3626,74,2864
05/14/2018,14:00,1.3625,1.3685,1.3625,1.3644,241,2981
05/15/2018,14:00,1.3636,1.3640,1.3528,1.3587,731,3416
05/16/2018,14:00,1.3578,1.3594,1.3539,1.3564,162,3495
05/17/2018,14:00,1.3592,1.3645,1.3555,1.3583,657,3988
05/18/2018,14:00,1.3590,1.3590,1.3531,1.3558,458,4034
05/21/2018,14:00,1.3545,1.3550,1.3468,1.3490,478,4035
05/22/2018,14:00,1.3497,1.3566,1.3488,1.3504,368,4106
05/23/2018,14:00,1.3513,1.3515,1.3381,1.3421,3127,4581
05/24/2018,14:00,1.3427,1.3487,1.3427,1.3457,246,4736
05/25/2018,14:00,1.3438,1.3445,1.3368,1.3389,246,4731
05/29/2018,14:00,1.3378,1.3390,1.3280,1.3319,1516,5185
05/30/2018,14:00,1.3325,1.3371,1.3324,1.3348,13129,13914
05/31/2018,14:00,1.3355,1.3415,1.3346,1.3357,3472,14053
06/01/2018,14:00,1.3364,1.3428,1.3323,1.3412,5767,14235
06/04/2018,14:00,1.3421,1.3462,1.3362,1.3379,5981,15240
06/05/2018,14:00,1.3378,1.3470,1.3368,1.3456,10001,22013
06/06/2018,14:00,1.3463,1.3507,1.3460,1.3473,15832,30529
06/07/2018,14:00,1.3478,1.3533,1.3434,1.3489,3030,31513
06/08/2018,14:00,1.3485,1.3501,1.3418,1.3475,8969,35401
06/11/2018,14:00,1.3468,1.3503,1.3407,1.3441,37180,59195
06/12/2018,14:00,1.3439,1.3484,1.3402,1.3436,48719,89876
06/13/2018,14:00,1.3435,1.3449,1.3368,1.3416,82846,113471
06/14/2018,14:00,1.3435,1.3505,1.3311,1.3338,112191,148197
06/15/2018,14:00,1.3319,1.3354,1.3266,1.3337,110412,156632
06/18/2018,14:00,1.3328,1.3331,1.3281,1.3296,70617,159805
