"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,1.3945,1.3945,1.3945,1.3945,0,31
03/01/2018,14:00,1.3927,1.3940,1.3927,1.3940,1,32
03/02/2018,14:00,1.3960,1.3960,1.3960,1.3960,0,32
03/05/2018,14:00,1.4002,1.4002,1.4002,1.4002,0,32
03/06/2018,14:00,1.4060,1.4060,1.4059,1.4059,1,32
03/07/2018,14:00,1.4069,1.4069,1.4069,1.4069,0,32
03/08/2018,14:00,1.4040,1.4040,1.3968,1.3968,1,31
03/09/2018,14:00,1.4020,1.4020,1.4020,1.4020,1,31
03/12/2018,14:00,1.4065,1.4079,1.4065,1.4079,2,31
03/13/2018,14:00,1.4067,1.4149,1.4067,1.4149,2,31
03/14/2018,14:00,1.4148,1.4148,1.4148,1.4148,0,31
03/15/2018,14:00,1.4155,1.4155,1.4104,1.4104,1,31
03/16/2018,14:00,1.4110,1.4110,1.4110,1.4110,0,31
03/19/2018,14:00,1.4180,1.4219,1.4180,1.4219,1,31
03/20/2018,14:00,1.4160,1.4169,1.4160,1.4169,1,31
03/21/2018,14:00,1.4243,1.4295,1.4243,1.4295,4,31
03/22/2018,14:00,1.4323,1.4323,1.4265,1.4270,2,31
03/23/2018,14:00,1.4306,1.4306,1.4306,1.4306,3,31
03/26/2018,14:00,1.4384,1.4386,1.4384,1.4386,1,31
03/27/2018,14:00,1.4271,1.4308,1.4271,1.4308,1,31
03/28/2018,14:00,1.4239,1.4239,1.4239,1.4239,0,31
03/29/2018,14:00,1.4170,1.4170,1.4170,1.4170,0,31
04/02/2018,14:00,1.4196,1.4196,1.4196,1.4196,0,31
04/03/2018,14:00,1.4218,1.4218,1.4192,1.4213,17,45
04/04/2018,14:00,1.4234,1.4234,1.4234,1.4234,0,45
04/05/2018,14:00,1.4174,1.4184,1.4158,1.4158,100,134
04/06/2018,14:00,1.4242,1.4242,1.4242,1.4242,0,134
04/09/2018,14:00,1.4289,1.4289,1.4289,1.4289,0,134
04/10/2018,14:00,1.4308,1.4340,1.4308,1.4340,1,134
04/11/2018,14:00,1.4362,1.4366,1.4328,1.4328,4,134
04/12/2018,14:00,1.4364,1.4383,1.4364,1.4383,2,134
04/13/2018,14:00,1.4393,1.4393,1.4393,1.4393,0,134
04/16/2018,14:00,1.4395,1.4490,1.4395,1.4490,2,134
04/17/2018,14:00,1.4491,1.4491,1.4444,1.4444,1,134
04/18/2018,14:00,1.4337,1.4401,1.4337,1.4360,339,472
04/19/2018,14:00,1.4351,1.4376,1.4225,1.4229,64,529
04/20/2018,14:00,1.4212,1.4212,1.4175,1.4177,64,529
04/23/2018,14:00,1.4105,1.4105,1.4095,1.4095,1,529
04/24/2018,14:00,1.4118,1.4126,1.4118,1.4125,21,539
04/25/2018,14:00,1.4093,1.4096,1.4093,1.4096,1,517
04/26/2018,14:00,1.4080,1.4080,1.4080,1.4080,0,517
04/27/2018,14:00,1.4033,1.4033,1.3935,1.3942,22,511
04/30/2018,14:00,1.3892,1.3924,1.3892,1.3901,13,520
05/01/2018,14:00,1.3800,1.3800,1.3760,1.3771,6,524
05/02/2018,14:00,1.3755,1.3755,1.3755,1.3755,0,524
05/03/2018,14:00,1.3739,1.3740,1.3720,1.3720,18,513
05/04/2018,14:00,1.3691,1.3691,1.3691,1.3691,0,513
05/07/2018,14:00,1.3688,1.3710,1.3688,1.3710,1,512
05/08/2018,14:00,1.3688,1.3688,1.3681,1.3681,2,514
05/09/2018,14:00,1.3736,1.3736,1.3698,1.3698,7,515
05/10/2018,14:00,1.3640,1.3664,1.3618,1.3664,6,515
05/11/2018,14:00,1.3669,1.3735,1.3669,1.3689,48,563
05/14/2018,14:00,1.3703,1.3707,1.3703,1.3707,1,564
05/15/2018,14:00,1.3650,1.3650,1.3650,1.3650,0,564
05/16/2018,14:00,1.3629,1.3633,1.3626,1.3626,6,569
05/17/2018,14:00,1.3632,1.3650,1.3632,1.3644,4,569
05/18/2018,14:00,1.3627,1.3627,1.3620,1.3620,2,571
05/21/2018,14:00,1.3587,1.3587,1.3539,1.3552,17,578
05/22/2018,14:00,1.3570,1.3570,1.3566,1.3566,1,578
05/23/2018,14:00,1.3560,1.3560,1.3453,1.3484,31,599
05/24/2018,14:00,1.3535,1.3535,1.3518,1.3518,5,688
05/25/2018,14:00,1.3449,1.3450,1.3449,1.3450,5,688
05/29/2018,14:00,1.3438,1.3450,1.3367,1.3379,25,692
05/30/2018,14:00,1.3381,1.3424,1.3381,1.3408,63,700
05/31/2018,14:00,1.3425,1.3425,1.3416,1.3416,4,699
06/01/2018,14:00,1.3442,1.3472,1.3442,1.3472,21,698
06/04/2018,14:00,1.3511,1.3511,1.3438,1.3439,8,705
06/05/2018,14:00,1.3509,1.3525,1.3509,1.3515,42,739
06/06/2018,14:00,1.3550,1.3554,1.3531,1.3531,7,743
06/07/2018,14:00,1.3548,1.3586,1.3502,1.3547,5,748
06/08/2018,14:00,1.3500,1.3533,1.3500,1.3533,2,749
06/11/2018,14:00,1.3531,1.3531,1.3487,1.3501,2,750
06/12/2018,14:00,1.3482,1.3495,1.3482,1.3495,6,751
06/13/2018,14:00,1.3450,1.3491,1.3440,1.3475,5,751
06/14/2018,14:00,1.3537,1.3539,1.3397,1.3397,13,754
06/15/2018,14:00,1.3375,1.3402,1.3368,1.3395,249,962
06/18/2018,14:00,1.3386,1.3388,1.3355,1.3355,67,942
06/19/2018,14:00,1.3383,1.3383,1.3262,1.3279,65,962
06/20/2018,14:00,1.3287,1.3310,1.3287,1.3296,12,967
06/21/2018,14:00,1.3277,1.3361,1.3209,1.3361,33,978
06/22/2018,14:00,1.3405,1.3405,1.3368,1.3368,5,977
06/25/2018,14:00,1.3351,1.3389,1.3345,1.3385,6,978
06/26/2018,14:00,1.3312,1.3338,1.3312,1.3338,18,977
06/27/2018,14:00,1.3265,1.3265,1.3220,1.3231,5,979
06/28/2018,14:00,1.3175,1.3204,1.3162,1.3171,23,996
06/29/2018,14:00,1.3172,1.3303,1.3172,1.3292,42,987
07/02/2018,14:00,1.3254,1.3254,1.3200,1.3221,18,993
07/03/2018,14:00,1.3260,1.3284,1.3256,1.3263,338,1329
07/05/2018,14:00,1.3320,1.3360,1.3305,1.3306,13,1327
07/06/2018,14:00,1.3304,1.3379,1.3298,1.3361,256,1212
07/09/2018,14:00,1.3410,1.3435,1.3300,1.3350,48,1219
07/10/2018,14:00,1.3352,1.3379,1.3323,1.3360,54,1205
07/11/2018,14:00,1.3350,1.3365,1.3300,1.3303,44,1204
07/12/2018,14:00,1.3300,1.3333,1.3281,1.3299,213,1376
07/13/2018,14:00,1.3269,1.3316,1.3212,1.3316,197,1336
07/16/2018,14:00,1.3336,1.3375,1.3315,1.3320,22,1348
07/17/2018,14:00,1.3341,1.3341,1.3200,1.3210,9239,10174
07/18/2018,14:00,1.3197,1.3197,1.3100,1.3150,136,10181
07/19/2018,14:00,1.3157,1.3158,1.3053,1.3101,253,10264
07/20/2018,14:00,1.3159,1.3219,1.3159,1.3217,15,10269
07/23/2018,14:00,1.3232,1.3240,1.3180,1.3183,124,10269
07/24/2018,14:00,1.3183,1.3231,1.3169,1.3223,5,10268
07/25/2018,14:00,1.3238,1.3268,1.3225,1.3256,11,10270
07/26/2018,14:00,1.3280,1.3281,1.3190,1.3192,41,10284
07/27/2018,14:00,1.3182,1.3207,1.3172,1.3193,41,10284
07/30/2018,14:00,1.3182,1.3230,1.3182,1.3215,33,10273
07/31/2018,14:00,1.3201,1.3227,1.3183,1.3204,19,10272
08/01/2018,14:00,1.3179,1.3211,1.3179,1.3208,52,10306
08/02/2018,14:00,1.3160,1.3228,1.3098,1.3100,200,10831
08/03/2018,14:00,1.3089,1.3115,1.3060,1.3082,200,10831
08/06/2018,14:00,1.3071,1.3071,1.2997,1.3017,108,10821
08/07/2018,14:00,1.3016,1.3044,1.2999,1.3009,51,10835
08/08/2018,14:00,1.3020,1.3031,1.2930,1.2967,71,10854
08/09/2018,14:00,1.2940,1.2977,1.2898,1.2918,258,10933
08/10/2018,14:00,1.2893,1.2904,1.2793,1.2832,221,10969
08/13/2018,14:00,1.2841,1.2854,1.2811,1.2823,78,10987
