"Date","Time","Open","High","Low","Close","Vol","OI"
08/31/2018,14:00,7040,7040,7040,7040,0,0
09/04/2018,14:00,7355,7355,7355,7355,0,0
09/05/2018,14:00,6905,6905,6905,6905,0,0
09/06/2018,14:00,6430,6430,6430,6430,0,0
09/07/2018,14:00,6390,6390,6390,6390,0,0
09/10/2018,14:00,6265,6265,6265,6265,0,0
09/11/2018,14:00,6235,6235,6235,6235,0,0
09/12/2018,14:00,6280,6280,6280,6280,0,0
09/13/2018,14:00,6430,6430,6430,6430,0,0
09/14/2018,14:00,6450,6520,6415,6520,9,4
09/17/2018,14:00,6505,6505,6230,6230,12,14
09/18/2018,14:00,6270,6270,6265,6265,1,15
09/19/2018,14:00,6270,6380,6210,6380,5,18
09/20/2018,14:00,6395,6395,6395,6395,0,18
09/21/2018,14:00,6510,6735,6510,6735,4,19
09/24/2018,14:00,6600,6600,6600,6600,0,19
09/25/2018,14:00,6340,6340,6340,6340,0,19
09/26/2018,14:00,6415,6505,6415,6470,14,23
09/27/2018,14:00,6485,6675,6455,6645,28,43
09/28/2018,14:00,6685,6755,6550,6660,28,43
10/01/2018,14:00,6615,6615,6460,6535,12,45
10/02/2018,14:00,6550,6580,6455,6510,46,57
10/03/2018,14:00,6405,6465,6360,6420,35,65
10/04/2018,14:00,6520,6595,6520,6555,31,65
10/05/2018,14:00,6550,6570,6500,6535,50,62
10/08/2018,14:00,6520,6655,6520,6625,67,89
10/09/2018,14:00,6600,6605,6540,6580,26,101
10/10/2018,14:00,6505,6555,6450,6540,61,110
10/11/2018,14:00,6520,6525,6060,6175,152,128
10/12/2018,14:00,6200,6205,6170,6180,79,127
10/15/2018,14:00,6135,6780,6130,6375,172,137
10/16/2018,14:00,6470,6470,6390,6420,23,141
10/17/2018,14:00,6450,6450,6405,6420,46,157
10/18/2018,14:00,6425,6460,6340,6385,631,703
10/19/2018,14:00,6380,6395,6345,6380,115,767
10/22/2018,14:00,6430,6430,6365,6390,338,835
10/23/2018,14:00,6400,6415,6350,6390,293,908
10/24/2018,14:00,6375,6465,6365,6415,814,970
10/25/2018,14:00,6410,6410,6320,6405,1331,1534
10/26/2018,14:00,6395,6460,6370,6390,2434,1924
10/29/2018,14:00,6390,6440,6185,6240,3904,2011
10/30/2018,14:00,6245,6290,6230,6245,1992,2180
10/31/2018,14:00,6255,6340,6170,6295,3161,2056
11/01/2018,14:00,6295,6335,6290,6315,1174,2097
11/02/2018,14:00,6335,6375,6320,6345,1647,2055
11/05/2018,14:00,6400,6450,6365,6390,2336,2105
11/06/2018,14:00,6395,6475,6385,6415,3048,2406
11/07/2018,14:00,6430,6545,6430,6510,4263,2839
11/08/2018,14:00,6510,6525,6370,6410,2878,2771
11/09/2018,14:00,6400,6415,6240,6335,2878,2771
11/12/2018,14:00,6290,6395,6290,6325,1997,2818
11/13/2018,14:00,6315,6325,6225,6285,2534,2923
11/14/2018,14:00,6290,6290,5230,5365,8940,2966
11/15/2018,14:00,5510,5590,5155,5425,8633,2826
11/16/2018,14:00,5435,5550,5385,5450,3416,2988
11/19/2018,14:00,5500,5515,4560,4835,11321,2866
11/20/2018,14:00,4740,4870,4015,4240,12827,2554
11/21/2018,14:00,4230,4620,4165,4390,5146,2300
11/23/2018,14:00,4370,4375,4085,4190,5146,2300
11/26/2018,14:00,3965,4055,3515,3605,8901,1670
11/27/2018,14:00,3635,3790,3550,3720,6129,1491
11/28/2018,14:00,3790,4365,3750,4300,6789,1274
11/29/2018,14:00,4195,4400,4075,4180,5112,716
11/30/2018,14:00,4215,4280,3870,3953,720,398
