"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,6.3707,6.3750,6.3653,6.3653,42,172
03/01/2018,14:00,6.3800,6.4010,6.3800,6.3841,10,192
03/02/2018,14:00,6.3855,6.3871,6.3628,6.3628,10,192
03/05/2018,14:00,6.3672,6.3762,6.3672,6.3703,11,203
03/06/2018,14:00,6.3688,6.3688,6.3508,6.3508,7,201
03/07/2018,14:00,6.3653,6.3667,6.3536,6.3536,18,205
03/08/2018,14:00,6.3617,6.3782,6.3600,6.3782,11,216
03/09/2018,14:00,6.3719,6.3752,6.3600,6.3600,2,217
03/12/2018,14:00,6.3615,6.3619,6.3559,6.3559,221,411
03/13/2018,14:00,6.3672,6.3672,6.3515,6.3526,266,675
03/14/2018,14:00,6.3485,6.3490,6.3351,6.3351,90,674
03/15/2018,14:00,6.3568,6.3642,6.3568,6.3594,42,683
03/16/2018,14:00,6.3550,6.3673,6.3550,6.3576,42,683
03/19/2018,14:00,6.3582,6.3582,6.3481,6.3481,11,683
03/20/2018,14:00,6.3617,6.3670,6.3587,6.3587,71,715
03/21/2018,14:00,6.3638,6.3638,6.3347,6.3347,31,705
03/22/2018,14:00,6.3350,6.3595,6.3350,6.3595,48,707
03/23/2018,14:00,6.3391,6.3391,6.3357,6.3357,1,708
03/26/2018,14:00,6.3200,6.3200,6.2791,6.2796,68,716
03/27/2018,14:00,6.2748,6.3000,6.2689,6.2929,52,715
03/28/2018,14:00,6.2887,6.3067,6.2887,6.3067,12,715
03/29/2018,14:00,6.3133,6.3178,6.2913,6.2913,62,725
04/02/2018,14:00,6.2913,6.3005,6.2913,6.2924,2,725
04/03/2018,14:00,6.3016,6.3016,6.2914,6.2922,47,755
04/04/2018,14:00,6.2959,6.3277,6.2959,6.3016,16,762
04/05/2018,14:00,6.3208,6.3208,6.3051,6.3082,35,749
04/06/2018,14:00,6.3200,6.3387,6.3200,6.3272,35,749
04/09/2018,14:00,6.3089,6.3330,6.3089,6.3162,51,765
04/10/2018,14:00,6.2994,6.3045,6.2890,6.2890,48,765
04/11/2018,14:00,6.2927,6.2958,6.2739,6.2831,104,781
04/12/2018,14:00,6.2871,6.3007,6.2871,6.2886,6,778
04/13/2018,14:00,6.2855,6.2890,6.2855,6.2875,10,769
04/16/2018,14:00,6.2827,6.2827,6.2809,6.2809,5,769
04/17/2018,14:00,6.2855,6.2916,6.2829,6.2890,32,756
04/18/2018,14:00,6.2947,6.2976,6.2809,6.2838,175,867
04/19/2018,14:00,6.2745,6.2936,6.2685,6.2936,32,901
04/20/2018,14:00,6.2966,6.3057,6.2936,6.2956,32,901
04/23/2018,14:00,6.2992,6.3265,6.2992,6.3236,156,1013
04/24/2018,14:00,6.3264,6.3264,6.3130,6.3130,46,1010
04/25/2018,14:00,6.3176,6.3449,6.3174,6.3362,27,1013
04/26/2018,14:00,6.3361,6.3470,6.3361,6.3388,42,1013
04/27/2018,14:00,6.3550,6.3550,6.3323,6.3323,38,1009
04/30/2018,14:00,6.3240,6.3388,6.3240,6.3259,10,1015
05/01/2018,14:00,6.3281,6.3520,6.3280,6.3490,13,1019
05/02/2018,14:00,6.3608,6.3808,6.3608,6.3769,220,887
05/03/2018,14:00,6.3736,6.3736,6.3548,6.3548,10,885
05/04/2018,14:00,6.3553,6.3661,6.3553,6.3661,10,885
05/07/2018,14:00,6.3608,6.3800,6.3608,6.3689,36,884
05/08/2018,14:00,6.3687,6.3800,6.3687,6.3766,9,885
05/09/2018,14:00,6.3900,6.3928,6.3700,6.3718,131,794
05/10/2018,14:00,6.3652,6.3652,6.3342,6.3342,52,820
05/11/2018,14:00,6.3478,6.3478,6.3307,6.3422,22,820
05/14/2018,14:00,6.3360,6.3438,6.3360,6.3438,31,848
05/15/2018,14:00,6.3501,6.3800,6.3501,6.3785,40,827
05/16/2018,14:00,6.3785,6.3785,6.3571,6.3571,21,821
05/17/2018,14:00,6.3522,6.3664,6.3522,6.3652,57,843
05/18/2018,14:00,6.3680,6.3784,6.3670,6.3699,94,809
05/21/2018,14:00,6.3786,6.3903,6.3634,6.3634,122,813
05/22/2018,14:00,6.3671,6.3671,6.3538,6.3586,24,801
05/23/2018,14:00,6.3649,6.3920,6.3628,6.3810,107,817
05/24/2018,14:00,6.3838,6.3944,6.3802,6.3802,51,788
05/25/2018,14:00,6.3880,6.3934,6.3844,6.3934,51,788
05/29/2018,14:00,6.4130,6.4356,6.4130,6.4333,220,741
05/30/2018,14:00,6.4260,6.4332,6.4087,6.4087,38,740
05/31/2018,14:00,6.4090,6.4169,6.3998,6.4147,96,679
06/01/2018,14:00,6.4090,6.4180,6.4085,6.4115,37,671
06/04/2018,14:00,6.4066,6.4066,6.4044,6.4044,3,671
06/05/2018,14:00,6.4040,6.4100,6.3940,6.3946,22,664
06/06/2018,14:00,6.3850,6.3850,6.3817,6.3830,33,664
06/07/2018,14:00,6.3850,6.3905,6.3847,6.3905,8,656
06/08/2018,14:00,6.4050,6.4050,6.4006,6.4006,1,655
06/11/2018,14:00,6.3998,6.3998,6.3961,6.3982,19,644
06/12/2018,14:00,6.4059,6.4060,6.3970,6.4029,357,362
06/13/2018,14:00,6.4046,6.4068,6.3954,6.3954,23,355
06/14/2018,14:00,6.3896,6.4140,6.3896,6.4140,82,358
06/15/2018,14:00,6.4135,6.4135,6.4135,6.4135,0,358
