"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,11:20,77.06,77.23,76.86,77.23,135,9170
02/28/2018,11:20,77.15,77.63,76.96,77.26,1681,9716
03/01/2018,11:20,77.06,77.50,77.01,77.46,805,9406
03/02/2018,11:20,77.25,77.50,77.15,77.15,309,9431
03/05/2018,11:20,77.29,78.00,77.27,78.00,231,9592
03/06/2018,11:20,78.01,78.39,77.88,78.07,509,9821
03/07/2018,11:20,78.00,78.25,77.61,78.11,284,9885
03/08/2018,11:20,78.10,78.40,78.10,78.34,272,9920
03/09/2018,11:20,78.28,78.80,78.28,78.80,300,10095
03/12/2018,11:20,78.60,78.83,78.44,78.83,1467,10378
03/13/2018,11:20,78.85,79.02,78.13,78.67,583,10731
03/14/2018,11:20,78.77,78.80,78.05,78.20,408,10820
03/15/2018,11:20,78.28,78.55,78.00,78.37,276,10936
03/16/2018,11:20,78.35,78.47,77.89,78.47,189,10967
03/19/2018,11:20,78.18,78.18,77.47,77.50,1044,11608
03/20/2018,11:20,77.47,78.17,77.45,78.17,365,11745
03/21/2018,11:20,78.12,78.30,78.01,78.19,205,11803
03/22/2018,11:20,78.01,78.15,77.80,78.13,186,11915
03/23/2018,11:20,78.00,78.00,77.50,77.85,397,12144
03/26/2018,11:20,78.00,78.09,77.60,77.88,182,12238
03/27/2018,11:20,78.00,78.06,77.80,77.80,74,12295
03/28/2018,11:20,77.63,77.67,77.23,77.23,885,12761
03/29/2018,11:20,77.22,77.93,77.13,77.82,703,13099
04/02/2018,11:20,77.84,78.10,77.74,77.81,979,13888
04/03/2018,11:20,77.75,78.27,77.75,78.27,438,14045
04/04/2018,11:20,78.17,78.23,76.50,77.27,2140,14188
04/05/2018,11:20,77.40,78.25,77.34,78.09,599,14371
04/06/2018,11:20,78.02,78.25,77.72,78.12,91,14406
04/09/2018,11:20,78.23,78.42,78.07,78.27,190,14492
04/10/2018,11:20,78.22,78.50,78.05,78.48,162,14539
04/11/2018,11:20,78.49,78.75,78.28,78.74,225,14592
