"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:20,82.79,83.36,82.32,83.29,7168,58692
03/01/2018,11:20,83.08,83.38,81.30,82.11,9835,60149
03/02/2018,11:20,81.93,82.47,81.43,82.35,4880,60129
03/05/2018,11:20,82.63,85.05,82.48,84.98,11170,61746
03/06/2018,11:20,84.68,85.83,81.98,82.49,17154,60314
03/07/2018,11:20,82.56,83.67,82.00,82.55,11911,59418
03/08/2018,11:20,82.56,84.69,82.56,84.55,11519,58030
03/09/2018,11:20,84.40,84.90,83.92,84.19,7667,57583
03/12/2018,11:20,84.17,84.71,82.94,83.21,7763,57562
03/13/2018,11:20,83.21,84.08,82.21,82.86,9797,58426
03/14/2018,11:20,83.15,83.60,82.43,83.20,4835,58531
03/15/2018,11:20,83.28,83.86,82.71,83.60,4636,59047
03/16/2018,11:20,83.75,83.75,82.57,82.98,4569,59511
03/19/2018,11:20,82.96,83.08,81.48,81.52,7436,60143
03/20/2018,11:20,81.47,83.37,81.31,83.18,11274,63450
03/21/2018,11:20,83.00,83.73,82.70,82.79,7136,64788
03/22/2018,11:20,82.94,83.32,82.03,82.40,6093,66134
03/23/2018,11:20,82.46,82.60,81.70,82.22,7204,67294
03/26/2018,11:20,82.22,82.83,81.90,82.22,10542,71320
03/27/2018,11:20,82.22,83.14,82.16,82.44,6618,72762
03/28/2018,11:20,82.37,82.52,81.14,81.18,8869,73521
03/29/2018,11:20,81.18,82.51,81.08,81.80,10036,75185
04/02/2018,11:20,82.10,82.88,81.24,81.27,7075,76805
04/03/2018,11:20,81.30,82.71,81.28,82.01,14557,78836
04/04/2018,11:20,82.02,82.20,78.55,79.72,27993,79241
04/05/2018,11:20,79.75,82.40,79.60,82.15,22732,83438
04/06/2018,11:20,81.89,83.04,81.44,82.18,21547,88201
04/09/2018,11:20,82.50,83.34,82.39,82.76,26514,97116
04/10/2018,11:20,82.71,83.30,82.26,83.17,29898,107475
04/11/2018,11:20,83.27,83.61,82.97,83.41,24313,115358
04/12/2018,11:20,83.57,83.57,82.71,83.00,21803,120264
04/13/2018,11:20,83.04,83.64,82.90,83.35,27271,127142
04/16/2018,11:20,83.53,83.94,83.04,83.22,21580,130640
04/17/2018,11:20,83.28,83.49,81.97,82.95,24009,129734
04/18/2018,11:20,82.98,83.17,82.30,82.61,16525,129280
04/19/2018,11:20,82.41,82.96,82.27,82.82,14346,129406
04/20/2018,11:20,82.80,84.83,82.80,84.73,31047,134103
04/23/2018,11:20,84.89,85.39,84.04,84.12,23354,136587
04/24/2018,11:20,84.12,84.55,81.36,81.51,28929,132015
04/25/2018,11:20,81.52,84.54,81.52,83.94,23967,133805
04/26/2018,11:20,83.78,84.97,83.57,84.17,17521,135328
04/27/2018,11:20,84.30,84.78,83.96,84.51,9427,135968
04/30/2018,11:20,84.54,84.73,83.32,83.84,14139,135846
05/01/2018,11:20,83.88,84.69,83.61,84.48,13386,137180
05/02/2018,11:20,84.55,85.10,84.13,84.68,15193,138810
05/03/2018,11:20,84.70,85.12,83.83,84.50,16756,139741
05/04/2018,11:20,84.55,87.06,84.02,86.90,22647,143425
05/07/2018,11:20,86.90,88.08,85.91,85.99,26087,143356
05/08/2018,11:20,86.12,86.87,85.11,85.38,18277,142133
05/09/2018,11:20,85.65,86.04,85.18,85.86,12916,141059
05/10/2018,11:20,86.01,86.17,84.05,84.56,21069,138728
05/11/2018,11:20,84.56,84.96,83.50,84.62,19111,134671
05/14/2018,11:20,84.70,84.90,83.50,83.70,15145,133426
05/15/2018,11:20,84.11,84.39,83.36,83.76,15675,130975
05/16/2018,11:20,83.88,85.39,83.63,84.35,15890,130753
05/17/2018,11:20,84.48,85.69,84.05,85.03,15148,130141
05/18/2018,11:20,85.12,87.60,85.05,86.55,20707,129164
05/21/2018,11:20,87.30,88.73,87.10,88.42,25290,128270
05/22/2018,11:20,88.60,89.88,86.63,87.35,22417,127075
05/23/2018,11:20,87.34,87.75,86.72,86.96,19700,124320
05/24/2018,11:20,87.18,87.85,86.64,87.46,20915,115725
05/25/2018,11:20,87.69,89.69,87.15,89.21,24977,115645
05/29/2018,11:20,89.69,93.21,89.57,93.21,13547,112676
05/30/2018,11:20,94.21,96.40,91.22,92.49,46735,109211
05/31/2018,11:20,92.48,93.75,91.74,93.15,23262,104630
06/01/2018,11:20,93.16,94.49,92.72,93.30,25665,99811
06/04/2018,11:20,93.30,94.52,92.07,92.10,20224,97903
06/05/2018,11:20,92.24,92.28,89.73,89.84,23560,92848
06/06/2018,11:20,89.75,91.71,89.35,90.95,17261,89390
06/07/2018,11:20,91.30,94.95,90.45,93.72,33503,80297
06/08/2018,11:20,93.97,95.84,93.59,94.94,31101,72479
06/11/2018,11:20,95.55,96.50,94.00,94.75,22047,64088
06/12/2018,11:20,95.19,95.85,94.67,95.21,21458,56241
06/13/2018,11:20,95.30,95.66,93.21,93.81,26904,44199
06/14/2018,11:20,93.65,94.50,92.61,93.41,13682,39425
06/15/2018,11:20,93.14,93.14,90.50,90.72,21715,21960
06/18/2018,11:20,90.55,90.55,86.80,87.32,9387,15695
06/19/2018,11:20,87.40,88.15,83.32,83.32,9421,10536
06/20/2018,11:20,83.25,85.70,83.10,83.21,6148,5879
06/21/2018,11:20,83.40,84.20,83.01,83.21,3585,3128
06/22/2018,11:20,83.25,85.80,83.10,85.43,2639,932
06/25/2018,11:20,85.50,86.48,84.20,85.94,52,890
06/26/2018,11:20,85.79,86.32,84.09,85.04,12,786
06/27/2018,11:20,86.12,86.12,85.75,85.75,3,286
06/28/2018,11:20,85.65,85.65,84.93,84.93,13,221
06/29/2018,11:20,85.41,86.03,85.06,85.38,12,209
