"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,15.64,15.64,15.64,15.64,0,40
02/28/2018,14:00,15.64,15.64,15.64,15.64,0,40
03/01/2018,14:00,15.64,15.64,15.64,15.64,0,40
03/02/2018,14:00,15.64,15.64,15.64,15.64,0,40
03/05/2018,14:00,15.64,15.64,15.64,15.64,0,40
03/06/2018,14:00,15.64,15.64,15.64,15.64,0,40
03/07/2018,14:00,15.55,15.55,15.55,15.55,1,41
03/08/2018,14:00,15.57,15.57,15.57,15.57,0,41
03/09/2018,14:00,15.57,15.57,15.57,15.57,0,41
03/12/2018,14:00,15.57,15.57,15.57,15.57,0,41
03/13/2018,14:00,15.60,15.60,15.60,15.60,0,41
03/14/2018,14:00,15.62,15.62,15.60,15.60,12,33
03/15/2018,14:00,15.62,15.62,15.62,15.62,0,33
03/16/2018,14:00,15.63,15.63,15.63,15.63,0,33
03/19/2018,14:00,15.63,15.63,15.63,15.63,0,33
03/20/2018,14:00,15.64,15.65,15.64,15.65,4,35
03/21/2018,14:00,15.67,15.67,15.67,15.67,0,35
03/22/2018,14:00,15.65,15.65,15.62,15.63,4,36
03/23/2018,14:00,15.55,15.60,15.55,15.60,2,38
03/26/2018,14:00,15.60,15.61,15.60,15.61,5,38
03/27/2018,14:00,15.61,15.61,15.61,15.61,2,38
03/28/2018,14:00,15.61,15.61,15.61,15.61,0,38
03/29/2018,14:00,15.61,15.61,15.61,15.61,4,41
04/02/2018,14:00,15.61,15.61,15.61,15.61,0,41
04/03/2018,14:00,15.61,15.61,15.61,15.61,0,41
04/04/2018,14:00,15.62,15.62,15.62,15.62,0,41
04/05/2018,14:00,15.65,15.65,15.64,15.64,1,43
04/06/2018,14:00,15.64,15.64,15.64,15.64,1,43
04/09/2018,14:00,15.62,15.64,15.62,15.64,7,50
04/10/2018,14:00,15.69,15.69,15.69,15.69,1,51
04/11/2018,14:00,15.69,15.69,15.69,15.69,0,51
04/12/2018,14:00,15.62,15.62,15.62,15.62,23,70
04/13/2018,14:00,15.63,15.63,15.63,15.63,0,70
04/16/2018,14:00,15.68,15.68,15.68,15.68,0,70
04/17/2018,14:00,15.76,15.76,15.76,15.76,0,70
04/18/2018,14:00,15.77,15.77,15.77,15.77,1,71
04/19/2018,14:00,15.78,15.80,15.78,15.80,1,73
04/20/2018,14:00,15.75,15.75,15.75,15.75,1,73
04/23/2018,14:00,15.86,15.86,15.82,15.82,6,74
04/24/2018,14:00,15.92,15.92,15.90,15.90,5,79
